,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X1997.HK.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.106374443857972,0,0.373956622754772,0,0,0.0147977112438982,0,0.154617662344348,0,0,0,0,0,0,0,0,0.152406022730162,0,0,-0.0572101078301845,0,0,0,0,0,0.00490393805726642,0,0,0,0,0,0,0,0,0,0,0.10071523348399,0,0,0,0,0,0,0,0,0,0,0.107290579596543,0,0,0
X601939.CH.EQUITY,0.362410015322722,0,0,0,0,0,0,0,0,0,0,0.0383531469122514,0,0.496984374689914,0,0,0,0,0,0,0,-0.0338584025188309,0,0,0,0,-0.0344214986497869,0,0,0,0,1.73472347597681e-18,0,0,0.0631618048325607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235096825592387,0,0
X601318.CH.EQUITY,0.134113193974372,0,0,0,0,0,0.175535312405014,0,0,0,0,0.0501660569317954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131186127619454,0,0,0.0345904871721077,0,0,0,0.347865612272808,0,0.0662605570327013,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.373999566343107,0,0,0,0.418089469701323,0,0,0,0,0,0.0424505553826068,0,0,0,0,0,0.0869726221755528,0,0,0,0,0,0,0,0,0,0,0,0,0.0418476703079889,0,0,0,0,0,0,0,0,0,0,0,0,0.00286953743471312,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0373118444134609,0,0.270294624185654,0,0,0,0,0,0,0,0,0,0.0214447516827346,0,0,0,0.109977684581577,0,0.273441771470708,0,0,0,0,0,0,0,0,0,0,0.0540034620215659,0,0,0.0959917284566694,0,0,0,0,0,0,0,0,0,0.0088597942749291,0,0.0854275402814018,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.164595250596252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432141225986966,0,0.121000385987946,0,0,0,0,0,0,0,0.0889251223510368,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467096388769192,-0.0277508361599017,0
X600036.CH.EQUITY,0,0,0.164654521051429,0,0,0.154238181342776,0,0.0704094274056058,0,0,0,0.368941273375272,0,0,0,0,0,0.0192687499514702,0,0,0,0,0,0,0,0,0.108438069008166,0,0.00863880614025226,0,0,0,0,0,0,0,0,0,0,0,0.0167055009994735,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.00100674204522639,0.168145883997287,0,0,0,0,0,0,0,0,0,0.212005235533479,0,0,0,0.271424153687583,0.0761362408879234,0,0,0,0,0,0.0802686143057948,0,0,0,0,0.297511286789069,0,0,0,0,0,0,0,0.0201575129430669,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.097826459389377,0.0257078581741321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427647809594515,0.02816915083421,0,0,0,0,0,0,0.14695191526568,0,0,0,0,0,0,0,0,0,0,0,0,0.0649990579761456,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.0524596278555526,0,0,0,-0.0306775998791015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0361381624855646,-0.538077782155733,0,0,0.358633735466831,0,0,-0.024666881388585,1.13909743989677,0,0,0,0,0,0,0,-0.0314122871150405
