,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.431852552335096,0.0711502456485928,0.0909462735046278,0,0.0339670164707641,0,0,0,0,-0.0104640080892865,0,0.0342676913469377,0,0,0,0.0889915867673298,0.0362344604751847,0,0,0,0,0,0.135699217748044,0,0,0,0,0,0.021681673399478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00330793513900538,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0815304688175268,0,0,0.0385247426914595,0,0,0,0,0,0,0,0.197403432453864,0.0283874531405426,0,0,0,0,0,6.93889390390723e-18,0.0552239400373146,0.101050625371262,0,0,0,0,0,0,0,0.127974925211567,0,0,0,0,0.318750319565844,0,0,0.0293398691972669,0,0,0.0206497184365185,0,0,0,0,0
X601939.CH.EQUITY,0.344349909658122,0,0,0.144755490152886,0,0.186317810469311,0,0,0,0.048781131285564,0.0961274570251703,0,0,0,0,0,0,0,0,0,0,0.00105149261164382,0,0,0,0,0,0,0,0,0,0,0,0,0.0598075807310859,0,0,0,0,0,0.0109408370566204,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.421030384348608,0,0,0,0,0,0,0,0,0.213075882449548,0,0,0,0,0,0,0,0.09300619277015,0,0,0.104462026893114,0,0,0,0,0.0529664528207913,0,0.0428212906400011,0,0.0799646336469913,0,0,0,0,0,0,0,0,-0.0364159059706398,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.464855160728115,0,0,0,0,0,0,0,0,0,0,0.145465639540958,-0.372177747785022,0,0,0,0,0,0,0,0,0,0,0,0.120512586231999,0,0,-0.591589628862281,0,0.440178150983215,0,0.0301677569759631,0,0,0,0,0,0,0,0,-0.282690474658205,0,0,0,-0.316269025628553,0
X601988.CH.EQUITY,0,0,0.288938409599854,0,0.0901056650950021,0,0,0,0.209142866132713,0,0,0,0,0,0,0,0,0.139530946010132,0,0,0,0,0.306392699973375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218088956844613,0.0372799593164578,0,-0.00316201840874063,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0145296119995162,-0.0244613387944539,0.202849561251202,0,0,-0.0232426788893301,0,0.0579893775192315,0.0221668041303746,0,0,0,0,0,0.473637701990604,0,0.117563836198413,0,0,0.101142839858666,0,0,0,0,0,0,0,0,-0.0229070144991903,0,0,0,0.0498807478065019,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0111417090675678,0,0,-0.0385090775172955,0,0,0,0.101778806106527,0,0,0.0201900303227176,0,-0.0343799058257858,0,0,0.269139022614071,0,0,0,0.0913342058110701,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-0.0256822212710174,0,0,0,0,0.322203998419026,0,0,0.115894698937488
X601628.CH.EQUITY,0,0,0,0,0.0253728626410265,0,0,0,0,0,0.195592769319772,0,0,0,0,0.00461051499771038,0,0,0,0,0,0,0,0,0,0,0.0436959956259891,0,0,0,0,0,0,0,0,0,0.225194068711621,0,0,0,0.17204527627978,0.156521752977213,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.156285386470011,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.100049667019813,0,0,0,0,0,0,0.0224560265100578,0.0885970908581857,0,0,0,0,0,0.112208607871129,0,0,0,0.0610136047192352,0,0,0,0.0578005363192001,-0.0245824299816937,0,0,0,0.166975076097879,0.246156704726285,0,0,0,0,0,0,0,0.0213256120516816,0,0
