,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0799700287668673,0,0.660192367120117,0,0,0,0,-0.0264544067286587,0,0,0,0,0,0,0,0,0.118453226929718,0,0,0,0.0312978243855509,0.0117909112687169,0,0,0,0,0,0.0503782582823744,-0.0172579819098221,0,0,0,0,0,0,0.00164802071996107,0,0,0,0,0,0,0.00346518093357332,0,0,0,0,0,0.028687172119948,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0165701676203137,0,0,0,0.182037202316077,0,0,0,0,0,0.347190577377298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17577890333658,0,0,0.102727776718925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143841443906912
X601939.CH.EQUITY,0,0,0,0,0.356741151644432,0,0,0,0,0,0.175672368334623,0,0,0.044284077445941,-0.0940330831889888,0.102709377464495,0.191718920783903,0,0,0,0,0,0,0,0,0,0,0.0608758249777529,0,0,0,0,0,0,0,0,0,0,0.157760190189304,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.148510461125239,0,0,0.240565115599956,0,0,0,0,0.347095939178371,0,0,0,0.166311548687524,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.00889264489612704,0,0,0,0.063763804991491,0,0,0,0,0,0,0,0.0752279432785497,0,0,0.1544048470146,0,0,0,0,0
X601288.CH.EQUITY,0.156349968200602,0,0,0,0,0,0,-0.0526332916983296,0,0.0106847876701268,0,0,0,0,0,0,0.658890818475831,0,0,0,0,0,0,0,0,0,0,0,0.0490216238119608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00356393836198975,0,0,-0.021096085922573,0,-0.0293130216297156
X600036.CH.EQUITY,0,0.247150588042726,0,0,0,0,0,0.0488699795856213,0,0,0,0,0,0.266660668678163,0,0,0,0,0.121978212611666,0,0,0,0,0,0,0.253508835826549,0.000782197138209388,0.056494260571018,0,0.081663529533699,0,0,0,0,0,0,0,0.00910078100931154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.269076127192782,0,0,0,0,0,0,0,0,0,-0.105542543271376,0,0,0,0,0.011672677759547,0,0,0,0.0215874179222226,0,0,0,-0.0645191647188516,0,0,0,-0.153736738280543,0,0,0,0,0,0,0,0,0,0,0,-0.0228582700788301,0,0.0234470382143567,-0.0477847586492684,0.938853520056396,0,0.075266908667992,0
X1299.HK.EQUITY,0,0,-0.224165801181013,0,0,0,0,0,0,0.243719285238163,0.0193391505151513,0,0,0,0,0,0,0,0,0,-0.126291690106199,0,0,0,0.181611930054653,0.086364749639038,0.449260645243396,0,0,0,0,0,0,0,0,0,0,0.0252196329373987,0,0,0,0.0580214491365924,0.117615423703245,0,0.0595674516117719,0,0,0.166362834399145,0,0,0,-0.0765340967680076
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.270486705219391,0,0,0,0,0,-0.121801734407627,0,0,0,0,0.180239027315919,0,0,0,0.0314761608185916,0,0,0.373477542574754,0.0450809151523914,-0.0784694569189834,0,0,0,-0.0894842165707823,0,0.107015712054929,0,0,0,0,0.195283635898762,0.0193783633620391,0.187431326591012,0,0,0,0,0.140654483994018,0,0
X388.HK.EQUITY,0,0.0850757804582355,0,0.0069615813842634,0,0,0,0.0422556988725668,0,0,0,0,0,0,0,0,0,0,0,0,0.0924299380445707,0.171538267641698,0,0,0.0790041646665022,0,0,0,0,0,0.166319714531828,0,0,0,0,0,0.226894128200534,0.124412846749643,0,0,-0.189462496405217,0,0,0,0,0,0.244422843404847,0,0,0,0,0.0646037108653163
