,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X300059.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.28405711219428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298806521710189,0,0,0.0971463751722096,0,0,0,0.295501271235435,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.129964183832979,-0.118629145280341,0,-0.129501934682947,-0.119711831037252
X601939.CH.EQUITY,0.125201133087586,0,0,0.40243538080688,0,0,0,0,0,0,0,0,0,0.132833276001537,-0.133725982510936,0,0,0,0,0,0,0,0,0,-0.0917035368376751,0.269749203442756,0,0,0,0,-0.0175654207013343,0,0,0,0,0,0,0,-0.00910407691135587,0,0,-0.0290345006462857,0,0,0,0,0,0.0632332850378051,0,0.119349021866599,4.33680868994202e-19,0
X601318.CH.EQUITY,0,0,0,0,0.25914689148239,0.0950051527015485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445421035505819,0,0,0,0.13569267706499,0,0,0,0,0,0,0,0,0,0,0.171536226734397,0,0,0,0,0.0844966369144713,0,0.019542846659673,0,0,0,0,0,0,0,0.021092741103086,-0.0263669637838997,0
X601288.CH.EQUITY,0,0.654488308416315,0,0,0,0,0,0,0,0,0,0,0.102169689697866,0,0,0,0,0,0,0,0.148568950454444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0238588496314785,0,0,0.0268787656510757,0,8.67361737988404e-19,0,0,0,0,0
X601988.CH.EQUITY,0,0.0189339916583806,0,0.426819602944175,0,0,0,0,0,0.297027470406442,0,0,0,0,0,0.350306873566439,0,0,0,0.0421042329013246,0.0889519811860736,0,-0.0368733433697729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.477429829755401,0,0,0.056998086983739,0,0,0,0,0,0,0,0,0,0.288555151630385
X600036.CH.EQUITY,0,0.176818079049797,0,0,0,0,0,0,0.0326022611226369,0,0,0,0.0414075513393542,0,0,0,0,0,0.110976524977749,0,0,0,0,0.24287963456529,0,0,0,0,0,0,0,0,0,0.362885864815921,0,0,0,0,0,6.93889390390723e-18,0.0763564845615782,0,0,0,0,0,0.0928494694982887,-4.33680868994202e-19,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0655272059564075,0,0,0.0677030689973167,0,0,0.382217657317384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233618124116073,0,0,0,0,0.281926139429914,0,0,0.0316822290697126,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0583807056289948,0,0,0,-0.191579898116535,0,0,-0.474253774897458,0.747697598886378,0,0,0.0791374079637533,0.510604836689535,0,0,0.0582813091397582,0,0,0,0,0,0,0,0.086509522522476,0,0,0,0,0,0,0,0,0,0.189617171558803,0.113932607681645,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.220840216809771,0,0,0,0,0,-0.166243361462161,0,0,0,0,0.166544721262245,0,0,0,0,0.197098706394972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440207052186952,-0.026202385160378,0,0,0,0,0,0.257520726976434,0,0,-0.0791411411941857,0.0634237275838366
X601658.CH.Equity,0,0.148324252062208,0,-6.93889390390723e-18,0.00986417182781583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388295743386553,0,0,0,0,0.0131919724976387,0,0,0,0,0,0,0,0,0,0,0,0.18860717576008,0,0.113023305892781,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.242519281321476,0.204319010307793,0,0,0,0,0,0,0,0,0,0.0883643737817575,0,0.0156663829544438,0.161784840733881,0,0,0,0,0,0,0,0,-0.0447745481664668,0.00158715158480381,0.059812795878439,0,0,0,0.0105511984956641,0.081995625097773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116553056053922,0,0
X388.HK.EQUITY,0,0,0.295184207088306,0,0,0,0.100032012626795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108571062182166,0,0,0.0330792063759245,0,0,0,0,0,0,0,0,0,0,0,0,0.0192747334297728,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.485120548446035,0,0,0,0.0353401373437974,0.028272922152264,0,0,0.011918982480576,0,0,0,0,0.00484315841579984,0,0,0,0,0,0,0,0,0,0,0.240404584955765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144212029638171,0,0,0.0110366946158015,0.0704268272253641,0,0.0906538883099679,0,0
X600000.CH.EQUITY,0,0,0.0364549375754047,0.157394293357303,0.0834656067469507,0,0,0,0,0,0,0,0.308941372326661,0,0,0,0,0,0,0,0,0,0,0,0,0.0380960276614502,0,0,0.153388939319305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074639924099735,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105374670167086,0,0,0,0.157981062011111,0,0,0,0,0,0,0,0.0768046089923213,0,0,0.249240370261803,0.153266258363592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851132244092827,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0158302130145366,0,0,0,0,0,0,0.0239719645567631,0,0,0.0493649280441679,0,0,0.455793617455139,0,0,0,0,0,0.0688164353847377,0,0.198622457955461,0.0353842454324991,0,0.0933701468286063,0,0,0.0597650334317958,0.010024122522361,0,0.0526425621143685,0,0,0,0,0,0,0,0,-0.0204248491336569,-0.0760473011943463
X16.HK.EQUITY,0,0,0,0,0,0,0.318268787151327,0,0,-0.0294033369638954,0,0,0,0,0,0,0,0,0,0,0.166077350803009,0,0,0,0,0,0,0,0.0678114468262224,0,0.0380142624916237,0,0,-0.052994998891102,0,0,0.295584628456061,0,0,0.176849169539684,-0.113677278425748,0.0768829775560847,0.0198982401442186,0,0,0,0,0,0,0,0.000214213028121257,0
X688.HK.EQUITY,0,0.347150572616066,0,0,0,0,0,0,0,0,0,0,0,0.0633590554986677,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163855840687643,0.0953670871892541,0,0,0,0,0,0,0,0.0880054044205501,0.0758738050619547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0.221885313260186,0,0,0,0,0,0,0,0,0,0,0,0.0371659137431006,0,0,0,0,0,0,0,-0.0617846951525996,0,0.0176806360735574,0.124296174131566,0,0,0,0,0.140502303252719,0,0,0.288406234404355,0,0,0,0.136211761491161,0,0,0,0.0883192057417659,0,0,0,0,0,0,0.180405047384777,0,0,0
X601319.CH.EQUITY,0,0,0.135068047092832,0,0.00246951153052556,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0423326064626921,0.00785196775870214,0,0,0.150811796653615,0,0,0,0,0.09987369217762,0,0.216624870901583,0,0,0.110145789408386,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.120579430075034,0.0205543736163279,0,0,0,0,0,0.325642520237433,0,0.124423571506264,0,0,0,0.211531298542322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129613914173098,0,0,0,0,0,0,0,0,0,0,0.106217208783853,0,0,0,0,0.0544303288946954,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0.248758711482135,0,0.0771692511230274,0,0,0,0,0,0,0,0.0770290714189294,0,0,0,0,0,0.032676806136157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122017760360267,0,0,0.255658845467509,0,0,0.0189902106918306,0,0.0894136361255286,0,0,0.0799667330005965,0.018064620274544,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0.0198475623525331,0,0.296295136429289,0.232709240740567,0,0,-0.0268643000120641,0,0,0,0,0.0683498627502103,0,0,0,0,0.23819699702234,0,0,0,0,0,0,0,0,0,0,0,0.0319018537313281,0,0,0,0,0,1.73472347597681e-18,0,0,0.0901831037846267,0,0,0,0,0,0,0,0,0
