,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.484860558124365,0.0899715647733675,0,0,0,0,0,0,0,0,0,0.0816411262604852,0.0668161663304924,0,0,0,0,-0.143773527000076,0,0,0,0,0,0,0,0,0.0247381334642748,0,0,0,0,0,0,0.0485275474168913,0,0,0,0,0,0,0,0,0,0,0.100372915521944,0.182406579211022,0.0392203900509785,0,0
X601318.CH.EQUITY,0,0,0.210127001976684,0.109194357665425,0,0,0,0,0,0,0,0,0,0,0.296311256463703,0.071049540363336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140467600597051,0,0,0,0,0,0,0,0.099704515110152,0,0,0,0,0,0,0,0.0238476133628049,0,0,0
X601939.CH.EQUITY,0.331725512772458,0,0,0,0,0,0,0,0,0,0,0,0,0.456200281551664,0,0,0,0,0.148630990071828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104719946369584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.347928489413424,0,0.0171070113748043,0,0.506054516563462,0,0,0,0,0,0.0105370406560189,0,0,0,0,0.0488240508789961,0,-0.0318684806798438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000432661818539398,0,0,0,0,0,0,0,0.0857531530472366,0,0,0
X601988.CH.EQUITY,0,0,0,0.109232848653521,0,0,0,0,0,0,0,0.499959345325727,0,0,0,0,0,0,0,0,0,0,0.0208193446754111,0,0.00744266288643202,0,0,0,0,0,0,0,0,0,0.104779831596273,0,0,0,0,0,0.112231780101389,0,0,6.93889390390723e-18,0,0.0312728982930321,0,-3.46944695195361e-18,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.252386154075188,-1.38777878078145e-17,0,0.11477584269753,0,0,0,0,0.45318142006881,0,0,0,0.472542522177551,0.176839839021991,-0.670224142090615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127988727884446,0,-0.32655830994516,-0.122810051950901
X600036.CH.EQUITY,0.0937124102848482,0.0304329697784772,0,0,0,0,0,0,0,0,0.156468297772797,0,0,0,0.0502167250764452,0,0,0,0.0729461760051275,0,0,0,0,0,0,0,0,0,0,0,0.107841038500517,0,0,0.239498652039825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213287280949164,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.121517085675184,0.0260881824970084,0,0,0,0.0888914918194168,0.0843133303232329,0,0,0,0,0,0,0.070787239490547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313050779429026,0,0,0
X601628.CH.EQUITY,0,0,0.299877696222683,0.135002049994302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600230426078039,0.0499786673748045,-0.00745144300547333,0,0,0,0,0,0,0,0,0.202499722017591,0,0,0,0,0.00756363987023749,-4.33680868994202e-19,0,0,0,0,0,0,0.10458206506002,0,-1.38777878078145e-17,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.265902152745227,0,0,-0.0725760637037299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.140598657021038,0,0.39520967216321,-0.360668655763837,-0.0739075875364021,0,0,0,0.841292721244278,0,-0.055337981675645,0,0,0
X601166.CH.EQUITY,0,0,0,0.176879505022814,0,0,0.253579554737908,0,0,0,0,1.38777878078145e-17,0,0.141181575949051,0,0,0,-0.0235041635890889,0,0,0,0,0,0,0,0,0,0,0,0,0.281883464847632,0,0,0,0,0,0,0,0.139125856646314,0,0,0,0,0,0,0.0485720330701923,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.255492826511058,0.201838954245213,0,0,0,0,0,0,0,0,0.176131403312047,0,0,0,0,0,0,0,0,0.279994562580555,0,0,0,0,0,0,0,0,0,0,0.0416164341267259,0,0,0.0471788517433898,0,0,0,0,0,0.0296022498264809,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0.0230641726326434,0,0,0.0220492543029248,0,0,0.0364208611715068,0,0,0,0,0,0,0,0,0,0,0.00300040835683382,0,0,0,0,0,0,0,0.102633090240957,0.570791890566876,0.0703405796503491,0,0,0,0,0.00841565051174494,0.0458231001358799,0,0,0,0,0,0,-0.0771503063954781,0,0,0,0,0,0,0,0
