,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X000776.CH.EQUITY,X600926.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.00253801545128555,0,0.337312449841192,0.110498632594336,0,0.207660396000506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165030669785816,0,0,3.46944695195361e-18,0,0,0.0158852601255377,0,0,0,0.0740000948280152,0,0,0,0,0,0.0457186227101838,0,0.024795294978905,0,0,0,0,-0.0392311871290342,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0530015425312394,0,0,0,0,0.188881680909571,0,0,0,0.00443509194199419,0,0.102694109822787,0.0249824020338706,0,0.0456137961163399,0,0,0,0.142881183269233,0.0532669934566492,0,0,0,0,0,0,0.173255556588515,0,0,0.0745371285642346,0,0,0.10243631317519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.120726948257842,0,0,0,0,0,0,0.115886742771562,0,0.0105757988736887,0,0,0,0,0,0,0,0,0.0580374764557864,0,0.312080632602147,0.0701701192286331,0,0,0,0,0.0107636753281082,0,0,0,0,0,-0.11590538877121,0,0,0.0974085501566463,0,-0.0430508407932,0,0,0,0,0,0,0.179438120537279,0,0
X601939.CH.EQUITY,0.578126390809456,0,0,0,0,0,0,0,0.24815379027915,0.083008763915202,0,0,0,0,0.0209646956221906,0,0,0,0,0,0,0,0,0,0,0,0.112238668600625,0,0,0,0,0,0,0,0,0,0.0885594364236235,0,0,0,-0.0986054413109669,0,0,0.0173373296754912,0,0,0,0,0.158296791108364,0.0622233245683429,0,0
X601288.CH.EQUITY,0,0,0,0.158775390455309,0,0,0.432057078481189,0,0,0.0669572792431194,0,0,0,0,0,0,0.115852367122784,0,0,0,0,0,0,0.039007426457634,0,0,0.0140784328172436,0,0,0,0,0.0695208630629606,0,0,0,0,-0.0142214318244465,0,0.110683913086145,0,0,0,0,0,0,0,0,0,0,0,0,-0.0666197081456767
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0741101729992803,0,0.302706605851768,0,0,0.157462857039043,0,0,0,0,0,0,0.226498197027683,-0.173171778629106,0,0,0,0,0,0,0,-0.0323051139570043,0,0.0671114650600293,0,0,0,0,0,0,0,0,0.161808879707697,0.027559297943184,0,0,0,0,0.0955363177501287,0,0.0224044702839527,0,-0.00291091684072986,0
X601988.CH.EQUITY,0.17607941382122,0,0,0,0.291998488733071,0,0,0.0756752655494225,0,0,0,0.0359034943314889,0,0,0,0,0,0,0.199117172462275,0,0,0,0,0.191530259758369,0,0,0,0,0,0,0,-0.240127573785205,0,0,0,0,0,0,0,0,0,0,-0.0150027229985958,0,0,0,0,0,0,0,0,-0.0533738887467962
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.114949459150713,0,0,0,0,0,0,0.231970311290219,0,0,0,0,0.0561987172926285,0,0,0,0,0,0.116662182136218,0,0,0,0,4.33680868994202e-19,0,0.016831696525532,0,0,0.241082791460944,0,0,0,0,0,0.26838693103238,0,0,0,0,0,0
X5.HK.EQUITY,0,0.172508674961092,0,0.142182059302814,0,0,0,0,0,0,-0.142113580296455,0.0694152084988994,0,0,0,0,0,0,0,0,0,0,0,0,0.102777966596916,0,0,0.155149545220059,0,0,0,0,0,0,0,0,0,0.281329084872338,0,0,0,0,0,0,0.0277632064654655,0,0,0,0,0,-0.0681871684755175,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.00101972415716494,0,0,3.46944695195361e-18,0.464119861055859,0,0,0,0,0,0,0,-0.0980649682582109,0,0,0,0,0,0.117092526166524,0,0,-0.0809538601964128,0.118805574771085,0,0.156896346473398,0,0,0,0.00699803716097583,0,0,0,0,0,0,0,0.0497551117330976,0,0,0,0.105336460044149,0,0,-0.109593840202113
