,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0717577613558186,0,0.643310122867218,0,0.0426365498093581,0,0,-0.0314235117069944,0,0,0,0,0,0,0,0,0.122145206359403,0,0,0,0,0,0,0,0,0,0,0.0318407976089354,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248952610925302,0,0,0,0,0,0,0.0399179663822835,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0574478169427021,0,0,-0.00481000837180094,0,0,0,0.159357954235884,0,0,0,0,0,0.459888550755525,0,0,0,-0.0404520132882931,0,0,0,0,0,0.0598172910761363,0,0,-1.73472347597681e-18,0,0.0923242483708363,0,0,0.0687124957259623,0,0,0,0,0,0.00453038576105324,0,0,0,0,0,0.0112753370966408,0,0.140679446373192
X601939.CH.EQUITY,0,0,0,0,0.439929422065002,0,0.099767653821732,0,0,0.0658373796211973,0.107394091743568,0,-0.148444380879152,0,0,0,0,0,0,0,0.0688484785932273,0,0,0,0.419898125445599,0,0,0,0,-0.0395744437618007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0982338418959614,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0385798237185808,0,0,0.231412841226051,0,0,0,0,0.153664004626802,0,0,0,0.206548184750348,0,0,0,0,0,0,0,0,0,0.0220612668687507,0,0,0,0.204659121403521,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0.0890773968756635,0,0.105784870885638,0,0,0
X601288.CH.EQUITY,0.0867708800058427,0,0,0,0,0,0.0659161648525113,-0.0197749510826036,0,0,0,0,0,0.0311982740426822,0,0,0.284091471018606,0,0,0,0,0,0,0,0.407394015803883,0,0,0,0.0390096367128009,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00487733275119655,0,0,0.0260996558132367,0,0,0,-0.0261477830008935,0,-0.118189029713503
X600036.CH.EQUITY,0,0.258611312941863,0,0,0.0101816105205388,0,0,0.0702479093879132,0,0,0,0,0,0.275731490397683,0,0,0,0,0.11841358359539,0,0,0,0,0,0,0.257486208952565,0,0.0562296943692246,0,0.0739366656236196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015072412467807,0
X601988.CH.EQUITY,0.154878720717507,0,0,0,0.215840007335369,0.317051952116951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0920728625161045,0,0,-0.02168682196977,0,0.0334198043440617,0,0,0,0,0.0217534629845347,0.204891585417941,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.133300073751102,0,0.111266084544933,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.150160383114419,0,0,0,0,0,0,0.240782056475919,0.0714975299595735,0,0,0,0,0,0,0,0,0,-0.175636313385324,0,0,0.209337028195255,0,0,0.352320668560437,0,0,0,0,0,0,0,0,0,0,0,0.0198449284510655,0,0,0.0408575756669541,0.178878728600628,0.066149249016935,0,0,0,0.0495758096827265,0,0,0,-0.0793005252888839
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.178805015994063,0,0,0,0,0,-0.159632053270364,0,0,0,0,0.205563189693041,0,0,0,0.0692768903536371,0,0,0.399876156102295,0.0599801921449087,-0.049248411981358,0,0,0,-0.0386803981697935,0,0,0,0,0,0,0.215339416737084,0.181167111549586,0,0,0,0,0,0.12534324550546,0,0
X388.HK.EQUITY,0,0.0422304921225477,0,0,0,0,0,0.0293494014407387,0,0,0,0,1.0842021724855e-19,0.0207227299721146,0,0,0,0,0,0,0.0815022439944649,0.212618938969193,0,0.0828794382475296,0,0,0,0,0,0,0.198498141895636,0,0,-2.77555756156289e-17,0,0,0.194781321531832,0.148574640220519,0,0,-0.165663864268814,0,0,0,0,0,0.222884165112153,0,0,0,0,0.0766403569109725
