,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.166663304938642,0,0.371578674899247,0,0.144263548164253,0,0,0,0,0,0,0,0,0,0,0.0127623974477187,0.318004668190274,0,0,-0.125398424037952,0,0,0,0,0,0.0306518543177179,0,0,0,0,0,0,1.6940658945086e-21,0,0,0,0,0,0,0.015135483266765,0,0,0,0,0,0,0.115723604546785,0.0228858096927188,0.00803315409725157,0
X601318.CH.EQUITY,0,0,0,0.0657382343418967,0,0,0,0,0.123643873725039,0,0.0851776173028644,-1.73472347597681e-18,0.108011594368549,0,0,0,0,0,0.109513276466124,0,0.265101942896617,0,0.050632443400999,0,0,0,0,0,0.09733044066974,0.0368190711067089,0,0,0,0,0.0192678718227616,0,0,0,0,0,0,0,0,0,0.0701055349670601,0,0,0,0,0,0,0.0998563631578569
X601939.CH.EQUITY,0.246177606250751,0,0,0,0.164090997300219,0,0,0,0,-0.0247127685179929,0.104414242793508,0,0,0,0.0792298961727167,0,0,0,0,0.101913219182699,0,0,0,0.248877901954124,0.228306814407701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119393321361903
X600036.CH.EQUITY,0,0.127569196388141,0,0,0,0.0655648507235029,0.0433586560877433,0.136794125774209,0,0,0,0,0.164648817894627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332913696200141,0,0.0606189737075119,0,0,0,0,0,0,0,0,0,0,0.114990364682093,0,0,0,0,0,0,0,0,0,0,0.0376912805898087
X601288.CH.EQUITY,0.220880460898335,0,0.0375638861188557,0,0,0.0119281213900551,-0.110943140247637,0.319524988845089,0,0,0.0614162110055239,0,0,0,-0.0253145660044094,0.0820103626690078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19060427947528,0,0,0,0,0,-0.114147621369132,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143214629536592,0,0,0,0,0,0.106859659393741,0,0,0,0,-0.0828181976657327,0,0.0296945088808326,0,0,0.213612051675495,0,0,0.0741592116173743,0.503491737722163,0,0,0,-0.0204911552243153,0.0730191075757637,0,0,0,0,0,0,0,0,0,0.0742791881645428
X1299.HK.EQUITY,0,0,-0.0348076894820439,0,0,0,0,-0.0814941357078088,0,0.0969029015155044,0,0,0,0,0,0.00632178518597808,0,0,0,0,0,0,0,0,0,0,0.0223551904415521,0,0,0,0,0,0,0,0,0,0,0,0.0727374448374813,0,0.294620893856233,0.265884324229013,0,0.176311933385657,0,0,0,0,0,0.28844224152101,0.0875276343369568,0
X601988.CH.EQUITY,0,0,0.0862186029771305,0.168688144090748,0.148367061089944,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327544665920764,0.0268356512406794,0,0,0,0,0,0,0.261275228597576,0.119445995129074,0.16576309590468,0,0,0,-0.0462951279316215,0,0.0073521429911811,0,0,0,-0.0858545723484592,0,0,0,0,0,0.0469888422826316,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.136904394214926,0,0.0141954445382645,0,0,0,-0.231367009661261,0.0367702929733448,0,0,0,0,0,0,0.0248753654481932,0.194228936233229,0,0.085115845285354,0,0.37368837552034,0,0,0,0,0,0,0,0.04248349106712,0,0,0,0.225213439704947,0,0,0.367634364722459,0.0229411702219712,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,-0.187387468115041,0,0,0,0.193296109507693,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.395691427816934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262945634136962,0,0.068170693409246,0,0,0,0.141994018964813,0,0,0,0.0323317828817218,-0.039976181732418,0
