,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN2YR
X601166.CH.EQUITY,0,0.0307758926482879,0.0323220937421811,0,0,0,0.25320974732881,0,0,0,0,0,0,0,0,0,0.166313951755394,0.040071431006481,0.0616898796431081,0,0,0.0584303333755793,0.0531900165807716,0,0.0450531124409634,0,0,0,0.0194772635978248,0,0,0,0,0,0,0,0,0,0.0155616716951085,0,0,0,0,0,0,0.00839750554436144,0,0,0.344684523492515,0,0,0
X000002.CH.EQUITY,0,0,0,0.192901273081797,-0.193118090760291,0,3.46944695195361e-18,0,0.267135599654408,0,0,0,0.387420474443265,0.163054815046816,0,0,0,0,0,0,0,0,0,0,0,-0.181833362242843,0,0,0,-0.0518100172833465,0,0,0,0.0304243863404578,0,0,0,0,0,0,0,0,0,0,0,0.0130197367774945,0,0,0,0,0,0.0566573814290632
X601328.CH.EQUITY,0,0,0,0.257481715254728,0,1.73472347597681e-18,0,0,0,0,0,0.0484480654224851,0,0,0,0,0,0.0673418856501275,0,0,0,0.35130166120887,0,0,0,0,-0.00275350337492946,-0.0602330829732787,0,0,0,0,0,0,0,0,0,0,0,0.115746750579523,0,0,0,0,0.113009497206292,0,0,0,0.00576057381167257,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0.606366111340563,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211575313434722,0.0826247087093905,-0.165861473641391,0,0,0,0,0,0.132855456952079,0,0,0.120086672079065,0.0292880326339764,0,0,0,0,0,0,0,0,0,-0.172041349992205,0
X600000.CH.EQUITY,0,0,0,0.116354400929078,0,0.293912518224755,0,0,0,-0.0376306174421078,0,0,0,0,0,0,0.0958081631085436,0,0,0.0949109502760201,0,0,-0.0542899453217623,0,0.0827432075385151,0,0,0,0,0,0,0,0,0,0.013121128551006,0,0,0,0,0,0.629709745854409,0,0,0,0,0,0,0.174801196550455,0,0,0,0
X601601.CH.EQUITY,0,0.116679121201177,0,0,0.33424744977974,0,0,-0.0159591147719404,0,0,0,0,0,0,0.184366035823355,0,0,0,0,0.158922070663508,0,0,-0.0417605489544058,0.132005599566439,0,0,0,0.085088081294778,0,0.0532193659137092,0,0.0447806438634724,0,0,0,0,0.132004509633533,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0513475133356268,0
X601319.CH.EQUITY,0,0,0,0.152549717234657,0,0,0,0,0,0,0,0.002057747097096,0,0,0.269739263613527,0,0,0,0.0917184943007185,0,0,0,-0.0483574289453123,0,0,0,0,0.0111330064779089,0.0302746135357936,0,0,0,0,0,0,0,0,0,0,0,0,-0.105381862968524,0.0892380641833509,0,0.149453136009573,-0.0264589067274772,0.134415721356496,0,0,0,-0.114884062979909,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115703316427039,0,0,0,0,0,0.298008626107474,0,0,0,0,0,0,0.0889065479032688,0,0,0,0,0,0.0490530271019411,0,0,0.309779421063078,0,0,0,0.1647962948004,-0.0666646885553342,0,0,-0.083713915134519,0,0.0232593319050307
X600016.CH.EQUITY,0,0,0.0311220739637326,0,0,0,0,0,-0.00841188431678723,0,0,0,0,0.120002753921309,0,0.112901452218629,0,0,0,0,0,0,0,0,0.0289855141091977,0,0,0,0,0.110826482169509,0.0487060328331531,0.173599770090368,0,0,0.0592970571405182,0,0,0,0,0,0,0,0,-0.0352332514096842,0,0,0.0878418412923095,0,0,0,0,-0.0653781878297957
X1109.HK.EQUITY,0,0,0,0,0,0,0,0.0968181553504609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361572173179528,0,0,0,0,0,0,0.0105401256397013,0,0,0,0,0,0,0.0220530365565563,0,0.115876607823931,0,0,0,0.253668447624076,0,3.46944695195361e-18,0.0548857690486002,0.128597936364725,1.73472347597681e-18,-0.241990453258591
X601998.CH.EQUITY,0.230584006782696,0,0,0,0,0,-1.73472347597681e-18,0,0,-0.0186463129267943,0,0,0,0,0,0,0,0,0.114497988215282,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1079506410729,0,0.535009098757201,0,-0.113415328759692,0
X2388.HK.EQUITY,0,0,0,0.00914263672645555,-0.0180377492920753,0,0,0,0.125572596871413,0,0,0,-0.169206659463298,0,0,0,0,0.223709623929728,0,0.0301523206417594,0,0,0,0,0,0,0.242609544782216,0,0,0,0,0,0,0,0,0,0,0,0.144243095653953,0,8.67361737988404e-19,0.117755191654952,0,0,0.0241486422054154,0.260811700573273,0,0,0,0,0,-0.321328392637631
X688.HK.EQUITY,0.254639412925612,0,0,0,0,0,0,-0.00854394345687636,0,0,0,0,0,-0.0273601526868807,0,0,0,0,0,0,0.2847742973496,0,0.124002107959517,0,-0.124595478735104,0,0.0369034092812954,0.101373795614831,0,0.0884212936480347,0.48982058476549,0,0,0,-0.216273951620162,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.0663140703278196,0,0,0,0,0,0,-0.146258740360683,3.46944695195361e-18
X11.HK.EQUITY,0,0,0,0,0,0,0,0.119011564426553,0.494733475492422,0,0,0.117035333840081,0,0,0,0,0,0,0,0,0,0.00272967802228084,0,-0.229534353832969,0.237367828107352,0.0471433482711941,0,0,0.0341414759054685,0.0324818104283853,0,0,0,0,0,0,0,0,0.0274369878140625,0,0,0,0,0,0,-0.0490429371678571,0,0,0,0.0673902989767825,-0.0377707065045235,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.270481322540974,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.0679359874337919,0,0,0,0,0,0,0,-0.0594348289051158,0,0,0.25652259050369,0.0507404062684654,0.110784762620697,0.00437814947765667,0,0,0,0,0,0,0.000294399728985167,0,-0.00805851212106137,0.126872068509317,0.00911997974578119,0.0563929216590081,0.164620038613681,0,-0.0436998363720507
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363340461336851,0,0.717460288560216,0,0,0,0,0,0,0,0,0,0.113676039666514,0,0,0,0,0.114991276403076,0.0836861193714997,0,0,0,0,0,0,0,-0.117184877045812,0,0.0935232798964438,0,-0.0336484017799458,0.0188622534968604,0,1.73472347597681e-18,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,-0.311932902191341,0,0.0102753612200935,0,0,0,0,0,0,0.379451093358671,0,0,0,0,0.0687064858211695,0,0,0,0,0,0,0.274687225777466,0,0,0,0,0,0,0,0.182036467984085,0,0,0.0548389562452662,0.235482060321659,0.101795914015288,0,0,0,0,0,0,0,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0.136151107817741,0,0.0673811886899557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180879746508833,0,0,0.129629372066839,0,0,0,0.382453831148539,0,0,0.0161367489063854,0,0,0,0,0,0,0,0.0513427836139624,0,0.0938582648226056,0,-0.110842791709109,0,0,-0.0438898781690323,0
X601818.CH.EQUITY,0,0.124537945126271,0.0435941423691824,0.127068245687792,0,0,0.0811971115972483,0,0,0,0,0,0,0,0,0,0,0.0555422646141743,0.0352588923556434,0.160425999311532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0799933879590416,0.0515397315981161,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0.211861604795233,0,0,0,0,0,0,0,0.0891434849652839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443925328420225,0.196363293639594,0,0.0330075174685798,0,0,0,0.122057271036066,0,0,0,0,0,0,0,0.0112194010128982,0,0,0,0,-0.0377612744653156,0,0,0,0,0,0,-0.0787288890397022
