,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.176370391307679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0805268824206024,0.0549953192069015,0,0.403109973398789,-0.236728493362289,0.23371505497977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590345160510639,-0.0459890666468683
X601318.CH.EQUITY,0,0,0,0,0,0.325918904290651,0,0,0,-0.0623034273342937,0,-1.38777878078145e-17,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0845269043789285,0.0965569990037346,0,0,0,0,0.221131723486317,0,0,0,0,0,0,0,0,0,0,0,0,0.056708036844546,0,0,0.0569379616973694
X601939.CH.EQUITY,0,0.0819012572232775,0,0.802213148946314,0,0,0.00155050617341626,0,0,0.0438337500260208,0,0,-0.0103328509735023,0.014469220131829,0,0,0,0.0800863133289771,0,0,0,0,0,0,1.73472347597681e-18,0,0.0256982236896027,0,0,0,0,0,0,0,0,0,0,0.0686829129374559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.893094282213523,0,-0.0584494972681437,0,0,0,0,0,0,0,0,0,0,0.00574855069200123,0,0,0.167789293012818,0,0.00870318393720804,-0.0555767458032046,0,0,0,0,0.0488538090037676,0,0,0,0,0,0,0,0,0,0,0,0,-0.0515266285033884,-0.112377154663768,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.287395868573947,0,0.132098526370661,0,0,0,0,0,0,0,0,0,0,0.00418959243780651,0,0,0,-0.0411134745592428,0,0,0,0,0,0.0381645726379971,0,0,0,0,0.537575376785203,0,0,0,0,0,0,0,0.0943883225521808,0,0.208323903352298,0,0,0.0475629351512134,0.106516043635471
X600036.CH.EQUITY,0,0,0,0.328859916754126,0,0,0.00603443957582312,0,0.0354580878620281,0,0,0,0,0,0,0,0.172008318115292,0.0120347437229992,0,0.0251103433319435,0,0,0,0,0,0,0.0349672973477582,0.170452763150123,0,0,0.113410841607609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405970533004662,0,0,0,0,0.0420902663331991,0,0
X601988.CH.EQUITY,0,0,0,0.0791656133457424,-0.0287119788806747,0,0,0,-0.0381938863532504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462836732898998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.000844295684318923,-0.120294221316709,0,0.991411617908721,0,0,0.0170422507280482
X1299.HK.EQUITY,0,0,0,0,0.0847431751599878,0.0580829229186681,0,0,0,0.204114781201348,0,0,0,0,0,0.00405068499454488,0,0,0,0,0,0.316075970046061,0,-0.110427171873556,0,-0.071496549875337,0,0.109294952375504,0.110039455549094,0,0,0,0,0.127277051830417,0,0,0.0360667232419885,0,0.104685918549659,0,0,0,0.115145767401907,0,0,-0.0181383634477623,0,0.150702724002368,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018346125923822,-0.174358007862111,0,0,0,0,0,0,0,0.134914312073728,0,0.448488773865623,0,0,0,0,0,0,0,0,-0.157311756051092,0.111263288937995,0,-0.0778732903036551,0,0,0.0377492356741912,0.173610146153127,0,0,-0.176288831885665,0,0.03185181790617,0.022914555481838,0
X388.HK.EQUITY,0,0,0,0,0.224102895911561,0,0,0,0.0930469903204428,0,0,0,0,0,0,0,0,-0.0788138957329926,0,0,0.0596869556495282,0.263536060267521,0,0,0.15697233957103,0,-0.0433584601885617,0,0,0,0,0,0,0.204462465082057,0,0,0,0,0,0,-0.000651353688814065,0,0,0,0,8.67361737988404e-19,0,0,0,-0.204584208477601,0,0.253804178267997
