,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0293524522844067,0,0,0.111448167230161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149897818220807,0.666884462783391,0.17535264501196,0,0,-0.115981744615666,0,0,0,0,0,0.00234683990520257,0,-0.212271976097861,0,0,0,-0.134762670842368,0,0,0,0,0,0,-0.286374068340959,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0324097399624415,0.00698255957926945,0,0,0,0,0,0,0,0,0,0,0,0.337840822397228,0,0.0700616111795906,0,0,0,0,0,0,0,0,0,0.0841034466365171,0,0,0,0,0,0,0.321230373051629,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.17137841616367,0,0,0,0,0,0,0,0,0,0,0,0.153626124745349,0.0470084245315126,0,0.479269156396236,0,0,0,0,0,0,0,0.0537023223870311,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0674639863884034,0,0,0,0,0,0,0,0,0,0,0.0303072550562518,0,0,0.0854484950498388
X601288.CH.EQUITY,0,0,0.145491973585068,0,-0.00124670888547381,0.378550499940715,0.0919788380664945,0,0,0,0,0,0,0.448244720544628,0,0.00705654920006527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0327911280373969,-0.0668331984180501,0,0,0,0,-0.056697925953374,-5.42101086242752e-20,0,0.0214532314760662,0,-0.00898596914655745
X601628.CH.EQUITY,0,0,0,0,0,0,0.247160420441224,0,0,0,-0.0623838848918743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192745398564211,0.0953601512601492,0.1094817434485,0,0,0,0.0592626891655487,0,0,0,0,0,0,0.0123933179679277,0,0.00671953164059937
X601988.CH.EQUITY,0,0,0.0650738697685018,0.0627909474380825,0,0,0,0,0,0.350703444189888,0,0,0.181231204589313,0,0.176645686677615,0,0,0,0,0,0,0,0,0.0949013478391644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0897406154329559,0,0,0.119139555252696,0,0,0,0,0,0,0,0.175071776721299
X600036.CH.EQUITY,0,0,0.268278708707086,0.112733635805178,0,0,0,0.107587440769826,0.090430273925415,0,-0.0545237279262471,0,0,0,0,0,0,0,0,0.0221428677375915,0,0,0,0,0,0,0.0594897084593616,-0.0190132203760457,0,0,0,0,-0.0277188499109709,0.245615648620711,0,0,0,0,0,0,0,-0.0729535873911246,0,0,0,0,0,0,0,0.0979525091557012,0,0
X1299.HK.EQUITY,0,0,0,0,0.189817152424347,0,0,0,0,0,0,0,0,0,0,0,0.018652476212403,0,0,0,0,0.178748864033664,0,-0.0621967244131773,0,0,0,0,0.128638425518299,0,0,0,0,0,0,0,0,0.0204663710394785,0,0,0,0.141207512786029,0.146762922408522,0,0,0,0,0,0,0.455519013831248,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0519180180556738,0,0,0,0,0,0,0,0,0,-0.0735239656858387,0,0,0.793870420949127,-0.449024205738094,0,0,0,0,0.693382669367375,0,0,0,0,0,-0.15860277981248,0,0,0.0620382385687126,0,0,0.269512625887386,0.166409442733032,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0.00633749235027307,0,0,0,0,0,0,0,0,0,0,0,0.20239416566536,0.0383154009760101,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251583391965252,0,0,0,0.0186673741109612,0,0,-0.015894551097088,-2.16840434497101e-19,0
