,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.550707298709254,0,0,0,0,0,0,0,0.0983461095030854,0,0,0,0.142276734281314,0,0.134906164442852,0,0,0,0,0,0,0,0.000987281389941495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472087389402627,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.106433330293589,0.310365968457304,0,0,0,0,0,0,0,0.262622082417913,0,0,0.0869524190972494,0.0598329438993957,0,2.71050543121376e-20,0,0.00343019902372335,0.0949107162011864,0,0,0,0,0,0,0,0,0.00916588189324274,0,0,0,0,0.0308397121201988,0,0.0104528911129093,0,0,0,0,0,0.0158714013647516,0,0
X601939.CH.EQUITY,0,0,0,0.539440022716382,0,0.0509785865908769,0.125624469437178,0,0,0.0190064020064015,0.0893558752087281,0,0,0,0,0,0,0,0,0,0.025096094107604,0,0,0,0,0,0,0.201583317640248,0,0,0,0,-0.0203666162491017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.108144531333883,0,0,0.711768992521859,0,0,0,-0.230261023589846,0,0,0,-0.292307490286362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118043796055247,0.00994069590004949,0,0.103745964267628,0,0,0,0,0,0,0,0,0,0,0.105478290731944,0,-0.154190660722748
X5.HK.EQUITY,0,0,0,0,0,0.144132654337601,0,0.353668961125081,0,0.075620094293948,0.0312880936015569,0,0,0,0,0,0,0,-0.0182219672243721,0,0,0,0,0,0,0.010893165741172,0,0,-0.159265816424245,0,0,0,0,0,0,0,0.115390956104077,0,0,0.260739681319286,0,0,0,0,0,0,-0.0991604346094073,0,0.0475940610122143,0
X601988.CH.EQUITY,0,0,0.240655279749235,0,0.185815764266143,0,0,0.0968765136882777,-1.38777878078145e-17,0,0,0,0,0,0,0.158117256704493,0,0,-0.0568533317901081,0,-0.224297924559191,0,0,0,0.204582086141846,0,0,0,0,0,0,-0.127748918949075,0,0.0286829403995942,0,0,0,0,0,0,0,0.0572100134696747,0,0,0,0,0,0,-0.0155544304485207,0
X600036.CH.EQUITY,0,0.120886329627275,0,0,0,0,0,0,0,0.421895454502875,0,0,0,0,0,0,0.153619092274332,0.059336138736473,0,-0.12985664852391,0,0,0,0,0.0759199869412586,0,0,0,0,0,0.214280108696435,0,-0.0380299837213361,0,0,0,0,0,-0.0692001298790622,-0.165546311314386,0,0.124602474721333,0,0,0.198827010500853,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.196174597121489,0,0,0,0,0,0,0,0,0,0.0109567577532343,0,0,0.138214457371774,0,0,0.0759170179902828,0,0,0,0,0.0231997578614076,0,0,0.0470634173466484,0,0.0995625261934393,0,0,0,0,0,0.463406298360572,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0309254885315479,0,0,0,0,0,0,0,0.132890195396028,0,0,0,0,0.404390094683973,0,0,0,0,0,0,0,0.00349894999996926,0,0,0,0,0,0,0,0,0,0.0668318070584057,0,0,0.18005327629489,0,0,0.185606811251038,0,0,0.0733990633893857,0.047839016491061,0,0,0,0,0
X601328.CH.EQUITY,-6.93889390390723e-18,0,0.207952140420199,0,0,0,0.417757188524561,0,0,0,0,-0.0416022139899617,0.499199520843814,0,0,0,0,0,0,0,0.0471407202808617,0.147613735596333,0,0,0,0,0,0,0,0,0,0,-0.0366858131044937,-0.0484357489426329,0,0,0,0,0,0,0,-0.116781796879593,0,0,0,-0.122247331480863,0,0,0,0
