,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.133823067991379,0,0.110770878454813,0,0.0698881750740723,0,0,0.333915105905981,0.0505184886586385,0,0,0,0,0,0,0,0,0.12365975505111,0,0,-0.0722476309838708,0,0,0,0,0,0,0,0,0.196125738185505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.39594277161275,0,0,0.0517698473012942,0,0,-0.0805291706404309,0,0,0,0,0,0.489436572171759,0,0,0,0,0,0,0,0,0,0,0,0,-0.0684978914679081,0,-0.0304866276131798,0,0,0,0.0848904982058269,0,0,0,0,0,0,0,0,0.00763527247903867,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0315081339119537,-0.103513074909109
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0421753457074601,0,0.0228730781609813,0.303971564326777,-2.16840434497101e-19,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0978477074194681,0,0,0.112967162482402,0,0,0.0819791146277936,0.207968159977971,0,0,0,0
X601288.CH.EQUITY,0.385406898372173,0.00416921707470675,0,0,0.345554523141837,0,0,0,0,0,0.10005435540335,0,0,0,0,0.0613578680132119,0,0,0.0616407403857028,0,0,0,0,0,0,0,0,0,0,0,0.0135275798811718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375766770724248
X601988.CH.EQUITY,0,0,0,0.358712944614347,0,0,0,0.0167688454152488,0,0,0.22174476953021,0.0990896912859468,0,0.10214282376677,0,0,0,0,0.166678156972137,0,0,0,0,0,0,0,-0.0306723730952138,0.0357878578316183,0,0,0,0,0,0,0,-0.0205157479581464,0,0,0,0,0.056906333642441,0,0,0,0,0,0,0,0.0178989614986748,0,0
X600036.CH.EQUITY,0,0,0.0208627643024733,0,0,0,0,0,0,0,0,0.41351204566421,0,0,0,0,0,0,0,0,0,0.0528916386922198,0,0,0,0,0,0.131903969517757,0,0,0,0,0,0,0,0,0.0824452417401594,0,0,0,0.0590567091599964,0,0,0,0,0,0,0,0,0.259886581107176,0
X1299.HK.EQUITY,0,0,0,0,-8.67361737988404e-19,0.0130482916486448,0,0,0,0,0,0,-3.46944695195361e-18,0,0.00865011851772147,0.324631588402096,0,0.0702629374777088,0,0,0,0.0641172446166311,0,-6.93889390390723e-18,0,0.196604462556702,0,0,0,0,0,0,0,0,0.16816733068425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320454344434416,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.406095177670525,0,0,-0.536024206738351,0,0,0.810582709837863,0,-0.833262334520966,0,0,0.635740603813875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15479182744069,0,0,0,0,0.255039347883992,0.0306727188835856,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.407166951247691,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0502374859510875,0,0.284474156264618,0,0,0,0,0,0,0,0,0,0,0.0128780670104705,0,0,-0.0480026424175456,0,0,0,0,0.129798152686574,0,0,6.93889390390723e-18,0,0,0,0
X601658.CH.Equity,0,0.090152309652048,0,0.219273911830852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528498006070186,0,0.367342888051302,0.50601085094848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266843029497476,0,-0.638276090739072,0,0
X601328.CH.EQUITY,0,0,0,0.319985934134491,0,0,0,0,0,-0.0436555851288876,0,0,0.366141721226726,0.0502953320636567,0,0,0,0,0,0.161310860328217,0,0,0,0,0,0,0,0,0,0,0.0292193313334787,0,0,0,0,0.0205941960478439,0,0.0734128702221711,0,0,0,0,0,0.052503039573818,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.00494902224086331,0,0.0655445921784677,0,0.159801677809012,0,0,0,0,0,0,0.0709296699695373,0,0,0,-0.0151242980936383,0,0.00241001837445742,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.318639902026283,0,0,0,0,0,0,0,0.0745528778403597,0.000172243708291788,0,0,0,0,0,0.244472609910816,0,0,0,0.0948253798545234,0
X600000.CH.EQUITY,0,0,0,0.0185729542897866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495402918927171,0,0,0,0,0.209417678843293,0,0,0,0,0,0,0,0.040228612800477,0,0,0,0,0,0,0.00380047213711404,0,0,0,0,0.0584139544503714,0.0543333641002154,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825409150484892,0,0,0,0.523362364563668,0,0.131129394384817,0,0,0.126318584219538,0,0.026170068824001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0.0439427416673502,0,0.0460221104524938,0,0,0,0.205989454909371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158298111278337,0,0,0.197621389842718,0,0,0,0.193739726066031,0,0,0,0,0.129600208847913,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.219277424770666,0,0,0,0.451862830233024,0,0,0,0,0,0,0,0,0,0,0,0.0338552015237895,0,0,0,0,0,0,0,0,0.0396255911960912,0,0,0,0,0.00660050117545384,0,0,0,0,0,0,0,0.00463699942753848,0,0,0.00408532967061414,0,0,3.46944695195361e-18,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267425837642476,0.180268326802057,0,0,0,0.0303983014465546,0,0,0.00495231845410895,0.00461316294179211,0,0,0.243645979455522,0,0,0.15902452958269,0.0338554024801225,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0.00885132751477734,0.068324498032026,0.0770692051010745,0,0,0,0,0.0240614840378055,0,0,0,0,0,0,0,0,0,0,0.332979439623851,0,0,0.317030533160869,0,0,0,0,0,0,0.0579826453314705,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0.250845663417174,0,0.278130539785218,0,0,0,0,0,0,0,0,0.128676786763099,0,0,0,0,0,0,0,0,0,0,0.00435816310036923,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.287607620419938,0,0,0.031280935821998,0,0,0,0
X600016.CH.EQUITY,0,0.0562763265047043,0,0.00323990236098409,0,0,0,0,0,0,0.25323251384826,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417638651269272,0,0,0,0,0,0.105288230469742,0,0,0,0,0,0,0,0,0.00443123777969152,0,0,0,0,0,0.118276967576921,0.0204919775639236,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.170396753806499,0,0,0,0,0,0,0,0.0835472707472323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249652860129724,0,0,0.12326410132407,0,0,0.328830091721058,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0.242086135975927,0.293647135396912,0,0.0451166367555578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529624698142446,0,0,0,0,0,0,0,0,0,0,0,-0.077057599354459,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0.149429790018393
X601601.CH.EQUITY,0.0674025801230662,0.0275673844410634,0.0205697692978357,0.0731977081829993,0,0.0110436772458793,0.130820711711439,0,0,0,0,0,0,0,0,0,0,0,0.0555024321460384,-6.93889390390723e-18,0.404324581323274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172094257422952,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0.133268830924537,0,0,0,0,0,0,0.0454311367441905,0.0204802294408606,0,0,0,0,0,0.391237192418573,0,0,0,0,0,-0.0639761377985259,0,0,0,0,0,0,0.349558111778256,0,0.0909986627942129,0,0,0,0,0,0,0,0,0,0,0,0,0.0771750300738357,0
X601998.CH.EQUITY,0,0.01527154771117,0,0,0.27633140058588,0,-0.0700784187953044,0,0,0,0,0,0.0578345495016161,-0.0580965008140419,0,0,0,0,0.010257179012934,0,0,0,0,0,0,0,0,0.038615308862215,0,0,0.1321275103952,0,0,0,0,0,0,0,0,0.0653885651590949,0,0,0,0.0148067997777396,0,0.508523656290532,0,0,0,0.0270809365242258,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0416648900054015,0,0,0,0.296253233810397,0,0,0,0.42242593377026,0,0,0,0,0,0,0,0,0.310234222238941,0,0,0,0,0,0,0,0,0,0,0,0.084457565372983,0,0,0,-0.171114661852911,0,0,0,0,0,0,0.0278873067796383,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0.13823885234341,-0.265923266321486,-0.144780423722964,0,-0.0215611515633987,0,0,0,0,0,0,0,0,0.12416623075049,0.281061877620612,0,0,0,0.331222772968207,0,0,0,0,0,0,0,0,0,0.110349389907307,0.112069692698212,0,0.0341301557977805,0.039439054350787,7.86925682635828e-05,0,0,0,0.281612953110811,0,0,0,0,0,0
