,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X16.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600926.CH.EQUITY,X601169.CH.EQUITY,X601155.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.0244304930734798,0,0.331676782422893,0.110200865504463,0,0.22178793539473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165695364322699,0,0,0,0.030384728347515,0.0171988118980991,0,0,0,0.052421252352902,0,0,0.0209717240654778,0,0,0,0,0,0,0,-0.0331740960275708,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0784324258307448,0,0,0,0.105789729864086,0.0832643085595714,0,0,0,0.147590158998049,0.027014980805741,0.187650518746278,0,3.46944695195361e-18,0,0,0,0,0.129980818320736,0,0,0,0,0,0,0,0,0,0.113880977519018,0,0,0,0,0.0072065057322267,0.123539911347556,0,0,0,0,0,0,0,0,0,0,0,0,-0.0721587375604679
X600036.CH.EQUITY,0,0,0,0,0,0.145857536796381,0,0,0,0,0,0,0.186898571775567,0,0,0,0,0,0,0,0,0,0,0,0.0934981039471766,0.2546981120068,0.033292488946367,0,0,0,0.0066428568104603,0,0,0,0,0,0,-0.105790177185484,0.0689428028078251,0,0,-0.0471649237976976,0,0,0,0,0,0,0.217442839609169,0,0
X601939.CH.EQUITY,0.586517777572327,0,0,0,0,0,0,0,0.232901993105343,0,0.101176072045434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112913639609346,0,0,-0.0558051999716278,0,0,0,0,0,0,0,0,0.144783715481268,0.0739924934109484,0,0
X601288.CH.EQUITY,0,0,0,0.206942029906394,0,0,0.446454234535491,0,0,0,0.0952972312951104,0,0,0,0,0,0,0.0597870823875618,0,0,0.0243180181724465,0,0,0,0.0342677409933682,0,0.0386862844872177,0,0,0,0,0,0.0943487056350359,0,0,-0.0108036089034647,0,0,0,0,0,0,0,0,0,0,0,0.0163570944641342,0,0,0
X1299.HK.EQUITY,0,0,0,0,-0.048048225574503,0,-0.0452083703692599,0,0.0353248538650595,0,0,0,0,0.107979589782526,0,0,0,0,0,0.177874460756615,0,-0.197764630874069,0,0,0,0,0,0.0732835346320946,0.288579490411514,-0.046462900126763,0,0,0,0,0,0,0.0390243245479677,0,0.202575227463994,0,0.214775154258648,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.147912064464048,0,0,0,0.376536166281823,0,0,0.0621636267249578,0,0,0,0.00763532499338906,0,0,0,0,0,0,0.21416638568665,0,-0.0461299391705356,0,0,0,0.159229429555324,0,0,0,0,0,0,-1.73472347597681e-18,-0.233104436562037,0.00562264797539067,0,0,0,0,0,0,0,-0.019878988540555,0,0,0,0,0,0,0,0,0.0227184371120658
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.104058232068199,0,-0.0951587840150701,0,0,0,0,0,0,0.185982281155495,0,0,0.0193636116795788,0.0215666596033097,0,0.0796880231481418,0,0,0,0,0.115928420491592,0,0,-0.0661372141175591,0,0.182026841137052,0.160584550399347,0.257032170558215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.235261092091886,0,0.127500393381331,0,0,0,0,0,-0.102865186640934,0.0662570272827991,0.0390795357374888,0,0,0,0,0,0,0,0,0,0,0.312452114103676,0,0,0,0,0.119625069478758,0,0,0,0,0,0,0,0,0,0.198859995391646,0,0,0,0,0,0.111095229179883,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137242788501865,0,0,0,0,0,0,0,0,0.0294485129986055,0,0,0,-0.168967400572201,0.0383608569317068,0,0.114365015012966,0,0,0,0,0.201089917990962,-0.117897379436668,0,0.322245414384484,0,0,0,0
