,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.162199687096194,0,0.31583380160367,0.0314113633850183,0.109467742776871,0,0,0,0,0,0,0,0,0,0,0.00957969725409235,0.348086275264924,0,0,0,0,-0.0729347929251815,0,0,0.00845797657408246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462507218537129,0,0,0,0.0454608856312348,0.0717046460316543,0.0652204456873407,0,0.0578339199307036
X601318.CH.EQUITY,0,0,0,0.141602508478265,0,0,0,0,0.164968348456089,0,0,0.111984631462096,0,0,0,0,0.0246289277892401,0,0.143365153143231,0,0.2164583578693,0,0,0,0,0,0,0,0.0680237625859961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306638394253507,0,0,0,0,0,-0.16820350855375
X601939.CH.EQUITY,0.262882265761968,0.00695259890235105,0,0,0.134061152094244,0,0,0,0,0,-0.0361057808391501,0.105581221022632,0,0.0684702267756238,0,0,0,0,0,0.0950766907571244,0,0,0.272134126575006,0,0,0.21854408474299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.135098508313797,0,0,0,0.0459511628098108,0.0901943247096333,0.131992618730893,0,0,0,0,0.173292158942248,0.09071057324737,0,0,0,0.00596059142196704,0,0,0,0,0,0,0,0,0.271982591903299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109955729068733,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.253166639681443,0.077360455583527,0.0455524258611392,0,0,0,0,0.327195936409575,0,0,0,0,0,-0.0233038661476063,0,0.137509498569602,0,0,0,0,0,0,0,0,0.0610651794934806,0,-0.0396086793976582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158555667297548,0,0,0,0,0,0
X601628.CH.EQUITY,0.0810755678066612,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0193338904928753,0,0,0,0,0,0.199408635654979,0,0,0,0,0,0,0,0.141714840911921,0,-0.0966330313471853,-0.0645953928029016,0,0,0,0,0.0594694334235765,0,0,0.655180281008187,0,0,0,0,-0.0410629030298035,0.175781696664882,0,0,0,0,0,0,0,-0.0197404396803715,-0.0529960479726241
X1299.HK.EQUITY,0,0,0,0,-0.0136337865062859,0,0,0,0,0,0.0831715176926017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156017794539421,0,0.0686474269457221,0,0.320207323181935,0.248122575274779,0,0.166807499691846,0,0,0,0,0,0.309539555150128,0
X601988.CH.EQUITY,0,0.121246915149267,0.00711801367108636,0.312648601015813,0.244573173024499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269653786381459,0,0,0,0,0,0,0,0,0.0979413710486731,0.118483573953996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334012222924821,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.128298910831482,0,0,0,0,0,0.0385430711941092,0,-0.00822694223665559,0,0,0,0,0,0,-0.0762086986109434,0,0,0,0,0,0,0.0784498021259535,0,0.0187900399561347,0,0.312458712191565,0,0,0,0,0,0,0,0,0.107206313319149,0,0.220455914267526,0,0,0.234436029796326,0.117000484115646,0,0,0,0,0.0169036391923785,0,0,0
X601166.CH.EQUITY,0,0,0,0.156000527225248,0,0,0,0,0,0,0,0.141534975943293,0.0265505910898517,0,0,0,0.0212178001875989,0,0,0,0,0,0,0,0,0,0.181754185177994,0,0,0.39417687087891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0508983310600056,0,0,0.107622011063744
