,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.135074839569639,0,0.016589219600107,0,0,0,0,0,0,0.27577467179305,0.244714825759121,0,0,0,-0.0878581638861214,0,0,0,0,0,0,0.0202194343114229,0,0,0,0,0,0,0,0,0.02226616307591,0,0.261124588332634,0,0,0,0,0.0409308196040204,0,0,0.0551763201141613,0,0,0,0.0199020287645782,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.261780472192431,0,0,0.139940885148839,0,0,0,0.0412645032678885,0,0,-0.0311536693065694,-0.130488350261378,0,0,0,0,0,0,0,0,0,0,0,0.187139951957982,0,0,0,0,0,0,-0.312392510181157,0,0.309611827868724,0.0558452477026945,0.267612123900993,0,0,0,0.0217093795517623,0.0823306754957247,0,0
X601939.CH.EQUITY,0.492558494437021,0,0,0,0,0.18286082147313,0,0,0,0,0,0,0,0.069165832967188,0,0,0,0,0,1.73472347597681e-18,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372934646586845,-0.113399166866393,0,0,0.0443408929390383,0,0,-0.0482295105084291,0,0,0,0
X601288.CH.EQUITY,0.612786890157056,0.0831394760004678,0.114592911846955,0,0.0467455925030177,0.0198957085833149,0,0,3.46944695195361e-18,0,0,0,0,0,0.00619367911715027,0,0,0,0,0,0,0,-0.0388525160104864,0,0,0,0,0,0,0,0,0,0.11798625266488,0,0.0353711092656136,0,0,0.0529718508240142,0.18077872116638,0,0,0.0314477421252875,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0.0392600934349672,-0.0375025905356784,0.118915188219401,0.0569618484061772,0,0,0,-0.139101296884805,0,0,0.0649092881051614,0.26000208011884,0,0,0,0,0,0.705093004421997,0,0,0,0,0,0,0,0,-0.149923433275267,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.12464126814142,0,0,0,-0.0211875680356781
X601988.CH.EQUITY,0.133317573827785,-1.73472347597681e-18,0.203858578621683,0.0663455243003461,0,0,0,0,0.0773667621316746,0.105219003186773,0.103742374173054,0,-0.277160293144428,0,0,0,0,0,-0.0164822363461062,0,0,0.211760877510177,0,0,0,0,0.16325812692228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101003980021253,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0396299763998865,0,0,0,0,0,0.043362938653768,0,0,0,0,0,0.247619733782151,0,0.148018875265057,0,0,0,0,0,0,0,0.165838752030044,0,0,0,0,0,0.00915335927166372,0,0.136984347267856,0,0,0,0.0383185284139462,0.089851510514266,0,0,0,0.0167004225786432,0,0,0,0,0,0.0278515547753499,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.18343120307261,0,0,0.0346664075275551,0,-0.0996770344381993,0,-0.0498585551573753,0,0,0.272197124830395,0.262994180761341,0,0,0,0,0.12147501767886,0,0,0,0.137265576321711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178519033937064,0
X601628.CH.EQUITY,0.106218187379721,0.359660989081482,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.086778931195593,0,0,0,0,0,0,0,0,0,-0.0313581644942413,0,0,0,0.0818924021460953,-0.241390144549489,0,0,0,0,0,0,0,0.236416806342254,0,0,-0.0863276311082166,0.122078524713499,0,0,0,0.149011247630507
X601166.CH.EQUITY,0.174731145110035,0,0,0,0,0.0797545537481722,0.298212056495241,0,0,0,0,0,0,0,0,0.417718809907685,0,0,0,0,0,0,0,0,0,0,0.0561908430322026,0,0,-0.093029605543298,0,0.109515200481768,0.0301964366499279,0,0,0,0,0,0,0,0.0900348971458875,0,0,0,0.106850649681384,0,0,0,0,0.0251993171333995
X601328.CH.EQUITY,0,0,0,0.0203991210838134,0,0.0826653763034965,0.0438306362218391,0,0,0,0,0.355085627751579,0,0,0,0,0,0,0.0291678197606753,0.195050742626521,0,0.00723318318215398,-0.106507217951815,0.115925662403482,0.118304550053895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144655303076091,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.0421559947115561,0,0,0,0.0465210629174907,0.164268508567606,0,0,0,0.331495483602613,0,0,0.110197937049524,0,-0.0778879799547227,0,0,0,0,0,0.0435307543907178,0,0,0,0,0,0.169009264279234,0.0254579638560267,-0.0293522291199763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0238064106122284,0.216644035058157,0,0
X000002.CH.EQUITY,0,0,0,0,0,-0.0644698578123314,0.0159833651663028,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.275923037098025,0,0,0.0220080692949391,0.0462154966383859,0,0,0,0,0.0238823483022685,0,0,0.398259358389139,0,0,0,0.235890278989217,0,0,0,0,0,0.000485328753923003,0,0,0,0,0,0.0777121787130165,0,0,0.0877399076227427,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.107080875995553,0,0.0753007415163207,0,0,0,0.202531352255095,0,0.220285165371215,0,0.0514376602886702,0,0,0,0,0,0.190770952040734,0,0,0,0,-0.0978539198308058,0.0713294835676072,0,-0.311660074431165,0,0.0680106728825691,0,0,0,0,-0.0223272497788887,0,0,0,0,0,0.126176934775571,0,0,0.168277181535954
X16.HK.EQUITY,0,0,0,0.352899148236273,0,0,0,0.203156554356752,0,0,0,0,0,0,0,0,0.126972064155339,0.0769206485495558,0.0119889478999574,0,0,0,0,0.114105769621501,0,0,0,0,0,0,0.246737258681669,-0.118661955525608,0,0.135513718581693,0,0,0,0,0,0,0,0.0932174787647041,0,0,0,0,0,0,0,0.0383824063095651
X601601.CH.EQUITY,0,0,0,0,0,0,0.120183766336238,0,0.185282024482433,0.13104504206885,0,0,0,0.138468924381285,0,0,0.248154424249987,0,0,0,0,0,0.178774958623895,0,0,0.0102959552658655,0,0,0,0,0,0,0,0,0,0,0,0,0.235284692173147,-0.052529531711247,0,0,0,0,-0.128571191190703,0,0,0,0.161651896782317,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.30191791137952,0,0,0,0,0,0,0,0,0,0,0,0,-0.113892095120425,0,0,0,0,0,0,0,0,0,0.161447930361344,0,-0.0625049071130423,0,0,0,0,-0.303512219233274,0,0,0,0.45383833847361,0.0588070320386241,0.0953160216532789,0,-0.0957687611177078,0.00497285230459506,0,0,0
X11.HK.EQUITY,0,0,0,0,0.10580607417097,0,0,0.22270208429026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319297155749917,0,-0.0719362670037893,0,0,0,0,0,0,0,0.12315559792826,0,0,0,0,-0.0487316514928303,-0.0387414814319735,0,0,-0.11303706196534,0,0,0,0,0,-0.0165705974679295,0
X688.HK.EQUITY,0,0,0,0.23669986438343,0,-0.171654007702887,0,0,0.0780622829400545,0,0,0,0.152395949227347,0,0,0,0.469625789684146,0,0,0.0325619917533856,0,0,0,0.219173116109764,0,0,0.145634928354614,0,0,0,0,0,0,-0.243742200122869,0,0,0,0.0218075023010013,0,0.198348950487929,0,0,0,0,0,0,0,-0.0788625750463851,-0.196544535220127,0
