,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,macro_return_add
X601398.CH.EQUITY,0,0,0.123505319657463,0.228355561620879,0,0.0518211348753716,0.0178761583410088,0,0,0,0,0,0,0,0,0,0,0,0.352870723439518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2351647362715e-22,0,0,0,0,0,0.11527320040909,0,0.056432451204044,0,0,0,0,0.115547153492391,0.0553612417039729,0
X601318.CH.EQUITY,0,0,0,0,0.0237662383478564,0,0,0,0.147366797449848,0,0.0879974702111483,3.46944695195361e-18,0,0.0671172063447596,0,0,0,0.0190333950081596,0.114967812399447,0,0.253044769557647,0,0,0,0,0,0,0.105015346150082,0,0,0,0,0,0,0,0.0933873009111316,0,0,0,0,0,0,0,0,0,0.0371335838178364,0,0,0,0,-0.0892573020817644
X601939.CH.EQUITY,0.153968201413023,0,0,0.404230781250658,0,0,0,0,0,0,0.157838141548038,0,0,0,8.67361737988404e-19,0,0.0364342080356146,0,0,0.0440878068251516,-0.0524519103074734,0,0,0.144716541831881,0.279365824240243,0,-0.108674212872405,0.0326420921439982,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.0742223267847476,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.249559306366365,0,0.0837727921536785,0,0,0.0500371353947129,-0.00518832952250063,0.245262159879887,0,0,0,-0.0478804997186708,0,0,0,0.142678716992326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637306957112946,0,0,0,0.248209481356093,0,0,0,0,0
X600036.CH.EQUITY,0,0.197847637187244,0,0,0,0,0.0146357583079794,0.136874442020147,0,0,0,0,0,0.200535065436118,0,0,0.0386591896364526,0,0,0,0,0,0,0,0,0.0560101868732794,0,0,0.251849204249182,0.031885996952061,0,0,0,0,0,0,0,0,0,0,0.00792716883654862,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0552455469581604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175363495973963,0,-8.67361737988404e-19,0,0.189096275528721,0,0,0,0,-0.0253341373584255,0,-0.0807506445705681,0,0,0,0.0958644450726747,0,0,0,0.610363671102092,0,0,0,-0.0377841962740216,0.120032129543205,0,0,0,0,0,0,0,0,-0.0456046950380109
X1299.HK.EQUITY,0,0,-0.222765513846903,0,0,0,0,0,0,0.137957463420477,0,0,0,0,0,0,0,0,0,0,0,0.0782821361700031,0,0,0,0,0.0602562621766389,0,0.0548129947842782,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.153128028039841,0,0.225439125394358,0.200793845723765,0.0864323893798902,0.0933032810026153,0.0588152749731021,0.0104380040346567,0,0,0,0,0
X601988.CH.EQUITY,0.032247038643002,0.0813146417659684,0.0103495235654086,0.137113165426381,0.360583898089905,0,0,0,0,0,0,0,0,0,0,0.219695288910238,0,0,0,0,0,0,0,0,0,0,0,0.0688556594342698,0,0,0,0,-0.121935834335866,0,0,0.173698408805155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564300402598667
X5.HK.EQUITY,0,0.000698925128496818,0.00357497031748213,0,0,0,0,0,0,0,0,0,0,0.0921283337228361,0.0274368502598312,0,0,0,0,0,0,0.00714293577682877,0.0978058813334828,0,0,0,0.041559648052548,0,0,0,0,0,0,0,0,0,0,0,0.44276680562183,0,0,0.237747557697844,0,0.16347188113824,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,-0.151665017557716,0,-0.0240691316516341,-0.0142094972936617,0.223005312245685,0,0,0,0,0,0,0,0,0,0.0967080681855475,0,0,-3.46944695195361e-18,0,0.457226777549961,0,0,0,0,0,0,-0.0452869094441114,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0.221386017224323,0,0.0742951438074083,0,0,0.0947635684977083,-0.0259267564186147,0,0,0,0,-0.122927498401972
