,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.144157862104045,0,0.0166133647477332,0,0,0,0,0,0,0.283220598923866,0.243988787424746,0,0,0,-0.0941558147535671,0,0,0,0,0,0,0.0185750940612487,0,0,0,0,0,0,0,0,0.262929831946082,0,0.0249978753384929,0,0,0,0,0.0403614017378933,0,0,0.0600295142478411,0,0,0,0.0207698302367188,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0496822370570879,0,0,0.225343012099858,0,0,0.152464506463794,0,0,0,0.0577737790270001,0,0,0,-0.111901593914392,0,0,0.00296487663531029,0,0,0,0,0,0,0,0,0,0,0.174682873081958,0,0,0,0,-0.289392447392531,0,0.30697957661167,0.0345594513961925,0.181056262456848,0,0,0,0,0.0847595458194926,0,0
X601939.CH.EQUITY,0.482634908065867,0,0,0,0,0.179173583384462,0,0,0,0,0,0,0,0.069749965427685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365867230195427,-0.111115203117914,0,0,0.0437169633624188,0,0,-0.0470697255399615,0,0,0,0
X601288.CH.EQUITY,0.589537743892469,0,0.10310610606791,0,0.0814966048852016,0.121735704279236,0,0,0.0171328382661925,0,0,0,0,-0.0723207973488404,0.03083672576775,-0.00869312661917587,0,0,0,0,0,0,-0.0546613319965848,0,0,0,0.0208437321813852,0,0,0,0,0,0.0545607019850599,0,0.0525821574688634,0,0,0,0.187490776253953,0,0,0.0185120813981316,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.234434333200331,0.00566861687192604,0,0.135817107431195,0,-0.0672374263993293,0,0,0,0.282904864750506,0,0,8.67361737988404e-19,0,0,0.64080463785081,0,0,0,-0.127445870101139,0,0,0,0,-0.205486979680068,0,0,0,0,0,0,0,0.0274442322577263,0,0,0,0,0,0,0,0,0,0,0.13473568584933,0,0,0,0
X601988.CH.EQUITY,0.061318518796901,0.00939398769189354,0.157780014501731,0.15514426336154,0,0,0,0,0.114229268210549,0.127218777269675,0.0679588460276834,0,-0.268652773556663,0,0,0,0,0,0,0,0.298977811191033,0,0,0,0,0,0.0880398300804864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198111728294011
X600036.CH.EQUITY,0,0.227667694453963,0,0,0,0,0,0,0,0,0,0.0827246835778668,0,0.191951413163489,0,0.116981044812014,0,0,0,0,0,0,0,0.137041983065043,0,0,0,0,0,0,0,0,0,0.179978573933461,0.0188713686278095,0,0,0,0,0.0488102261362557,5.2058933423037e-05,0,0,0,0,0,0.0556059502433302,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0614218369923382,0,0,0.0320457426087064,0,0,0,-0.00693664950278433,0,0,0.153953588008636,0.229488078453927,0,0,0,0,0.181397545734433,-3.46944695195361e-18,0,0,0.182361637136614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167792601497364,0
X601628.CH.EQUITY,0.11402301672723,0.380442967192962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849348143288916,0,0,0,0,0,0,0,0,0,-0.0364989138084179,0,0,-0.243203027008081,0.0836972623512093,0,0,0,0,0,0,0,0,0.238233133505816,0,0,-0.0909894124384417,0.111186307734676,0,0,0,0.150452743215928
X601166.CH.EQUITY,0.188735660392993,0,0,0,0,0.12363420282718,0.118784077367019,0,0,0,0,0,0,0.147195621546269,0,0.521760155979015,0,0,0,0,0,0,0,0,0.106080317240894,0,0.00445522883397312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335422590611373
