,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0.738148706912794,0,0.046602559377428,0,0,0,0,0,0,0,0,0,0.0563599030914446,0,0.115634334604594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154568898082905,0,0,0.0179916380960122,0,0,0.000789958288249224,0,0.0160164115204452,0,0,0,0,0,0,0,0,0.0235838189936818
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14202131204688,0,0,0,0.471528902483872,0,0,0,0,0,0,0,0,0,0,0.0421687064153563,0,0.00680001659692748,0,1.73472347597681e-18,0.0511722105079974,0,0.0762788436252664,0,0,0,0,0,0,0.0634519064264163,0,0,0,0,0,-0.124069054765203
X601939.CH.EQUITY,0,0,0,0,0.675044551343485,0,0,0,0,0,0,0.2355028704937,0,-0.0214193887377417,0.099840001889877,0,0,0,-8.67361737988404e-19,0.0495572726176925,0,0,0,0.0240411078528494,0,0,0.00196323406749902,0,0,0,0,0,0,0,0,0.00518516443786748,0,0,0,0,0,0.0678221307174264,0,0,0,0,0,0,0,0,0.0313458849909292
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.131026031725528,0.165298288873917,0,0,0,0,0,0,0.300785631068468,0,0,0,0,0.18052194089302,0.0934606733186955,0,0,0,0,0,0,0,0,0.118649783165826,0.0182219242088681,0.0715227518606283,0,0,0,0,0,0,0,0,0,0,0,0.13913312157305,0,0,0,0
X601288.CH.EQUITY,0.179128372158217,0,0.829518189976637,0,0,0,0,-0.0801876813777286,0,0,0,0,0,0,0,0,0.0189423382659182,0,0,0,0.020541125311759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0650815632476436,0,0,0,-0.0206252066410601,0.0214558055851488,-0.168719220229514,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.211329738686615,0.0796343317781334,0,0.155352308029562,0,0,0.0957211108749415,0,0,0,0,0,0,0,0.26415696830864,0,0,0.0864313775632897,0,0,0,0,0,0,0.212830893306376,0,0,0.0588398008480848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0305259906803007,0,0,-0.0578396479048246,1.38777878078145e-17,0.143976372601338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.0677132524020401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0579240375193949,0,-0.0479483850639091,0.908735015580514,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.175139137751739,0,0,0,0.0201132697464387,0,0,0,0,0,0,0,0.25175762765023,0,0,0,0.0991598948332665,0,0,0,-0.0806506783699237,0,0,0,0,0,0,0.0536359754504086,0.0664565694575073,0,0,0,0,0.11300750768332,0.131875465536531,0,0,0,0.0411226650630453,0,0,-0.0988225675247715
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.251889643957128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637634786205882,0.365408963447438,0.0234291140289788,0.112894382084564,0,0,0,0,-0.0650839089529619,0,0,0.0846729834438902,0,0,0,0,0.147037894715508,0.323222603185611,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0.117023677333799,0,0.163524704232645,0,0,0,0.0310640612998952,0,0,0,0,0,0,0,0,0,0,0,0,0.12540199604227,0.233626924999231,0.0284105358016439,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.118566670856382,0.287600369081678,0,-0.309160520278742,0,0,0.0212200011027972,0,0,0.156071909604304,0,0,0,0
