,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.724524559566825,0,0,0,0,0,0.00438596315274234,0,0.0362424431662005,0,0.0735895937282372,0,0,0,0,0,0.00509148748753517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714084716721422,0,0,0,-0.0197378502864385,0,0,0,0,0,0
X601939.CH.EQUITY,0.134383586693983,0,0.0235711355732859,0.244549834147652,0,0.379861681421622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760850455292386,0,0,0,0,0,0,0,0.0296316576543495,0,0,0,0,0.0519512142191105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0266905743817543
X601318.CH.EQUITY,0,0.0176351121475321,0,0.0926358103197262,0,0,0,0,0,0,0,0,0,0,0,0.00893182722133872,0,0.00847570417354843,0.192183354974361,0,0,0,0,0,0.0104227941614493,0.0465734282588994,0,0,0,0,0,6.93889390390723e-18,0,0.214466413046173,0.0168096441435061,0.0445386994357191,0,0,0,0.236985293146126,0,0,0,0.0860560956463443,0,0,0,0,0,0
X601288.CH.EQUITY,0.0541939201432098,0.339235062650314,0,0,0,0,0,0,0,0.0514874055446531,0,0,0,0,0,0,0,0,0.00531967748337404,0,0,0,0,0,0.0462756577680839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101367502259152,0,0,0,0.201961973828539,0,0,0,0,0,-0.0694449037437952
X5.HK.EQUITY,0,0,0,0,0,0.196924047528072,0.487365547634795,0,0,0,0,0,0,0,0.408424733491803,6.93889390390723e-18,-0.314332047460434,0,-0.0406211453217215,0.132496501368647,0,0,0,0,0.272044315480829,0,-0.0584801410639251,0,0,0.0113747742754845,0,0,0,0.038145297623281,0,0,0,0,0,0,0,0,0,0,0,-0.731707274386315,0.00205565949169333,0,-0.105033269171288,0
X601988.CH.EQUITY,0.0286437105591086,0.231959444214486,0,0,0.0555610054733676,0,0,0,0.0919489650038304,0,0,0.0682969276834777,0.140998314955627,0,0,0,0,0,0.116935760153674,0,0,0,0.383300378733167,0,0,0,0,0,0,0,0,0,0,0,0,0.0367655056264266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0.19468081900255,0,0,0,0,0.063227802588939,0,3.46944695195361e-18,0,0,0,0,0.207640670291483,0,0,-0.0915950398114861,0,0,0.214195215917453,0,0,0,0.00324534866047842,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0832589108901128,0,0,0,0,0,0,0,0,0,0,0.030090229521313,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249431413857156,0.000775799788559447,0,0,0,0,0,0,0.775957729755986,0,0,0,0.104931104959818,0.00414417668338143,0,0.000702287350072497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.140897628370495,0.0723488796708618,0,0,0,0,0,0,0,0,0,0,0,0.0306122135725274,0,0,0,0,0,0,0,0,0,0.0626443238995972,0,0,0,0,0,0,0,0,0,0.325132915688832,-1.73472347597681e-18,0,-3.46944695195361e-18,0,0,0,0.207952073676212,0.071260813575992,0,-0.0261830714845751,0,0,0,0
X601328.CH.EQUITY,0.00162097781520867,0,0,0,0,0,0,0.171621017792409,0,0,0.0383798663012053,0,0.149561263517254,0,0,0,0,0,0,0,0,0.252396727736202,0,0,0,0,0,0,0.031428829680759,0,0,0,-0.00883541053459421,0.0403122588285202,0,0.000779451346406674,0,0,0.0689065108544561,0.256253991659857,0,0.0395390586300304,0,0,0,0,0,0,0,0
