,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.0109797037370172,0,0,0,0,0.0767233840876148,0,0,0.349639068427142,0,0,0,0,0,0.110474744736138,0.120819076669205,0,0,0,0,0,0,0,0,0,0,0,0.119376266970988,0,0,0,0,0,0,0,0,0,0,0,0,0.126767358460348,0,0,0.101699611999802,0,0,0,0,0.0399113431649009,0,0.0158621084008136
X002142.CH.EQUITY,0,0,0,0,0,0.124379856533707,0.12065963402551,0,0.10154896860318,0,0,0,0,0,0.302264985812608,0,0,0,0,0,0,0,0.212771431782044,0,0,0,0,0,0,0.1383374636275,0,0,0,0,-0.100536974029271,0,0,0,0,0,0,0,0,0,0,0,-0.0815449745870995,0,0,0.00479380507717431,0.393360773774826,-0.0151362853579139
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.223748197026646,0,0,0,0.117948490097518,0,0,0.104155873804697,0,0,0,0,0.118348834296192,0,0,0,0,0.0580043607421274,0,0,0,0,-0.0998328276395701,0,0,0,0,0.274889221501846,0.0514254929854844,0,0,0,0,0,3.46944695195361e-18,0.0558948616073172,0,0.11151105120787,0,0,0,0,0.0490399700428667,0,0
X600015.CH.EQUITY,0,0,0,0,0.0658013521543562,0,0,0,0,0,0.13282579659285,0.118115939273904,0,0.0325600863941196,0,0,0.480932368197196,0,0,0,0,0.0359598497425877,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.144184706631295,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131952005465351,0,0,0,0,0.262773088039549,0,0,0,0.125837636539473,0.464450994794518,0,0,-0.123669683832786,0,-0.0694342925277749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180317100653046,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.226421257061955,0,0,0,0,0,0,0,0,0.2848299485164,0,0,0,0,0,0,0,0,0,0,0,0.201950427496477,0,0,0,0,0,0,0.227210784327441,0,0.159582707579444,0,0,0.0122692410279326,0.118751182855252,0,0.0364416492160387,0,0,0,0,0,0
X600919.CH.EQUITY,0.0573661895275305,0.3949537095129,0,0,0,0,0,0,0.0300567248107052,0,0,0,0,0.0680175718463087,0,0,0,0,0,0.413531791429459,0,0,0,0,0,0,0,0.0738202427724774,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.184041586041271,0,0,0,0.011232246448401,0,0.0609525931016138
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,0.184634129585655,0,0,0,0.0222351529480367,0,0,0,0,0.109459088968176,0,0,0,0,0.361424731903859,0,0,0,-0.00684805450442681,0,0,0,0,0,0,0,0.270000803227675,0,0,0,0.127012013196591,0,0,0,0.051910666911397,0,0,0,0,0,-0.0493122052123538,0,-0.019362908313622,0
X601009.CH.EQUITY,0,0,0,0,-0.111036843840168,0,0.459699417637794,0.282014817499567,0,0.152265497575488,0,0,0,0,0.0816725131310726,0,0,0.0296888481869083,0,0,0,0,0,0,0.0330857573056089,0.0705528440055722,0.0347369595292448,0.022212599310665,0,0,0,0,-0.0562193541684793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187400219272298,0,0,0,-0.24009607703922,0
X601166.CH.EQUITY,0.212512214694423,0,0.0218195245597404,0,0,0,0,0,0.114456733197203,0,0,0,0,0,0,0,0,0.251290879139791,0,0.112236800737874,0,0,8.67361737988404e-19,0,0,-0.0547937436278341,0,-0.163384640403843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0432976881477536,0.31884478318521,0,0.0278624160718872
X601169.CH.EQUITY,0,0,0,0.166552167846938,0,0,0,0,0,0,0,0.0665557668314055,0,0,0,0.0482021241579677,0,0,0.131600913264914,0,0.237358839924689,0.102925214822581,0,0,0.00372798489229269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144861601877963,5.42101086242752e-20,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0.169993404074353,-0.0661197258427406,0.101812897873366,0,0,0,0,0,0,0,0.389915088324454,0,0,0,0,0,0,-0.109711670934988,0,0,0.252550626421857,-0.0613255492403014,0,0,0,0,0,0,0,0,0,0,0,0,-0.063867357256799,0,0,0,-0.0653914470620238,0,0,0.0327654744888913,0.261424146525291,0,0,0,0,0,0,0.122118881037928,0,-0.0640405725414405
X601288.CH.EQUITY,0,-0.0245463155141222,0,0,0,0,0,0.0807390481249798,0,0,0,0,0,0,0.351212647385169,0,3.46944695195361e-18,0.0236138514574238,0.246999978603499,0,0.0263266949324659,0,0,0,0,0,0,0.0848073447218882,0,0,0,0,0,0,0,0.0519260231456156,0,0,0,0,0,0,0,0,0.0447460234934193,0,0.166062758813321,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.0743920041392505,0,0,0,0,0,0,0.302797002028195,0,0,0,0,0,0.284523304410055,0,0,0,0,0.0484556363514976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0957894271087372,0,0,0,0,0,0,0,0,0,0,0,0,-0.0300244472542707,0,-0.0411496666980185,0
X601398.CH.EQUITY,0,0.31297990639212,0,0,0,0,-0.0901885195366724,0,0,0,0,0,0.433750630292789,0,0,0,0,0,0.155584873100152,0.210552113512412,0,0.126713698064002,0,0,0,0,0,0,0,0,0,0,0,0,-0.145616845588284,0,0,0,0,-0.17903145093302,0,0,0,0,0,0,0.0559676657019495,0,0,0,0,0
X601577.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.73702682181797,0,0,0.110752596589462,0.0294330338852049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521793230132822,0,0,0,0,0,0,0.0980218384373639,0,0,0,0
