,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X601601.CH.EQUITY,0,0,0,-0.282026281664922,0,0,0,0,0,1.73472347597681e-18,0,0.241631182396097,0,0,-0.0860888127025546,0,-0.0807585819418679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50313097764618,0,0.1762754646744,0,0,0,0,0,0,0,0,0.0509637615264797,0,0,0.24863063165237,0.0502994760151937,0,0,0,0.0159867171443272,0.0137729961883249,0
X601628.CH.EQUITY,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0945395886573347,0,0.059204325128749,0,0.000578527855288563,0,0,0,0,0,0,0,0,-0.158850680834347,0,0,0.23865064539163,0.350669121717844,0,0,0,0,0,0.0060104518860347,0,0,0,-1.6940658945086e-21,0.138461568459237,0,0,0,0,0,0.118838505221606,-0.0680343614232372
X1299.HK.EQUITY,0,0,0.13660355556571,0,0,0,0,0,0,0,0.0813587395303368,0,0,1.38777878078145e-17,0,0,0,0,0.118031723572328,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.0561899732983275,0,0.1172069400187,0,0,0,0,0,0,0,0,0,0.328305226121854,0,0,0,0,0.162798311926402,0,0
X2881.TT.EQUITY,0,-0.089890675745892,0.0331802160349545,0,0,0,0,0,0,0,0,0,0.116913128431895,0,0,0,0,0,0,0,0.304913518185326,0,0,0,0,0,0,0,0,-0.00642123063798304,0,0,0,0,0,0,0,0.426611794706399,0,0,0,0,0,0,0,0.00767777466839951,0,0,0.0673821187029794,0,0.127392789865352,-0.0854924550970119
X2882.TT.EQUITY,-0.0229693414685868,0,0,0,0,0,0,0,0,0,0,0,0.0100785726082745,0,0,0.0350182260193253,0.0694589725927958,0,0,0,0.222681387851253,0,0,0,0,-0.0804351853549519,0,0,0.0396960683739092,0,0,0,0,0,0,-0.0838109553097504,0.553067780034446,0,0,0,0,-0.0118553744637492,0,0,0,0,0,0,0,0.12631636047632,0,0
X000002.CH.EQUITY,0,0.0199254382633097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0232031520220303,0,0,0,0.0224378790292375,0,3.46944695195361e-18,0,0,0,0,0.0567827251964417,0,0,0,0,0,0,0,0,0,0,0,0.428940354822997,0.32414581027646,0,0.119843709234416,0,0,0,0,0,0,0,0
X001979.CH.EQUITY,0,0,-0.175812491249838,0,0,0,0,0,0,0,-0.144304708546469,0,0,0,0,0,0.000264669122050891,0,0.0440187528045607,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762383353311082,0,0.271023780402809,0,0,-0.0115053426200639,0.169808494195729,0,0,0,0,0,0,0,0.492472603832493,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0.239201659085771,0,0,0,0,0.484057169155808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226447285085624,0,0,0,0,0,0,0,0,0,0,0,0.0447069126127271
X1109.HK.EQUITY,0,0,0,0.168086322335086,0,0,0,-0.0492881754814726,0,0,0,0,0,0,0,0,0,0,0.0642673813249357,0,0,0,0,0,0,0,0,0,0,0,0,0.182971583969345,0,0,0,0,0,0,0.216975064261886,0.0163637688367085,0,0,0,0.0187549978843472,0,0,0,0.335592535688026,0,0,0,-0.11885779407926
X1113.HK.EQUITY,0,0,0,0.0208949702396716,0,0,0,0,-0.0177503515135064,0,0.0409495117250593,0,0,0,0,0,-3.46944695195361e-18,0,0.21169122005419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14337541877692,0.153260528977847,0,0,0,0,0.280042341399599,0,0,0.146968860922537,-0.0963303397190403,0.111647885039312,0,-0.0733632837586226,0.0423891432477903
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115725504899653,0.0227615947154942,0,0,0,0,0,0,0,0,-0.0568011865509461,0,0,0,0,0,0.00738600082299406,0.229995164543916,0,0,0,0,0,0.474043167051849,0.265060604130757,0,0,0.0154244894311221,0.132137329184412,0,-0.107946929372908
X16.HK.EQUITY,0,0,0,0,0.199108291028645,0,0,0,0,0,0,0,0,0,0.00796616787553737,0,0,0,0,0,0,0,0,0,0,0,0.0481330361196928,0,0,0,0,0,-0.13447500460164,0,0,0.266609835714982,0,0,0,0,0,0,-8.67361737988404e-19,0.385933465892713,0,0,0.0257685811736006,0,0,0.157611200872194,-0.00679908408651649,0
X1997.HK.EQUITY,0.077957761069129,0,0,0,0,0,0,0,-0.127244576705483,-0.00994557798198173,0,0,0,0,0,0,0,0,0,0.303017132311442,0,0,0,0,0,0,0.12891595730539,0,0,0,0.179190933676401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102080708830795,0.326547351384401,0.0451461517298026,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.040225810717603,0,0.0679144125872312,8.67361737988404e-19,0.184651767029346,0,0.0133283528867173,0,0,0,0,0,0,0,0,0,0.0877948129412753,0,0,0,0,0,0,0,0,0.481571577967745,0,0,0.0600708424646449,0,0,0,0,0,0,0
X267.HK.EQUITY,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,-0.0272967373632186,0,0,0,0,0,-0.0736226993026654,0,0,0.227885077570124,0,0.00781293354887409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0692036666597803,0,0.53555038770709,0,0,0,0,0,0,0,0,0.0493295607675675,0
X688.HK.EQUITY,0,0,0.109350266178991,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135402574852375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103533385035982,0,0,0,0.120019651687521,0,0,-6.93889390390723e-18,0,0.227890016925118,0,0,0,0.299943945373516,0,0,0,0
X823.HK.EQUITY,0,-0.0475048793117938,0,0,0,0,0,0,-0.11554442717238,0,0,0,0,0,0,0,0,0,0.422621188295921,0.0448099831618344,0,0,0,0,0,0,0,0,0,0.135943111574783,0,0,0,0,0,0.00382046252838047,0,0.0476484325451349,0,0,0,0,0,0,0.0514035838783995,0.402817143093127,0,0,0,0,0.147025765055222,0.117215180863442
MKRturn,0.178374563879973,0,-0.579265326725019,0.142210559179278,0,0,0,0.380376101607017,0,0,-0.254113326279616,0,0,0,-0.228015141042727,0,0,0,0,0,0.415861099114679,0,0,-0.00875311644283699,0,0.0153486741967122,0,0,0,0,0,0,0,0,0.420162973510788,-0.203102235842353,0,0.356956295550876,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141004019492616
TED,0,0,0,0,0.225651692633592,0,0,0,-1.06515544344961,0,0,0,0,0,0,0,0,0,-0.632222256421721,-0.0976647862046638,0,0,0,0,0,0.185502514615948,0.0236038886618566,0,0,0.0613429915950072,0,0,0.550776674438393,0,0,0,0,0,0,0,0.0326172526861535,0,0,0,0,-0.0753612241140815,0,0,0,0,0,0
