,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,MKRturn,TED
X601881.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.21483300183433,0,0,0,0.0186570095180229,0,0,0,-0.0201675386139325,0,0,0,0.0717288300213084,0,0.142811222507935,0,0,0,0,0,0,0.256377694254081,0,3.46944695195361e-18,0,0.118979392449441,0,0,0,0.209850483087204,0,0,0,0,0,0.0293580030513526,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.346311335597583,0.0324044135032578,0,0,0,0,0,0,0,0,0,-0.0930992477381298,0,0,0,0.225559183208355,0.16777147682339,0,0,0.221628095672966,0,0,0,0,0,0,0.0125957448558982,0,0,0,0,0,0.0689357473296039,0,0.0254379549302916,0,0
X601318.CH.EQUITY,0.431168502161085,0,0,0,0,0,0,0,0.0700010503944445,0,0,0.100635710424476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185129530382961,0.151782603059818,0,0.0188418663065472,0.0595180627149687,0,0,0,0.177922575150826,-0.0209685180643673
X601319.CH.EQUITY,0,0,0,0,-0.0697375015828798,0,0,0,0.167552864956259,0.233103346671038,0,0,0,0.0445730009130727,0,0,0,-0.0480598485256729,0,0,0,0,0,0,0,0,-0.0937646171033044,0.247525649116516,0,0,0,0,0,0,0,0.0687025447472329,0,0,0,0,0,0,0,0.173609795355781,0.0734628557203952,0,0.0695088125514891,0,0,0,0,0.0254268421834612
X601336.CH.EQUITY,0.331775349650789,0.022539564728799,0,0.143374087258238,0.0140280935917072,0,0,0,0,0,0,0.0334888455849933,0,0,0,0,0,0,0,0.0407905298582356,0.0392137478063988,0,0,0,0,0,0,0.00993659737605862,-4.33680868994202e-19,0,0,-0.120039175254415,0,0.378559897997862,0,0,0,0,0,0,0,0,0,0.0322160947082416,0,0,0,0,0,0,0.092018349569655,0
X601601.CH.EQUITY,0,0.0482459182574035,0,-0.0257149714459273,0.176920943765471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026937967577936,0.0140760839968585,0,0,0,0,0,0,0,-0.0834814283236809,0,0.138606452013302,0,0,0,0,0.0953975204877491,0,0,3.46944695195361e-18,0,0.407447866944381,0,0.0857295499686847,0,-0.06340336922054,0,0,0,0.038624085813285,-0.0432296316381191
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.00291312547704431,0,0.0312577795412949,0,0,0,0,0,0,0,0,0,0,0.0673619255252456,0.0782910610413074,0,0,0,0,-0.168667352987888,0,0.10064021189576,0,0,0,0,0,0,0,-0.0328568270118586,0,0,0.222836329939822,0.0837161991849919,0.38875750415506,0.0933971337530063,0,0,0,0,0,0.0373788646366095,-0.0395405571776692,-0.15218612145877
X1299.HK.EQUITY,0,0.154242838543083,0,0,0,0,0,0.480452664465771,0,0.0985190540210115,0,0,-0.0350256456798228,0,-0.0206110014019374,0,0,-0.0382275482870428,0,-0.150417644894587,0.0400456746140656,0,0,0,0,0.379226488440278,0,0,0,0,0,-0.174622798986256,0,0,0,0,0,0,0,0,0,0.0880951025242169,0,0.00813746149262059,0,0,0,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.187977605194559,-0.151402774690284,-0.103149520398754,0,0,0,0,0,0,0,0,0,0,-0.221521795220664,0.287062391262777,0,0,0,0,0.026098217202081,0,0,0,0,0.297980593793594,0,0,0,0,0,0,0.58656592387366,0,0,0.132120822723495,0.159327897738332
X2883.TT.EQUITY,0,0,-6.93889390390723e-18,0,0.353983360089851,0,0,0,0,0,0,0,-0.0979518426490688,0,0,0,0,0,0,0,0,0,0.0657696320240834,0,0,0,0,0,0.0405737318463375,0.247599171579699,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498542629422136,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.0146704464453058,0,0,0,0.0293119656367084,0,-0.0346882049711647,0,0.0283982164990634,0,0,0,0,0,0,0.160136227009643,0,0.162024957954228,0,0,0,0,0,0.0350326819105778,0,0,0,0,0,0,0,0,0,0,0,0,0.27448787866051,0,0,0,0,0,0,0,0,0,0,0,0.0934336536753461,0
X267.HK.EQUITY,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.156130643989459,0,-0.0736191187966192,0,0.0855751041625864,0,0.107531959279371,0,0,0.00961621931488796,0,0,0.125534287326687,0,0,0,0.0518450173279128,0.141634430346012,0.11330847915408,0,0,0,0,0,0,0,0.0750974491248405,0,0,0,0,0,0,0,0,0.220898570559638,0,0,0
MKRturn,0,0,0,0,-0.0303773099191072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154434825739425,0,0,0,0.0628900894981229,0.508646420652388,0,0,0,-0.232783032868698,-0.182816982623756,0,0,0,0,0.029569671643706,3.46944695195361e-18,0.0184902687938148,0,0,0,0,-0.0530253196566616,0.0213490489268462,0.244257643555588,0,0,-0.0604863194242561,0,0
TED,0.219432343121259,0,0,0,0,0,0,0,-0.0286882621583462,0,0,0,0,0,-0.0904461749563507,0.125967409853493,0,0,0,0,0,0.198009686482608,0,0,0,0,0.134933414781942,0,0,0,0.0523593419636466,0,0,0,0,-0.236774171829881,-0.0436228180748807,-0.222236178132604,-0.05619474668115,0,0,0.0651788932850357,0,0,0,0,0,0,0.115917022294555,0,-0.178530263829423,0
