,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0,0,0.122865051459855,0.120737038955187,0,0,0.0115375257505243,0.129368851488541,0,0,0,0,0,0,0,0.0194723712873395,0,0,0.0302312011884994,0,0.197533830781,0,0,0,0,0,0,0,0.0484998442274487,0,0.0419276732930732,0,0,0,0,0,0,0,0,0,0.156272195424267,0,0,0,0,0.027020301205463,0,0,0,0
X002142.CH.EQUITY,0,0,0.0297303366063741,0,0,0.0479616403388949,0,0,0,0.331547060207026,0,0,0,0,0,0,0.0306848385523522,0.241790905396502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0325057818694518,0,0,0,0,0,0,0,0,0.147618691755124,0,0.00879807762172699,0.0983980160990996,0,0,0.201092740998397,0,-0.0449025987011438,0.00294990156790054,0.0347860544276749
X600000.CH.EQUITY,0,0,0,0.247644830656417,0,0.00667379845396558,0,0,0,0,0,0.206307568226427,0,0,0.306613000656032,0,0.0322839851216514,0.133958946464568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778252224041553,0,0.0307836292705262
X600015.CH.EQUITY,0,0,0,0,0,0,0.0285782668900272,0,0,0,0.236853953002369,0.303139797235922,0,0,0,0,0,0,0,0.0268223013644332,0,0,0,0,0.227420736939213,0,0.163384371843779,0,0,0,0,-0.0674801672724699,0,0,0,0,0,0,0,0,0.159034766134262,0,0,0.0312713389586758,0,0,0,-0.0502532410614817,0,0,-0.0346164084766919,0
X600016.CH.EQUITY,0,0,0,0,0,0.140529593676744,0,0,0,0,0.0423601983530925,0,0,0.00921441595570799,0,0.312558520666673,0,0,0,0,0,0,0,0.286714504006555,0,0,0,0,0,0,0,0,0.0470183381175514,0.0730308518683795,0,0.050179188908826,0,0,0,0.044432538726386,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.503725011272503,0.0696905299161322,0,0,0,0,0,0,0,0,0,0,0,0,-0.11699605383245,0,0.198753674330611,0,0,0,0,0,0.233781191047902,0,-0.0459943495928103,0,0.0237208380011512,0,0,0,0.148360749591901,0,0,0,0,0,0.0320621570613055,0,-0.0519423076997976,0,-0.0854117393288929,0,0,0,0,0,0,0,0,0.129308394704956,0,0.0208654754014995
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.425957901514418,0.205393025072553,0,0,0,0,0.0845971470425457,0.0242175578666504,0,0,0,0,0.179970126373859,0,0,0,0,0,0,0,0,0.123874367243553,0,0,0,-0.0389565826064946,0,0.0575239815113571,0,0,0,0,0,-0.0334208894386012,0,0,0,0,0,0,0,0,0,-0.0189549546261295,0
X600926.CH.EQUITY,0,0.210149969681805,0,0,0,0.0689548222231464,0.386453146713367,0,0,0,0,0,0,0.0881292124688315,0,0,0,0.264846153885212,0,0,0,0,0,0,0,0,0,0,0.159587249543815,0,-0.0768044705539797,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.0642731042476611,-0.0150214293308041,-0.181953305080744,0.0265653286702893,0,0,0,0.0141579554453071
X601009.CH.EQUITY,0,0,0,0,-0.124800208418542,0,1.73472347597681e-18,0.391756304457192,0,0,0,0,0,0,0,0,0,0,0.362636037350784,0,0,0,0,0,0.0231725105698402,0,0,0.0468632924241657,0.319599334696894,0,0,0,-0.0897219398009299,0,0,0,0,0,0,0.061803811256944,0.340348824976856,0,0,0,0,0,0,0,0,0,-0.262829895773421,0
X601166.CH.EQUITY,0,0.301952603292396,0.235376752881059,0,0,0,0,0,0.0256405111677326,0,0,0,0,0,0,0,0,0,0,0,0.150754485433808,0,0.00543404984918707,0,0,0,0,0,0,0.0359639283149248,0,0,0,0,0.221707954915364,0,0,0,0,0,0,0,0,0.0815393124239869,0,0,0,0.046422152133779,0,0,0,0
