,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X601328.CH.EQUITY,0,0,0,0,0.0876058725298352,0,0,0,0,0.114933563737399,0,0,0,0,0,0.256492283745562,0,0.023315755297928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121266628703787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,-0.213139989191831,0,0,0,0,0,0,0.190787904087125,0,0,0,0.859410792642713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160076297703982,-0.0538906467659817,-0.110429720845178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.302990422027618,0,0,0,0,0,-0.21659479360696,0,0
X601577.CH.EQUITY,0,0,0,0,0.0207851953945969,0,0,0.62049877069193,0.196883858795092,0,0,0,0,0.115094649357783,0,0,0,0,0,0,0,0,0.130462902049942,0,0,0,0,0,0,0,0,0,0.187249433309249,0,-0.140146312589019,0,0,0,0,0,0,0,0,0,0.213546634659817,-0.0115384305075139,0,0,0,0.0815364105634845,-0.188762836743359,0.0456340652250582
X601818.CH.EQUITY,0,0,1.09192160413331,0,0,0,0,0,0,0,0,0,0,0,0.0112844745788325,-0.0805545867416174,0,-0.0303614774866234,0,0,0,0,0,0,0,0,-0.0147990115225816,0,0,0,-0.135538518433351,0,0,0,0,0,0,0,0.0587293652367828,0,0,0,0,0,0,0,0,0,0,0,0.00364378640429287,0
X601838.CH.EQUITY,0,0,0,0.076477480939253,0,0,0.33864232071455,0.0334379367414538,0,0,0,0.00853477935649053,0,0,0.134606448206087,0.122558531055737,0,0,0.219349139739032,0,0,0.149614431558227,0,0,-0.0381471714227491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205956659720302,0,0,0,0.201251660802795,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.0646352286685266,0,0,0,0.019495045567194,0,0,0,0,0,0,0,0,0,0.104806889945071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112999883508146,0,0,0,0,0,0,0,0,0,0,0,0,-0.238423990587552,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0114989033949208,0,0,0,0,0,0.0843758592109378,0,0,0.189320834832709,0.0210380458529001,0,0,0,0,0,0,-0.149499455931421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0.0492450639411106,0,0,0.0118709207349401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171234300067111,0,0,0,0,-0.0669756779287055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415972672518575,0,0,0,0,0,0,0,0.0494386198847399,-0.0740968223069454,-0.162756638016806,-0.148820043831281
X601658.CH.Equity,0.371294913341433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303557248148609,0,0,0,0,0,0,0.0436036161179158,0,-2.16840434497101e-19,0,0,-0.118211693910456,0,0,0.0247069355350913,0,0,0,0,0,0,0,0,0,0,0,-0.097610614325186,0,-0.282068407280875,0,0,0,0,0,0,0.082913169395276
X601916.CH.Equity,0,0.00683408398878663,0,0,0,0.107885160206927,0,0,0,0,0,-0.172645031809723,0,0,0,0,0,0,0,0,0,0.118154307785612,0,0,0.013752651162139,0,0,0,0,0,0,0.0912787026360604,0,0,0,0,0,0,0,0,1.42390526097079,-0.554370511217793,0,0,0,0,0,0,0,0.359120417124137,0.324637662816005,0
X601077.CH.Equity,0,0,0,0,0,0,0,0,0,0.191468366606097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0758786328847976,0,0,0,0,0,0,0,0,0,0.0707045722343,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0.249628649680621,0,0,0,0.114970897120882,0,0,0,0,0.0525230900111444,0,0,0,0,-0.0293100545156235,0,0,0.0880653398988442,0.699546744669399,0,0,0,0,-0.0474859873477751,-0.0887915888198728,0.0162171368052862,0,0,0,0,0,0,0,0,0,0,0.0821876903636824,0.0413068301641419,0,0,0.0940290989393907,0,-0.0745336547334294,0.0204805760944564
X2388.HK.EQUITY,0,0,0,0,0.0293225923648452,0,0,0,0,0,0,0,0,0,0.00247565805335014,-6.93889390390723e-18,0,0,0,0.0273021099279472,0.0211546471919126,0,0,0,0.271639559484903,0,0,0,0,-0.0812074903904967,0.188136831367812,0,0,0.0949905678496998,0,0,0,0,0,0,0,0,0.0745777850475367,0,0.322121675050652,0,0,0.041865587029323,0,0.133676113217923,0,0
X5.HK.EQUITY,0,0,-0.0425861372714769,0,0,0,0.166740990341893,0,0,0,0.165432464585724,0,0,0,0,0,0,0,0,0,0,0,0,0.0510001256045989,0.510274467521292,-0.0694764497017567,0,0,0,0,0,0,0.127967238094815,0,0,0,0,0,0,0,0,0,0.0256622136376929,0,0.270372504858021,0,0,0,0,0,0,0.021086575744559
X2880.TT.EQUITY,0,0,0,0,0.0178532977126556,0,-2.16840434497101e-19,0,0,0,0,0,0.00559340134619938,0,0,0,0,0.0104529802203296,0,0.0218745449328275,0,0,0.0256800761958465,0.0115416907152843,-0.0867483091226649,0,0,0,0.0436173268827991,0.385365185304744,0.0794434926931495,0.0887215474457556,0.380612429706771,0,0.00621859428541773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0715384755022407
X2884.TT.EQUITY,0,0,0.0218141349191602,0,0,0,0,0,-0.153800293445197,0,-0.0429905024924195,0,0,0,0,0,0,0,0,0,0,0,-0.031480754376986,0,0,0,0,0.0992762898821527,0,0,0.201827341169696,0.119763463880395,0.297907020034415,0,-0.0992348918685325,0,0,0,0,0,0,0,0,0,0,0.0917174235422028,0,0.126609275187603,0,0,0.0335570945076559,0
X2886.TT.EQUITY,0,0,0,-0.11255981302123,0.022754626399877,0,0,0,0,0,-0.0363613248897967,0,0,0,0,0.00196703789476135,0,0.0929093120319129,0,0,0,0,0,-0.0599419783712382,-0.0262962400678581,0,0,0.599542231101281,0,0,0.117877915008695,0,0,0,0,0,0,-0.0802544358134772,0,0,0,0,0,0,0.0898785489014121,0,0,0,0,0.0759659792126593,0,0
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334677394553682,0,0,0,0.0984024808798674,0,-0.121169298789159,-0.0153420917246625,0,0,0,0.324294346783866,0,0,0.0673099877529258,0,0,0,0,0,0,0.0471999042138481,0,0,0,0,0,0,0,0,0,0.646928966264809,0,0,0
X2892.TT.EQUITY,0,0,0,-0.116028066640205,0,0,0,0,-0.088408836646306,0,0,0,0,0,0,0,0,0,0.0121702283764253,0,-0.0605771865889088,0.14527513798957,0,0,0,0,0.012873623880109,0.256111537796244,0.281982845707313,0.217838006140712,0.0388530052245255,0,0,0,0,0,0,0.0183423527993572,0,0,0,0,0,0.0297272816662351,0,0,0.131227345896959,0,0.0335328791452586,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,-0.0517610352926129,0,0,0,0.0356530130049477,0,0,0,0,0,0,-0.108890990256409,0,0,0,0,0,0,0,0,0.117340975607771,0.391896699659253,0,0,0,0,0,0,0,0,0,0.642645063325462,0,0,0,0.064706463461158,0,0,0,-0.23449028359031,0,0,0,0,0.0285868241563158
