,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.131351118013737,0,0,0.640911138794198,0,0.0320765163331438,0,0,0,0,0,0,0.0725807544679758,0,0,0,0,0,0,0,0,0,0.0444055303606531,0,0,0,0,0,0.0987221777164909,0,0,0,0,0.053191927558849,0,0,0,0,0,0,0,0,0,0,0,-0.241213520511047,0,-0.141324241480396,0,0,0
X002142.CH.EQUITY,0,0,0.0727754923907623,0,0.438892409995037,0,0,-1.73472347597681e-18,-0.0808911477320674,0,0,0.0434017265459571,0,0,0,0,0,0,0,0,0,0.11850137406554,0,0,0,0,0,0,0,0,0,0,0.28063148333598,0,0,-0.195441738360767,0,0,0,0,0,0,0,0,0,0,0,0,-0.0201154711150319,0,-0.0219225297953559,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.00696095489491976,0,0.375908568205636,0,0,0,0,0.0503495672426965,0.00625458018118483,0,0.0292511987659117,0,0,0,0,0,0,0,0,0,0,0,0,0.213070006119624,0,0,0,0,0,0,0,0,0,0.0456458575769771,0,0,0.0475555426232198,0,0,0,2.16840434497101e-19,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.214817213621128,0,0,0,-0.0523939964364903,0,0,-0.332651940238999,0,0,0,0,0,0,0,0,0.770513269305004,0,0,0,0,0,0,0,0,0,0,0.368512556139642,0.0654536109512698,0,0,0,-1.38777878078145e-17,0,0.0796638667468152,0,0,0,-1.73472347597681e-18,0
X600036.CH.EQUITY,0.196486084289362,0.259766487136667,0,0,0,0,0,0,0,0,0,0,0,0.136722222425058,0,0,0,0,0,0,0,0,0,0,0,0,0.0375207252185304,0,0,0,0.199313419803174,0,0,0,0,0,0,0,0,0,0.0305311561922437,0.0549117955176167,0,0.0117441334697882,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0675270459261221,0.1469622700853,0,0,0.177135954907655,0,0,0,0,0,0,0.379791390833931,0.0240626774250973,0,0,0.052754122813646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757369238992501,0.00563831147153237,0,0,0,0,0.028511437417478,0,0,0,0,0,0,0,0,0,0,0,0,0.106921875100321
X601169.CH.EQUITY,0,0,0,0,0,0.0244087692618562,0,0.280294081953499,0,0.246996305388883,0.0508989630053444,0.0270736236672591,0,0,0.0720133754467421,0.0777953810456634,0,0,0,0.089093750671586,0,0,0.0243503117886793,0,0,0.0717880978082528,0,0,0,0,0,0,0,0,0,0,0,0,-0.0507750710288156,0,0,0,0,0,0,0,0,0,0,0,0,0.00501374409252152
X601229.CH.EQUITY,0,0,0,0,0,0.421837853279908,0.511233134164999,0,0,0,0,0.0779274034456984,0,-0.0295376595994424,0,0,0,0,0.217014540365893,0,0,0,0,0,0,0,0.0068226624367594,0,0,-0.022676568489698,0,0.144451894238471,0,-0.0920236796336426,0,0,0,-0.403182656072168,0,0,0,0,0,-0.0103019999751192,0,0,0,0,0,0,0.0385459937686599,0.221147099320646
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0540601148125292,0.112045673674806,0,0.105163766111249,0.393386220991383,0,0.0236682742163142,0,0,0,0,0,0,0.00683558392187856,0,0,0,0,0,0,0,0,0,0,0,0.058350994525839,0,0,0,-0.0320510619998576,0.202742339637719,0,0,0,0,0,0,0,0,0,0,0.107365203917407,0
X601328.CH.EQUITY,0,0,0.436584957311622,0.0665854080320533,0,0,0.0514570633455569,0,0.0621376697335359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.20312197148664,0,0,0,0.0294257029761965,0,0.0537887115788142,0.122657585152157,0,0,0,0,0,0,0,0.0638210984593236,0,0,0
