,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.25069585100024,0,0,0,0,0,0,0,0,0,0,0,0,0.0534344614492622,0.000505971499255332,0,0,0,0,0,0,0.0644050410244957,0,0,0,0,0,0,0.209731447609133,0,0,0,0,0.198471671388611,0,0,0,0.0754526407476775,0,-0.106814310239051,0,0,0,0,0,0,0,0,0,0.0538760118403334
X002142.CH.EQUITY,0.344851122499908,0,0,0,0,0,0,0.0244937116149966,0.0399147551379186,-0.0187976536165863,0,0,0,0.27021755257935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581766395935672,0,0.0355559229652427,0,0,0,0.0183047379194688,-0.150424901774527,0.0443394673950481,0.00854449688273368,0,-0.101123829523323,0,0,0,0,0,-0.0308758519719781,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.50412752239067,0,0,0,0,0,0.0352535109953823,0,0,0,0,0,0,0,0,0,-0.0600495751241329,0,0,0,-0.0274442492171509,0,0,0,0,-0.031855504844584,0,0,0,0,0,-0.366244379717676,0,0,0.0948379686357897,0.328623871797358,0.0497969436285486,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.152527613302279,0,0.212035470394643,0,0.0125708798401227,0.428130770046835,0.00300419438406243,0,0,0,0,0.0181259738018602,0,1.73472347597681e-18,0,0,0,0,0,0.0115898613949051,0.172926893105964,0,0.0665829425709398,0,0,0,0,0,0,0,0,0,0,0,0,0.0278441870886047,0.0597075224703543,0.0587287687089874,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.104276077016158,0.501575446768214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.481245442752872,0,0,0,0,0,0,0,0.108794047263077,0,0.0812702089254178,-0.0697589663603617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000337539816776838,0,0.264852454231497,0,0,0,0,0,0,0,0,-0.129010002460718,0.0223116367372122,0,0,0,0,0,0,0.327643015175843,-0.133641098099247,0.0253547093844867,0,-0.248944376975033
X601166.CH.EQUITY,0,0,0.288290023313861,0,0,0,0,0,0,0.240518057664974,0,0,0,0,0,0,0,0.0130690580872798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299496457355733,0,0.0384861338061604,0,0.123303459917985,0,0,0,0,0,0.170006649178532,0,0,0
X601169.CH.EQUITY,0,0,0,0.792037702425946,0,0,0,0,0,0,0,0,0,0,0,0.0696787531594244,0,0,0,0,-0.0761096712522539,0,0,0,0,0,0,0,0,0,0,0.148097544008645,0,-0.527701390384065,0,0,0,-0.0372318236494134,0.520290678570189,-0.0106819741628993,0,0,0,0.128418429200049,0.0643983283089078,0,0,-0.212661679024018,0,0,0.0533981022533734
X601229.CH.EQUITY,0,0.0539128440381231,0.0997377667345807,0,0,0,0.0635089887670129,0,0,0,0,0.489613714696138,-0.0243013364526808,0,0,0.178988717757089,0,0,0,0,0,0,0,0.0374241054479595,0,0.0552033424733765,0,0.0749669456695313,0,0,0,0,0,0,0,0.280916553255528,0,0,0,0,-0.256793299139635,0,0,0,0,0,0,0,0,-0.177056135713941,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.40395339924273,0,0,0,0.0438326782142899,0,0,0,0,0,0,0,0,0.422786966546696,0,0,0,0,0.140657067690916,0,0,-0.670657230740041,0,0,0,0,0,0.112428089808699,-0.333522365389167,0,0,0,0,0,0,0,0,0.267720901058484,0,0,-0.159260432820488,0,0,0,0.0129893115317948
