,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X000001.CH.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X002142.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.182328589700622,0.102835690350251,0,0,0.34056636898357,0,0,0.0134165758870538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228351927710141,0,0,0,0.0924965999727776,0,0,0,0.110062220847405,0.0518171747298987,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0392691420100193,0.00421239166166157,0
X601318.CH.EQUITY,0,0,0,0,0,0.0581701764257941,0,0,0.243161441686455,0,0,0.304360748639257,0,0.0357984613259088,0,0.0427938577774341,0.0125690734051452,0,0,0.188318677465977,0,0,0,0,0,0,0,0,0,0,0,0.0632375729658819,0,0,0,0.238701484559495,0,0.00239446949985858,0,0,0,-0.0540426685266033,0,0,0,0,0,0,0,0.010201180048371
X600036.CH.EQUITY,0,0.0392176287806001,0,0,0,0.195683090521143,0,0,0,0,0,0.177627875750798,0,0,0.0477346467120217,0,0,0,0,0,0,0,0,0,0.0718262963162785,0.227209187184043,0,0.0100227390314844,0,0,0,0,0,0,0,0,0,-0.138413395436412,0,0.0653569945207266,0,0,-0.0664136009207295,0,0,0,0,0,0,0.203232385776119
X601939.CH.EQUITY,0.635992785121812,0.0314616959199192,0,0,0,0,0,0,0.155778383389266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156038757603849,0,0,0,0,0,0,0,0,0.101544505663809,0.097200464629818,0,0,0,0,0,0.0255584914290224,0,0,0,0,0,0.0939741690340833
X601288.CH.EQUITY,0,0,0,0.0751450531578141,0,0,0,0.391301633813669,0,0,0.0794510498324582,0.0112423528942193,0,0,0,0,0,0.108667020042224,0,0,0,0.0194488534603817,0,0,0.178540699423622,0,0,0.0213814384393729,0,0,0,0,0.177480136770502,0,0,0,-0.0137774359129252,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0219106794230679,0,0,0,0,0,0,0.0369715518503645,0.334140621197928,0,0,0,0,0.00722775020021786,0.13807603067433,0,0,0,-0.165803477815475,0.146711498459592,0,0,0,0,0,0,0,0,0,0.118477413583304,0,0.0359375232968604,0,0,0,0,0,0,0.183936628204234,0,0,0.183105886517199,0,0,0,0,0.101881773483389,0,0
X601628.CH.EQUITY,0,0,-0.143083802019359,0,0,0,0,0,0,0.0970819908467027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496810416748268,0.098958882305756,0,0,0,-0.042465638386232,0,-0.0832249001044677,0,0,0.370440155579889,0,0,-0.000517341731346821,0.369276461624675,0,0,0.0497878312969652,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.176470536843254,0,0,0,0.379243049617757,0,0,0,-0.0653410827711514,-0.0274641124488184,0,-0.121669475614721,0.0704139609275384,0,0,0,0,0,0.145579301061459,0.098898905126318,0,1.73472347597681e-18,0,0,0.0706808335677572,0.0661984516455613,0,0,0,0,0,0,-0.130848716527116,0,0,0,0,0,0,0.0847805531027528,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0949278906479701,0
X5.HK.EQUITY,0,0.223785100377219,0,0.0956704340560199,0,0,0,0,0,-0.144940237725009,0.0387638706941399,0,0.0326245861452276,0,0,0,0,0,0,0,0,0,0,0.281259965950352,0,0,0.117706443540992,0,0,0,0,0,0.00881260646701802,0.0448505280474204,0,0,0,0.235478716080472,0,0,0,0,0,0,0,0,0.0462010084895953,0,0,0
X388.HK.EQUITY,0,0,0,-0.0513411382728701,0,-6.93889390390723e-18,-0.0278797182989197,0,0,0,0,0,0,0,-0.0480062686581742,0,0.176226622834937,0,0,0,0,0,-0.08197781864169,-0.174955170446386,0,0,0,0,0.110520231446177,0,0,0,0,-0.345134573368354,0,0,-0.175344950969232,0,0.418224343997859,0.358140692096686,-0.135004475600667,0,0,0,0.224153414484759,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.118359912638898,0,0,0,0,0,-0.161069797866305,0,0.456397732765434,0,0,0,0,0,0,0,0,-0.0873380529014236,0,0,0,0,0,0,0.0479111684590461,-0.0167405461679563,0,0.0902297285125164,0.16239580615387,0,0,0,0,0,0,0.0114819966736544,0,0,0,0,0,0,0,0.0531083277797624,0,0,0
X000001.CH.EQUITY,0,0.199563012123469,0.138919075516087,0,0,0,0,0,-0.18113735974714,0,0.457015405650108,0,-0.0434531272668454,0,0,0,0.0354437882903465,0,0,0.138499126298591,0,0.277896675735269,-0.110519417756805,0,0,0,0,0,0,0,-0.127159291170307,0,0,0,0,0,0,0,0,0,0,0.104870049530719,0,0,0,0,0,0,-0.0678577393385866,-0.173427612633625
X601658.CH.Equity,0,0,-0.0200541669115238,0,0,0,0,0.0666672133700538,0,0.0231456875693299,0,0,0,0,0,0.226617895820575,0,0,0,0,0.0481537127614281,0,0.229135397499358,0,0.351162382848141,0,0,0,-0.277733983796732,0,0,0,0,0,0,0,-0.122206029671841,0.0472319029765235,0,0.321020203135194,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0056264631164404,0,0,0,0,0,0,0,0.200611888209649,0,0,0,0,0,0,0,0,0.0130469901162041,0,0,0,0,0,0.437039554812914,0.227471780028622,0,0,-3.46944695195361e-18,0,0,0,0,0.0386396232268564,0,0,0,0,0.0989922570493867,0
X000002.CH.EQUITY,0,0,0.0380889947360694,0,0,0,0,0,0,0,0,0,0.0648456883880024,0,0,0,0.0132340958620816,0,0,0,0,0.163565745299033,0,0,0.144960585249823,-0.0555259298294324,0,0,0,0,0.141719689206885,0.559253060364761,0,0,0,0,0,0.037465317791612,0,0,0,0,0,0,0,0,0,0,0,0
