,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.236257943206631,0,0,0.087112043022379,0,0.238979595603681,0,0,0,0,0,0.1280069195762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381505718035262,0,0,0,0.0939254940918012,0,0,0,0,0,0.0225444636503513,0,0,0,0,0,0,0,0.106426148032137,0,0,0
X601318.CH.EQUITY,0.166446872780453,0,0,0,0,0,0,0,0.282458611188976,0,0,0,0,0,0,0,0.233092443382422,0,0.0535051027117191,0,0,0,0.105190514924708,0,0,0,0,0,0.0320200629806614,0,-0.0925552913645381,0,0,0,0.102041510629589,0,0,0,0,0,0,0.0651822641449946,0.0194995786880649,0,0.0537047524139653,0,0,0,0.0430163898112266,0
X601939.CH.EQUITY,0,0,0,0.282502465977532,0,0.0747335651127797,0,0,0,0,0,0,0,0.416034249331062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558714337787087,0,0,0.0735826014150275,0,0,0.0094222277886765,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.354596458529118,0,0.0264838065500403,0,0,0.487183453136988,0,0,0,0,0,0,0,0,0.0301820991186494,0,0,0,0,0,0,0.0175428230632422,-0.0285875918116579,0,0,0,0,0,-0.000339276820570503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10490264560022,0,0,0,0.00349981728393512,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.0668056839954118,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.612863519020164,0,0,0,0,0,0.403619583240769,0.0847830797464677,0,0,0.155499737771603,0,0,-0.0734613373212571,0,0,0,0,0.00385810063943814,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.375597255280483,0,0.000223784803265889,0,0,0,0,0,0,0,0,0.0950723640296575,0,0,0,0,0,0,0.0251830692741362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159782433318243,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.297343177885688,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.277675418226245,0,0,0,0.354938029861091,0.0411879604464783,0,0,0,0.106938787853089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179377603424592,0,0.0602598203735041,0,-0.0686304662114366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305587791254258
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378511144177137,0,0,0.0701676818815392,0.171051934468067,0.0133307305181238,0,0,0,0,0,0,0,0.273549198106031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.169291602457699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183493239810113,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.194887223083239,0,0,0,0,0.067678364312694,0,0,0.16395907764548,0,0,0,0,0,0,0,0,0,0,0.10821030685468,0
X601658.CH.Equity,0,0,0,0,0,0,-0.254267035181139,0,0,0,0,0,0.274625185756325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166223381273546,0,0,0,-0.148737995091077,0,0,0,0,0.746899587377854,0,0,0,0,0,0.251789858299076,0,0,0
