,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY
X601398.CH.EQUITY,0,0,0.254632954494121,0,0.0538471289269274,0,0,0.305156749869676,0,0,0,0.132366857917459,0,0,0,0.0419940140408659,0,0,0,0,0,0,0,0,0.124153383747809,0,0.0211826461352121,0,0,0,0,0.0254069610525365,0,0,0,0,0,0.119201693892439,0,0,0,0,0,0,0,0,0,0,-0.010650935627558,0
X601318.CH.EQUITY,0,0,0.245645977219768,0,0,0,0,0,0.0732332665461534,0,0.0597737184978093,0,0.0377971385156469,0,0.181286417162714,0,0,0,0,0,0,0.0720174420775109,0,0,0,0,0,0.153700731010406,0,0,0,0,0,0,0.0377283142036055,0.0180169019053383,0,0,0,0,0.0803700003106751,0,0,0,0,0,0,0.00760546403939548,0,0
X601939.CH.EQUITY,0.44248411345943,0.0348645833499834,0,0,0,0,0,0,0.0756323312532137,0,0,0,0,0,0,0,0.0506679271014327,0.345494622599354,0,-0.126319002850674,0,0,0,0.00998574490901377,0,0,0,0.1910951889398,0,0,-0.0032151798279512,0,0.253982464922872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.0424118204182124,0.481030156876232,0,-0.0713525339710818,0,0.0905983912818163,0,0,0,0,0,0,0,0,0,0.0181492321583833,0.0264157858108931,0,0.129378902402829,0,0,0.10949947845354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130611986085749,0.0680397792642972,0
X600036.CH.EQUITY,0,0,0,0,0,0.161463493270904,0.046730861575601,0,0.0946742394347337,-0.13836160172761,0,-0.166527174307038,0.206010997450806,0,0,0.146827261669456,0,0.165010642640132,0,0,0,0,0,0.39069694152185,0.0478841688149573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0847192394026669,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,3.46944695195361e-18,-0.0891283869186218,0,0,0,0,0,0.180970066292464,0,-0.0511210997261861,0,0,0,0,0,0,0,0,0.0468549947389618,0,0.154427452484517,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.105743326494477,0,0,0,0,0.148274269860575,0,0.134911362151613,0,0,0.114558429638482,0.0447450534214236,0,0,0,0,0.204748553307108,0
X601628.CH.EQUITY,0.100373325738563,0,0,0,-0.0218597445505472,0,0,0,0,0,0,0,0,0,0,-0.17303698660813,0,0,0,0.266498040084291,0,0,0,0,0,0,-0.117735071375415,0,0,0,0,0,0,0,-0.0593698291146287,0,0.626871660042806,0.0309993076610045,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0470757356733562,0
X601988.CH.EQUITY,0,0,0.0746592258973268,0.49062386773427,1.73472347597681e-18,0,0,0,0,0.0748771459460696,0,0,0.11705883439856,0,-0.0108289808204,0,0.151499001058148,0,0.016436884227497,0,0,0,0.0544890327701018,0,0.0331833891210671,0,0.0211534631743683,0,0,0,0.0557837975268966,0,0,0,0,0.0305399457877015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.396843491945869,0.0323265266922685,0,0,0,0,0,0,-0.0143809465542146,0,0.0526027396005879,-0.117343866432472,0,0,0,0,0,0,-0.183034566460434,0,0,0.299055974240768,-0.0347593839731721,0,0.130612611225747,0.140752878690441,0,0,0,0,0,0,0,0,0,-0.14926796891401,0,0,0,0,0.0940021866382041,0,0.154100629686354,0,0,0,0.13266077167791,0,0
X388.HK.EQUITY,0,0,0,0,-0.298274625539897,0.270288763191561,-0.0314152875332009,0,0,0,0,0,0,0,0,0,0,0,0.279371191426989,0.322960246332205,0,0,0,0,0,0,0,0,0,0,0,0,-0.0835313939034455,0,0,0,0,0,0.116918290486747,0,0,0,0,0,0,0.0438781842162849,0,0,0,0
