,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0.430413782550215,0,0,0.305979420881874,0,0,0,0.225850570100689,0,0,0,-0.0143466256949455,0,0,-0.0830222992485472,0.12607781738449,0,0,0,0,-0.132513624297029,0,0,0,0,0,0,-0.0381768639693367,0,0,0,0,0,0.257265705592319,0,0,0,0,0,0,0,0,0,-0.0786477329940703,0,0,-0.280134924879263
X601318.CH.EQUITY,0,0,0,0,0,0,0.135464837153106,0.0870001564501401,0.068122187299834,0,0.0955231625400142,0,0,0.119709396596294,0,0,0.232189210052369,0,0,-0.202141133541442,0,0,0.0651108475907191,0,0,0,0,0,0,0,0,0,0,0.00618571880713898,0,2.16840434497101e-19,0,0,0,0.344809122124805,-0.0449130792346859,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.140082691925849,0,0,0,0,0,0,0,0,0.0767646780316629,0,0,0,0,0,0,0,0,0,0,0.132698438758598,0,0,0,0,0.417361683957773,0,0,0,0,0,0,0,0.0609072918923592,0.0873694968344164,0,0,0,0.0153039757027008,0,0,0,0,0.00932922279703593,0,-3.46944695195361e-18,0,0,0
X601288.CH.EQUITY,0.0585737124362857,0.0453336748417554,1.73472347597681e-18,0,0,0.0908240213545436,0,0,0,0.0961877459074915,0,0,0,0,0,0,0,0,0,0,0.0933565609186957,0,0,0,0,0.0615017458831537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174459075819519,0,0,0,0.288479447786685,0,0,0,0.00794829915366767,0
X5.HK.EQUITY,0,-0.124638401233546,0,1.73472347597681e-18,0,0,0,0.0597433652281867,0,0,0.0437531683995727,0,0,0,0,0.363149407489441,0,0.143474695996971,0.0559622855396887,0,0,0,0.472279890165222,0,0,0,0,-0.12765699142303,-0.249506321140931,0,0.0487013434888957,0,-0.0624609349175075,0,-0.0165043261648156,0,0,-8.67361737988404e-19,0,0,0,0.115782236273105,0,0.0830614798582231,0,0,0,-0.170004065394908,0
X601988.CH.EQUITY,0.280348465611757,0,0,0.380095751014021,0,0,0,0,0,0,0.139270519808278,-0.0919433452689077,0,-0.0454227945862955,0,0,0,0,0,0,0,0.175731987391956,0,0,0.0036750144863527,-0.0106182314986379,0.0984772396597471,0,0,0,0,-0.0653301625692483,0,0,0,0,0,0,0,0.0488611263330462,0,0,0,0,0.0063754597746393,0,0,0.0813602006677742,0
X600036.CH.EQUITY,0,0.361727739642173,0,0,0.0957490052311743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456795810044081,0,0,0,0,0,0,-0.123116103557926,0.134857286454334,-0.0102301970090709,0,0.0830986183593632,0.0388875333797111,0,0.236384439922804,-0.0511026995121053,0.0634832442958317,0,0,0,0.172246341859287,0,0,0,0,0,0,0,0,-0.0435509693036851
X1299.HK.EQUITY,0,0.101620962363315,0,0,0,0,0,0,0,0,-0.0486485041346972,0,0,0,3.46944695195361e-18,0,0,0.287710350463161,0,0.252461275053893,0.209891036902069,-0.0163964303552757,0.0990764407629914,0,0,0,0,0.109901083945793,0,0,0,0,0,0,0,0,0,0,-0.200891307648785,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.19404044754429,0,0,0,0,0,0,0,0,0.0305650822654007,0,0,0,0,0,0.207021985893588,0,0,0,0.0449348549914854,0,0,0.141327577237761,0,0,0,0,-0.0356839631398376,0,0,0,0,0,0,0,0,0.165257640560858,0,0.145755951229412,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.0636217198379398,0,0.063446845735742,0.0588731626690192,0.0641512630257514,0.286485109390187,0,0,0,0,0,0,0,0,0,0.0126647614417007,0,0,0.0255489901577401,0,0,0.200932381328174,0,0,0.0423636512869074,0,0,0.0621297336963454,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228256186665696,0,0.0288450342742373,0.0584504358185285,0,0.11011637368726,0,0
