,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY
X601398.CH.EQUITY,0,0,0.222840062305699,0,0,0,0,0.372392394414138,0,0,0,0,0,0.0285650721878383,0,0,0,0,0,0,0,0,0,0,0,0.254589319574636,0,0,0,0.0173426837154101,0.0257021583078531,0,0,0.0729586178053151,0,0.0608159907709399,0,0,0,0,0,0,0,0,0,0,0,0,-0.0898761169352569,0
X601318.CH.EQUITY,0,0,0.10882302717457,0,0,0,0,0.0164710422902752,0.280247403920439,0,0,0,0,0.139086309805573,0.264661370861462,0,0,0,0,0.0495588495027465,0,0.039396399683873,0,0,0,0,0,0.19067728624771,0,0,0,0.0626662885770881,0,0,0,0,0,0,0.0256593941470643,0,0,0,0,0,-0.101430871367277,0.0484599008375683,0,0,0,0
X601939.CH.EQUITY,0.334760591704867,0.0400443530069256,0,0,0,0,0,0.262049019482926,0.273144437025333,0,0,0,0,0,0,0.208547750683847,0.00364439075407596,0,-0.0041197138727771,0,0,0,0,0,0,0,0.141249963343987,0.229550492427142,0,-0.0422501842601206,0,0,0,0.079158218460373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.152102432113783,0,0,0.0605153024519906,-0.102209649350589,0,-0.103113006092838,0.148638487032209,0,0,0.158020939007163,0,0,0,0.161623081255451,0,0,0,0,0,0,0.398576309613895,0.0323163440473212,0,0,0,0,0,0,0,0,0,0,0,0,-0.072893572859592,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.101993103467238,0,0,0,0,0.459712457649406,0,-0.0600427052162437,0,0.0706144325430946,0,0,0,0,0,0,0,0,0,0,0.143220901747687,0,0,0.0608306920720727,0,0.12528270112779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229156924459279,0,0,0.0124688074185887
X1299.HK.EQUITY,0,0,-0.0584635460813407,0,0,0,0,-0.00182288670940907,0,0.160259819891824,0,-0.0944933823312755,-0.0755986242304645,0,0,0,0,0,0,0,0,0,0.161132005575502,0,0,0,0,0,0,0,0,0,0,0.123711704843615,0,0.0531848959206339,0,0,0.227601258194736,0,0,0,0.251387973883447,0,0,0,0,0.084282273416628,0.18365937823058,0
X601628.CH.EQUITY,0.00935475947047105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0838662287411508,0,0,0.147516328070096,0,-0.0136215836010567,0,0,-0.153848378901115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469156850538674,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.525080524427807,0,0,0,-0.00801689056119182,0,0,0,0,0,0,0,0.286930952664028,0.135146888771202,0,0.0435036589745611,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418219379098434,0,0,0,0,0,0,0,0,0,0,-0.0982352876366838,0.00136683616680958,0,0,0,0
X5.HK.EQUITY,0,0.00665555633610671,0.0636103974684477,0,0,0,0,0,0,-0.0888344150059741,0.150855761547094,0,0,0,0,0,0,0,0,0,0,0,0.188850642519662,0,0.0818162729607109,0,0,0,0,0,0,0,0,0.176039141172389,0,0.0456243415231189,0,0,0,0,0.306478024380373,0,0.216629068270619,0,0,0,0.0710440458807731,0,0,0
X388.HK.EQUITY,0,0,1.0842021724855e-19,-0.319652008706823,0,0.256406223468671,0,0,-0.0380542202557034,0,0,0,0,-0.0107265848255709,0,0,0,0.167707439940252,0.263551484204833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0598204195375102,0,0,0,0,0,0.167800174486242,0,0,0,0,0,0,0,0.112757048350532,0.0372337698285232,0
