,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0181212748847979,-0.0376240230684057,0.21374283299898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.200768426992271,0,0,0,0,0,-0.306962563947246,0,0,0,-1.73472347597681e-18,0,0.78722857824044,0.212596203262686,-0.175329582101208,0,0,-0.0825133789171822,0,-0.000118268787093645,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.138935240315951,0,0.209714462344818,0.0156259769404728,0,0,0,0,0.0331256303175743,0,0,0,0,0,0,0,0,0.0365891219932453,0.0684074067295169,0,0,0,0.0728538681799106,0.0331187849824745,0,0,0,0,0,0,0,0.219704741593935,0,0,0,0,0.0478813704974111,0,0.0386178764108086,0,0,0,-0.0198449779469914
X601939.CH.EQUITY,0.374429490988368,0,0,0,0,0.048920892442405,0,0,0,0,0,0,0,0,0,0,0,0.293081210157015,0,0,0,0,0,0,0,0,0,0,0.00461086025109142,0.0700995491678252,0,0,0,-0.216412279173106,-0.172152308972512,0,0,0,0.466957485323022,0,0,0,-0.0313787917233258,0.0908167867588029,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.110832755805725,0,-0.216793825156063,0.193908924199063,4.33680868994202e-19,0.455770688961525,0,0,0,0.137541821409834,0.0725329675178611,-0.198633466887215,0,0,0,0,0,-0.0345489190039292,0,0,0,1.73472347597681e-18,0,0,0,-0.687773967537496,0,0,0,0,0,0,0,0,0,0.295274241013048,0,0,0,0,0,0,0.107249115026303,0
X5.HK.EQUITY,-0.156344253863834,-0.0309226969656547,0,0,0,0,0,0.0916589785292299,0,0,0.0461761037466141,0,0,0,0.346903816279297,0,0,0,0,0.458210867997063,0.24273591579066,0,0.099663763524845,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.216289291669928,0,0,0,0,0,0,0,0,0,-0.137489211678898,0.240366440823127,0,0,0,-0.0759981213716749,-0.145844588078988,0
X601988.CH.EQUITY,0.215052627706458,0,0,0.33601493382653,0,0,0,0,0,0,0.19156966298128,0,0,0,0,0,0.241368810822671,0.0190049007718398,0,0,0,0.0169690275374942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0711813119337124,0,0.0726263540283215,0,0,0,0,-6.93889390390723e-18,0.254435910156448,0,0,0,0
X600036.CH.EQUITY,0,0.18309079425582,-0.0475652328828662,0,0,0,0,0,-0.253477405385423,0.476471219318583,0,0.35180201815029,0,0,0,0,0,0,0,0,0,0,0.0785067526400753,-0.0888926989452342,0,0,0,0.0724669275654635,0,0.065272057011425,0.102304615729277,0.137603357219538,0,-0.133844424718062,0,0,0,0,0,0,0,0,0.176607080866842,0,0,0,0.0267853572766431,0,0
X1299.HK.EQUITY,0,0.103360707899024,0,0,0.0735810343575796,0,0,0,0.0986952883491534,0,0,0,0,0.0400434037691693,0,0.176535197986057,0,0,0,0,0,0,0,0,0,0.083776255240994,-0.011882931503111,0,0,0,0,0,0.240424631645367,0,0,0,0,0,0,-0.0632106072991011,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0615534876083419,0,0.0727952693749106,0,0,0,0,0,0,0,0,0,0.320504084775575,0,0,0,0,0,0,0,0,0,0.0942768636469277,0.06205795346584,0,0,0,0,0,0,-0.0785407350223009,0,0,0,0.0764969983003237,0,0.207640797527085,0.0313516207120141,0,0,0,0,0,-0.0277253120266125,0.116921403109962,0,0,0
X601328.CH.EQUITY,0,0,0,0.0153577677838999,0,0,0.63250504182107,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.27781727301171,0,0,0.120764830062915,0.0598397485068951,0,0,0,0,0,0,0,0,0,-0.018514942446602,0,0,-0.0900778646464654,0,0,0,0,0.0452664548266162,-0.135554682643179,-0.0295511764987294,0,0
X601166.CH.EQUITY,0,0,0,0.227281951298785,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.559197214506316,0,0,0,0,0,0,-0.0821997384454176,0,0,0,0,0,0,-0.0198620512926703,0,0,0,0,0,0,0,0,0,0,0.179209219340165,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.00116554624623812,0,0,0,0,0,0.54717007379891,0,0,0.0146075999259465,0,0,0,0,0,0,0,0,0,0,0,0.0188979613859135,0,0,0,0.329565691168137,0,0,0.112115157876249,-0.0287386704378918,0,0.0406710329051794,0,0,0,-0.154317773384261,0,0,0,0.0827237606923125,0,0,-0.38062706681764,0,0,0,0,0,0
X601319.CH.EQUITY,0,0.0401947656703883,0,0,0,0,0,0,0,0,0,0,0,0.263865414600809,0,0,0,0.0623529980308752,0,0.207875832729826,0,0,0,0,0,0,0,0,0,0,0.0313477268479499,0,-0.0425320801549479,0,0,0,0,0.0644091435719655,0,0.0523536469537323,0.243321248542083,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.294577778307336,0,0,0,-0.237433156592796,0.042860055177417,0,0.408741932221157,0,0.0205564821433576,0,0,0,0.133060342306494,0,0,0.034718302314946,0,0,0,0,-0.0927131818255972,0,0,0.118520688744718,0,0,0,0,0,0,0,0,0,0,0,0,0.0222674823233408,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18
