,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X002142.CH.EQUITY,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2883.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.193471282232881,0,0,0,0,0,0.0575064057393998,0.0299284644068834,0,0,0,0.361814841349012,0,0.0450869978231855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135791971438931,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,-4.33680868994202e-19,0,0,0.11732099714687,0,0,0,0.0331918438200786,0.0633694493641865,0,0.0442858667869065,0,0,0,0.50620408553038,0,0,0,-0.0473748108863862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254977713594971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0308742471563451,0,0,0.174983656060666,-0.00575505735201769,0,0.14453692903084,0,0,0,-0.0675130650168479,0,0,0.328949407729943,0,0,0,0,0.089032185192725,0,-0.0255405430167339,0,0,-0.0790136769330462,0,0,0,0,0,0,0.113848093801249,0,0,0,0,-0.00977830817669352,0,0,0,0,0,0,0,-0.0337777820576248,0,0,0.126122935517519,0,0,0
X601988.CH.EQUITY,0.0439752896409046,0.329628045763662,0.302907254134924,0,-0.0768204849573311,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0392784415975264,0,0,-2.16840434497101e-19,0,0,0,0,0,0.0210858138372746,0,0.00225567386711349,0,0,0,0,0,-0.149367260702849,0.221548333282498,0,0,0,0,1.73472347597681e-18,0,0,0,0.121765116322633,0,0,0,0.149940562952661,0,0,0,0,-1.0842021724855e-19
X5.HK.EQUITY,-0.172215992134198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110701909508198,0,0,0,0,0.859159086962841,0,0,0,0,0.099087969742414,0,0,0,0,0,0,0,0,0,-0.107079529803796,0,0,0,-3.46944695195361e-18,0.0139554141890001,0,0.265317071188881,0.0374720635846293,0,0,0,0,0,0,0.0557186964760986
X601658.CH.Equity,0,0.273880803872914,0,0,0,0,0,0.0314021152001089,0,0,0.0410169381577005,0,0,-1.73472347597681e-18,0.308479657491898,0,0,0,0,0,0,0,0.0592295923230011,0,0,0,0,0,0,-0.0731104604848003,0,0,0,0,0.113310515021614,0,0,0,0,-0.00443185990064326,0,0,0,0,0,-0.148768280052233,0,0,0,-0.0146478586519562
X601328.CH.EQUITY,0.282777051294107,0,0.0594381695184545,0,0,0,0,0,0.0612493023541984,0.0173639086857889,0,0,0,4.33680868994202e-19,0.363014745856978,0,0.0819710948890217,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0479641704730141,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0122460171239374,0,0,0,0,0,0,0.0501255633234072,0.0163906830593911,0,0,0,0.119951428361914,0,0,0,0,0,0,0,0.16723840872207,0,0,0.542545455894908,0,0,0,0,0,0,0,0,0,0,-0.109736598709971,0,0,0,0,0.0837257633237372,0,0,0,0,0,0,-0.0191538291293809
X600036.CH.EQUITY,0,0,0,0,0.0360899090834145,0,0,0,0,0,8.67361737988404e-19,0.0338733393747043,0,0,0,0,0.846480349716231,0,0,0,0,0,0,0,0.166744758355,0,0,0,0,-0.117329600934362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0985115677494476,0,0.224694634812851,0,0,0
X601166.CH.EQUITY,0.0920818957828876,0,0,0,0,0,0.0504765113088779,0,0,0,0.039860204010358,0,0.138460888516171,0,-6.93889390390723e-18,0.0530620745222266,0.33436505007592,0,0,0,0,0.0783434928428242,0,0,0,0,0,0.0580103963405474,0,0,0,0,0,0,0,0,-0.0387695345982775,0,0,0,0,0,0,0,0,-0.0230159503793026,0,0,0,0
X267.HK.EQUITY,0.284063716942818,0.409049269390839,0,0,0,0.12676235793915,0.177887755411345,0,0,0,0,0,0,0,0,0,0.0534852655535371,0.049688539540424,0.333352863373059,0.0666514983356685,0,0,0,-0.268605951431432,0,0,0,0,0,0,0,-0.503776026200737,0,0,0,0,0,0.274082180819595,0,0,0,0,0,0,-0.206655708340749,0,0.031808838970962,0,0,0
