,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X2884.TT.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601997.CH.EQUITY,X000002.CH.EQUITY,X2887.TT.EQUITY,X2801.TT.EQUITY
X601398.CH.EQUITY,0,0.10491728264699,0.214017404076712,0.0890780298081762,0,0,0,0,0,0,0.050528905597082,0,0,0,0,0,0,0.0636318420266562,0,0,0,0,-0.129597999618657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202571102165428,0.259587828673523,0,0,0,0,0,0,0,0,0,0,-0.0571848329410657,0
X601939.CH.EQUITY,0,0,0,0.190240575932858,-0.045669456597787,0,0,0,0,0,0,0,0,0.648113999544436,0,0.0437850071374953,0,0,0,0,0,-0.249086032638387,0,0,0,0,0,0,0,0.0138458769195901,-0.359119496912956,0,0,0,0,0,0,0,-0.166177641944131,0,-0.0211558607522328,0,0,0,0,0.021439392239329,0,0,0.0165348726282934,0
X601288.CH.EQUITY,0.600704739252973,0,0,0.0586989341418538,0.0311108772967396,0,0,0,0,0,0,0,0,0,-0.121413821798256,0,0,0,0,0,-0.0800607615875294,0,0,0.108864394151003,0,0,0,0,0.101538466372274,0.250639920774747,0,-0.155109186593702,0,0,0,0,0,0,0,0,0,0,0,0.0607338632153177,0,0,-0.0509819724886821,0,0,0
X601988.CH.EQUITY,0,0,0.228264157667819,0,0,0.0308206762575605,0,0,0,0,0,0.312946186770082,0,0,0,0,0,0,0,0,0.0899563985203582,0,0,0,0,0,0,0,0,0.14678289602049,0,0,0.0340872590114148,0,0,0,0,0,0,0,0.0454422231136307,-0.0168889251531386,0,0,0,0,0.0440935579328771,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0.123532301004804,0,0.16694400511916,0,0,0,0,0,0,0,0,0,0,0,0.177562450821979,0,0,0.305215629929449,0,0.020539420833163,0,0,0,0.0137022347093969,0,0,0,0,0,-0.149713752115681,0,-0.0270097667347247,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.0627299576393547,0,0,0,0,0,0,0,0.128179946615517,0,0,0.223040371261585,0,0,0,0,0,0,-0.0166557877493166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921635968639933,0,0,0,0,0,0,0,0,0,0,0,0,-0.0041052516881707
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251456351000072,0.074300243762192,0,0,0,0,0,0,0.209997141589552,0,0.0927195988901138,0,0,0,1.73472347597681e-18,0,0.200987083875608,0,0,0,0,0,0,0,0.00549186472644995,0,-0.0610505869004139,0,-0.0714482367023909,-0.0833814085270999,0,0,0,0.0556566421715036,0,0,0.159551705722405
X600036.CH.EQUITY,0.104055816611198,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.472646318994579,0,0,0,3.46944695195361e-18,0,0.0224912117672049,0,0,0.0493688432738486,0,0,0.290720605774014,-1.73472347597681e-18,0,0.0293329464234195,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0106605009698934,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.175896775308516,0,0.020184357980076,0,0,0,0.0611185369657281,0,0,0,0.028767936888415,0,0,0,0.0224352299252661,0,0,0,0,0,0.168967359620299,0.0455234186785303,0,0,0,0,0,0,0,0,0.0249491129349291,0,0,0.138907106579373,0,0,0,0,0.170634549990783,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,-0.0758508117723519,-0.103248344676455,0,0,0,0,0,0,0.729537992547846,0.19057969879089,0,0,0,0,0,0,0,0,0,0,0.120512188002616,0,0,0.0151145518101716,0,0,0,-0.0753765366049488,0,0,0,0,0,0,0,0,0,0,0,0,0.126220011733756,0,0,0,-0.154136889867811,0
