,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.229921358729957,-0.0895729004646408,0,0,0,0,0,0,0.425673409756715,0,0,-0.163117455934511,0,0,0,0,0,-0.0575864602613815,0,0,0,0,0,0,0,0,-0.0184222462969129,0,0.713055498706139,0,-0.0671647007912017,-0.0351106642522592,0,0,0,0,0,-0.0252023862547173
X601318.CH.EQUITY,0,0,0,0,0,0,0.0932788967336849,0.0480533870168148,0.149218744412433,0,0,0,0,0.106135743907157,0,0,0,0,0.091300050606221,0,0.102730122596267,0,0,0,0,0,0.0119922519530519,0,0,0,0.0460696238584457,-0.0145259857879099,0,0.0313806088791991,0.0685976836792414,0,0,0,0,0.1979396902775,0.0713757225035602,-5.42101086242752e-20,0,0,0.0676532740322857,0,0,0,0
X601939.CH.EQUITY,0.281462490030661,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130684796487333,0,-0.00874792097365416,0.0698000643806046,0,0,0,0,0.0891729812141235,0,0,-0.317478014896255,0,0,0,0,-0.0169287402342953,0,0,0,0,-0.0583109016350573,0,0,0,0,0.579146178061624,0,0.128758250832136,0,-0.0277526208963218,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.162393131297941,0,0,-0.0194899544754741,0,0,0.434005486185622,0,0,0,0.35765383009062,0.0118166251609794,-0.0741049026616076,0,0,-0.157271167023322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0
X5.HK.EQUITY,0,0,0,0,0,0.147326181859683,0,0.166399154453941,0,0,0.153941794119388,0,0,0,0.215906552185305,0,0,0.0933221780136877,0,0,0,0,3.46944695195361e-18,0,0,0,0,-0.174583843421765,0,0,0,0,0,0,0,0,0,0.147776414253936,0,0.0681940860061824,0,0,0,0,0,-0.0756788037610625,0,0,0.148995164841668
X601988.CH.EQUITY,0,0,0,-0.0525965411687656,0.411205545496084,0,0,0,0,0,0,0,0,0,0.0226732209271177,0,3.46944695195361e-18,0.00969853939618644,0,-0.177349599491078,0,0,0,0,0.326668239321303,0,0,0,0,0,0,-0.36363812483182,0,0,0,0,0,0,0,0,0,0,0,0,0.0360238711377881,0.119830916902424,0,0,0
X600036.CH.EQUITY,0,0.268514983145614,-0.0603241130810083,0,0,0,0,-0.127886029812009,3.46944695195361e-18,0.501573146843508,0,0,0,0,0,0,0.0907036642686073,0,0,0.27929615495921,0,0,0,0,0,0,0,0,0.108531048927323,0,0,0,0,-0.134441666686901,0,0,0,0,0,-0.0616145290907598,0,0,0.229148885034848,0,0,-0.0768111324563128,0,0,0
X1299.HK.EQUITY,0,0,0.0263474977070948,0,0.246301927887763,0,0,0,0,0,0,0,0,0,0,0,0,0.0684273869646246,0.0479763835631469,0,0,0,0,0,0,0.246835099744344,0,0.0134764662281622,0,0.0925431310211873,0,0,0,0.0399847842611655,0,0,0,0,0,0,0,0,-0.222915585502756,0,-0.111447199545719,0,0,0.0619447597132062,0
X601628.CH.EQUITY,0,0.121165193675054,0.0164569772945391,0.071976731863848,0,0,0,0,0,0,0,0,-0.0397143403175742,0.298592804052093,0,0,-0.0264371913740673,0,0,0,0,0,0,0,0.143228163051762,0,0,0,0,0,0,0,0,0,0,0.205499390115121,0,0,0,0,0,0.188626553547822,0.0173373403871472,0,0.059890077318226,0,0,0,0.0421030637571049
X601328.CH.EQUITY,0,0,0,0,0,0,0.66885460722247,0,0,0,0,0,0,0,0,0.0864271284719269,0,0,0,0.204387144742123,0,0,0,0,0,0.119707457979234,0,0,0,0,0,0,0,0,0,-0.0312536017114652,0,-0.088212999032325,0,0,0,0.0234249378885604,0.0283142137589353,0,0,-0.213421092156787,0,0,0
