,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY
X601336.CH.EQUITY,0,0,0,0,0,0.571032596432681,0.0296048076980224,0,0,0,0.113788915928188,-0.106547234380334,0,0.0410932308385161,0.0124839375995119,0,0,0.107349841728014,0,0,0.0869801954635833,0,0,0,0,0,0,0.0434967114768916,0,0,-0.125635139898585,0,0,0,0,0,0,0.0146361475395134,0,0,0,0,0,0,0,0,0,0,0.134020117584787,0
X601211.CH.EQUITY,0,0,0,0,0.0455341993062447,0,0.0919717691725183,0,0,0,0,0,0,0.326992780535024,0,0,0,0.0960697178786929,0.015180481351597,0,0,0,0,0,0.0664574211379274,0,0,0,0,0.0682560770790106,0,1.73472347597681e-18,0,0.287062897784599,0,0,0,0,0.0309983507446449,0,0,0,0,0.0236731277152241,0,0,0.0283580966209878,0,0,0
X600837.CH.EQUITY,0,0,0,-0.0409894636918889,0,0,0.092141745334504,0,0,0,0,0,0,0,0,0,0.0308577363078036,0,0,0,0,0,-0.117544363152678,0,0,0,0,-0.0692372834111755,0,-0.14200725891684,0,0,0.0322337469078876,0.232918649349153,0.0986012896428572,0.301918248220171,0,0.0904931035629756,0,0,0,0,0.120059838798543,-6.93889390390723e-18,0.0513692168329465,0.115078558566247,-1.38777878078145e-17,0,0,0
X267.HK.EQUITY,0.165153484734354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00447422705148387,0,0,0,0,0,0.0293330816351845,0,0,0.0231852587811171,0,0,0,0,0,0,0,0,0,0.104751555559462,0,0.431135190030856,-0.411456098456513,0,0,0,0,0,0.190296409725378,0
X002736.CH.EQUITY,0.0389452627189909,0,0,0,0,-0.125170066179843,-0.0237522089581927,0,0,0,0,0,-0.0845484025064119,0,0,0.192744427257134,0,0,0.259227534657397,0,0,0.040276820839911,-0.0889644751342761,0,0,-0.0326112845903436,0,0,0,0.0543896391366097,0,0.236553943837006,0,0,0,0.0422866848590261,0,0,0,0,0,0,0,0.103738917947924,0.0679308071433174,0,0,0,0,-0.325063071755929
X2882.TT.EQUITY,0,0,0,0,0,0,0.19236505547341,0,0,0,0,0,0.046588232281431,0,0,0.010045842769064,0,0.0146982072364237,0,0.00515645785509337,0,0,0.147335470002785,0,0,0,0.111412027938844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699260529838208,0,0.076853391996657
X1113.HK.EQUITY,0.0982717279923282,0,0,0,0.0127705235074547,-0.0716135419670123,0.0970929378596769,0,0.0777249968919907,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0343082441840129,0,0,0,0,5.42101086242752e-20,0.152679403209784,0,0,0,0,0,0,0,0,0,0,-0.130321461467208,0.008279667858576,0,0.0956215528628933,0,0,0.188224164837645,0,0,0,0,0.207780112169429,0,0
X12.HK.EQUITY,0,0.0291777177350278,-6.93889390390723e-18,0,0,0,0,-0.106443100342518,0,0.00445112365678466,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0682401468021324,0,1.73472347597681e-18,0,0,0,0.137631658880928,0,-0.267314165826049,0.121995477024219,0,0,0,0,0.115015655120613,0,0,0.514490280333781,0,0,0,0,0,0,0,0,0
X823.HK.EQUITY,0.0508453954190765,0,0,0,0.0775318856401346,-0.0133704846824231,0,0,0.0215617416267182,0,0,0,0,-0.0381262429308435,0,0,0,0,0,0.279986502783198,0,0,-3.46944695195361e-18,0,0,-0.107375813294847,0,0,0,0,-0.0628106575418961,0,0,-0.308805052410744,0,0,0.0676111701126314,0,0,0,0,0,0,0,0,0,0,0,0.519431033806981,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290460047020125,0,0.0351687840387673,0,0,0,0,0,0.100970542808728,0,0,0,0,0,0,0,-0.0650978692709507,-0.0639039625603015,0,0,0,0.0295279778093748,0.103310794323878,0.352103850005263,0,0.108470947429638,0,0,-0.0306573359068576,0,0,0.103656448507578,0,0,0,0,0
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,-0.0717449819852628,0,0,0,0,0,0,0.436873463984195,0,0,0.0571452649867544,0,0,0,0,0,0,-0.122104005360254,0,0,0,0,0.0316750136549526,0,0.0872621627761007,0.0209586234719439,0.0448649849548887,0,0,0,0,-0.163430822087944,0.191652625633263,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.102739710220933,0,0,0,0,0,0,0,0,-0.273152103333232,0,0,0,0,0,0,0,0.0401627180244655,0,0,0,0,0,0,0,0.0616879339150408,0,0.461870429629751,0,0,0.449058903053838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,-0.0305547907988299,0,0,0,0,0,0,0,0.0312590690884416,0,0,0,0,0,0,0,0.0663311083825078,0,0,0.437298674358824,0,0,0,0,0,0,0,0,0,0,-0.0214701335816727,0,0,0.238316723410379,0,0,0.136230252343025,0,-0.0387595265071586,0,0,0,0,0,0,-0.0517835179245431,-0.0487941166870268,0.032362824536257
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,-0.11634690193737,0,0,0,0,0,0,0,0,0.047857006378579,-0.110615913263442,0,0,0,0,0,0,-0.120926228934973,0,0,-0.0310253183037559,0,0,0.156859498497883,0,0.211157131885111,0,0,0.0983248711295137,0,0.8760690985919,0,0.0814390902793292,0,0,0,0,0,0,-0.144498735031518,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146344201171343,0,0,0,0,0,0,0.00696993740844166,0,0,0,0,0.0875585927814116,0,0.337386546181146,0,0,0,0,0,0.13918083025708,0,0,0,0,0,0,0,0.150984730481773,0,0,0,0,0,0,0,0.0478836176983828
X1997.HK.EQUITY,0,0,0,0.265448157044449,0,0,-0.0540491203132301,0,0,0,0.169331556236954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0723440166602654,0,0,0,-0.106582386288737,0,0,0,0,-0.0165347032765301,0,-0.0795272463578467,0,0,0,0,0,0.219447281685626,0,-0.426471685247195,0,0.326346988779338,0,0,0
