,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY
X601398.CH.EQUITY,0,0.475543368747023,0.118169661941229,0.1228830298414,0,0,0,0,0,-0.0920706537558385,0,0,0,-0.0328306768387974,0,0,0,0,0,0,0,0,-0.0357832178005215,0,0,0,0,0.00105782909298121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096691437455458,0.120873546803018
X601939.CH.EQUITY,0.202065332622129,0,0,0.296706527544132,0,0,0,0,-0.0461923551519784,0,0.0857363044188616,0,0,0.152626421116085,-0.114095336394464,0,0,0,0,0,0,0,0,0.211525726249408,0,-0.0423179121593174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024214545389863,0,0,0,0.142321498321943,0
X601318.CH.EQUITY,0,0,0,0,0.304738784913059,0.0831699950297301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18194567148926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760916599528725,0.10838344611901,0,0,0.0119512319558201,0.14347595220323,0,0,0,0,0
X601288.CH.EQUITY,0.377088239541644,0,0,0,0.214146922520939,0,0,0,0,0,0,0,0,0.146973491988582,0,0,0,0,-8.67361737988404e-19,0.09141795882907,0.0343072355597172,0,0,0,0,0,0,0,0,0,0,0,0.0843623678801301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0331991152529762,0.562161374232794,0,0,0,0,0,0.269318650150144,0,0,0,0,0,0.0954654207857499,0.0939853558945521,0,0,0,0.0276102165270409,0,0,0,0,0,0.092214430185217,0,0,0,0,0,0,0,0,-0.541379171422396,0,0,0,0,0,0,0,0.159412165109462,0,-0.0817974513364739,-0.0972540243712169,0,0,0
X600036.CH.EQUITY,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.167119598242896,-0.0282212948881834,0,0,0,0.184705405540726,0,0,0.0429704429241603,0,0.149371461330283,0.0272628166084971,0,0,0.0138690686985877,0,0,0,0,0,0.293894423448955,0,0,0,0,0,0,0,0.130702431761815,0.0204271655925447,0.0279061550627075,0,0,0,0.0827470741022612,0,6.93889390390723e-18,0,0
X1299.HK.EQUITY,0,0,0,0,0.0353274637990035,0,0,0,0,0,0.0348059942085523,0,0,0.187237677459013,0,0,0.0341611579678379,0.502058871753143,0,0,0,0,0.115532140046205,0,0,0,0,0,0,0.0173688250888219,0,0,0,0,0,0,0,0,0,0.0849995296044106,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0166288488501793,0,0,0,0,0,0,0,0,0,0,0,0,-0.154614414600871,0,-0.163334421343325,0,0,0,0,0,0.466000147957741,0,-0.244715629728107,0,0,0.79430369642003,0,0,0,0,0,0,0,0,0,0.37268390201699,0,6.93889390390723e-18,0,0,0,0,-0.271110748666075,0,0,0.0214175579506226,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0304959918548251,0,0,0,0,0,0,-0.170286951138311,0,0,0,0,0,0,0,0,0.246514312982011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325666944787752,0,0,0,0,0,0.216019904282597,0.111733309106124,0
X601658.CH.Equity,0,0,0,0.150350557409314,0.147170719057846,0,0,0,0,0,0,0,0,0.128482257721613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168878020963492,0,0,0,0,0,0,0,0,0.214402316107275,0,0,0,0,0,0,0,0,0,0,0.334551071800293,0
