,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.45532331252584,0,0.0796977261312238,0.119414503472022,0.0449204075410632,0.0822014443205972,0,0,0,0,0,0.0316681750284035,-0.0195161322253925,0,0,0,0.0641326861361441,0.015975834195134,0,0,0,0,0,0,0.0907168582929413,0,0,0,0,0,0,0,0,0,0,0,0,0.013179042644295,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.181420177528903,0,0,0.256726582757611,0,0.340957437484509,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0757068664671288,0,0,0,0,0,0.119019835128963,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.0860142702827651,0,-1.38777878078145e-17,0,0,0,0,0.00711072975982909,0.0591621603127143,0,0,0,0,0,0,0,0.114063940667684,0.0256168041404635,0,0,0,0,0,0,0,0,0,0,0,0,0.0887726838482587,0,0.167777707191176,0.0316731291877221,0,0,0,0.109687908175426,0,0,0,0,0,0,0.219715183603998,0,0,0
X601288.CH.EQUITY,0.217324951753066,0.0754163087003755,0,0,-0.0155248330590882,0.0162590024803257,0,0,0,0.156017842536087,0,0,0,0,0,0,0,0.118906623031267,0,0,0,0,0,0,0.00647426049192742,0.270851773763322,0,0.0731254760002039,0,0.0687933855406369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.391607653155476,0,0.231402440215842,0,0,0,0,0,0,0.53561567246605,0,-0.364903443988984,-0.266731000117316,0,0,0.118780180759626,0,0,0,0.097640744468722,0,0,0,0,0.158954193822866,0,-0.13898995461619,0,0.473923416862155,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.611421449384935,0,0,0,-0.095591866787467
X601988.CH.EQUITY,0.110841045974193,0.116249843000593,0,0,0.0466648798879594,0,0,0,0.180169999052234,0,0,0.105931151372479,0.0597199065077899,0,0,0,0,0.100871496187293,0,0,0,0,0.406239821948658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0136608128995126,0,0,0,0,-0.00215707149904322,0,0,0,0,0.0477073727737909,0,0,0,0,0,0,0.731060088695915,0,0,0,0.139067216048739,0.00315994353095007,0,0,0,0,0,0,0,0,0,-0.00173547053739587,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.264924340361929,0,0,-0.158327747033182,0,0,0.1169682995968,0,0.0713022984414568,0,0,0,-0.130086027850675,0,0.26700442397926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053278028650794,0,0,0,0,0,0,0,0.0102601782013561,0,0,0,0.279815460938394
X601628.CH.EQUITY,0,0,0.147176927155861,0.0772273200387826,0,0,0,0,0,0,0.0574405246249982,0,0,0,0,0,0.0728693690873532,0.0969059409398612,0,0,0,0,0,0,0,0.0762584307141227,0,0,0,0,0,0,0,0.0335529725832398,0,0.230312660973416,0,0,0,0,0,0,0.117092176590426,0,-0.0399366273484961,0.0884078429869827,0,0,0
X601328.CH.EQUITY,0,0,0.0665075408190018,0,0.000898050821985752,0,0.0468393287505881,0.00578562225706727,0,0,0,0.11605500241925,0,0,0,0,0,0,0,0,0.0128730706040384,0.200603797044891,0,0,0,0,0,0,0,0,0,0.150601942725549,0,0,0,0,0,0,0.170691128759182,0.267137747586415,0,0,0,0,0,0,0,0,0
