,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY
X601398.CH.EQUITY,0,0,0.225545913743995,0,0,0.34143427467171,0,0,0,0,0,0.248452392119131,0,0,0,0,0,0,-0.0598469178967437,0,0,0,0,0,0,0,0,0,0,-0.0463175658407015,0,1.73472347597681e-18,-0.133266981456286,-0.0258342695107346,0.0936627556183388,0,0,0,0.0417850626752325,0,0.104509276270147,0,0,0,0,-0.124878881718536,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.143739726447779,0,0,0,0.0198644357184515,0,0,0.20374550321496,0.023970488496696,0.0039601586784473,0,0,0,0,0,0,0.0704232938746128,0,0,0,0,0,0.0590569866150704,0,0,0,0,0,-0.0336065090562971,0,0,0,0,0.551021577812222,-0.0792974169752587,0.00840840119230457,0,0,0,0.060709228061443,0,0,0
X601939.CH.EQUITY,0.199232940522035,0,0,0,0,0,0,0,0,0.00654760641312775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.425902019810663,0,0,0,0,0,0,0,0.112309811578497,0,-0.0494183463637155,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.0290991384150971,0,0,0,0.0116770266660319,0,0,0,0.0953272251714328,0,0,0,0,0,0,0,0,0.375832104211491,0,0,0,0,0.0505476526480788,0,0,0,0,0,-0.0653393912904158,0,0,0,0,0,0,0.225288204284205,0,0,0,0,0,0,0,0.0783957135099712,0
X5.HK.EQUITY,0,-0.0243619652558238,0,0.10875225105848,0,0,0,0,0,0.0135529606394082,0,0,0,0,0.239816705897042,0,0,0,0,0,0.150494012503113,0,-0.0272162668558446,0.551332112088494,0,-0.0819411136303649,0,0,-0.28428571990243,0,0.14587876575634,0,-0.0314084760861048,0,0,0,0,0,0,0,0,0.0604699788917296,0,0,0,0,0,-0.255172842491392,-0.104003041876027
X601988.CH.EQUITY,0.153864819566776,0,0,0.362767633126613,0,0,0,0,0,0.103869307573597,0,-0.0192266429678934,0.0186890770043993,0,-0.0387075014728427,0,0,0,0,0,0,0.320876267841423,-0.138940559752096,0,0.0345966214916337,0,-0.0510660039828172,0.188546600165443,0,0,0,-0.0105829307010168,0,0,0,0.0566178341179934,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0.0860029712394431,0
X600036.CH.EQUITY,0,0.614288442425266,0.0761501791011932,0.0389443025035592,0,0,0,0,-0.265727190403595,0,0,0,-0.0899466435328993,0,0,0,0,-0.217996539140144,0,0,0,0,0,0,0,0.078300480114467,0,0,0,0,0.351091779480307,0,-0.0323622414439391,0,0,0,0,0,0,0.0674350392241391,0,0.213597461415528,0,0,0,0,0.111184955693456,0,0
X1299.HK.EQUITY,0,0.115285998620964,0,0,0,0,3.46944695195361e-18,0,0,-0.140394945277842,0,0,0,-0.0767388135319589,0.0216571458584325,0,0,0.26712727749485,0.237358783656492,0.163753991498462,0,-0.0815110114545076,0.125424237312811,0,0,0.0932963161408019,0,0,0,0,0,0,0,0,0,0.131744945180153,0,0,-0.125040614491178,0,0,0,0,0,0,0,0,0.0783436544874243,0
X601628.CH.EQUITY,0,0.130118053526435,0,0,0,0,0,0,0,0.0431117166474116,0,0,0,0,0,0.24044690072622,0,0,0,0.0481340598597746,0,0,0.154995638552219,0,0,0,0,0,-0.0302813251683919,0,0,0,0,0,0,0,0,0.214547281763058,0,0.113507641015402,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.329162782938129,0.21342730156839,0,0.0512789703708813,0,0,0,0,0,0,0.630466702237445,0,0,0,0,0,0,-0.530206091384824,0,0,0,0,0.235844847997495,0,0,0,0,0,0.327132145426286,0,0.304016414798258,0,0,0,0,0,-0.131320040718355,0,-0.155503399161624,0,0,0,0,-0.128765629576274
X601328.CH.EQUITY,0,0.00251844156192234,0.0366522940696792,0.214352821951474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208318119170931,0.11282610415856,0,0.143118810166984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.132003393497534,0.11582769982957,0,0,0,0.058215987148853,0.134830233088306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.26645624086639,0,0,0,0,0,0,0,0,0,0.0751665817421813,0,0,0.0937319777886175,0,-0.0474382888887307,-1.35525271560688e-20,0,0,0,0,0.0977124209513035,0,0
