,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X267.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X601577.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X601398.CH.EQUITY,0,0,0.0634065417124893,0,-0.0901453008119939,0.249219638253072,0.739804745839568,0,0,0,0,0.249845238079309,0.0222600772537996,0,0,0,0,0,0,0,0.0155339829938061,-0.033222340011711,-0.226839407796617,0,0,0,0,0,0,0,0,0,0,-0.0821491318181673,-0.020109587502246,0,0,0,0,-0.0733585909435502,0,0,0,0.0979145347010923,0,-0.0443079046655979,0,0,0,0
X601939.CH.EQUITY,0.0870815547989903,0,0,0.000494072028961245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131167059814398,0.849807478197071,-0.0572603304699221,0,0,0,-0.0851124276595094,0,0,0,0,-0.044225928957327,0,0,0,0,0,0,0,0,0,-0.0148469957359673,0.015764330200107,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0.385715038562401,-0.0863609265646681,0.0535886429342391,0,0,0,0,0.0102746729947546,0,0,0,0,0,0,0,0.455162642279958,0,0,0,0,0,0,0,0,-0.0178722452568509,0.018585829911775,0,0,0,0,0,0,0,0,0.0756320659625104,0.0312030834942351,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.158581489379955,0,0,0.0424780884660814,0,0,0,0,0,0,0.0218011475056761,0,0,3.46944695195361e-18,0,0,0.823732205830716,0,0,0,0,0.0206469075367686,0,0,0,0.0351423380163001,4.33680868994202e-19,0,0,0,-0.0881529220714568,0,0,-0.0486289194694606,0,0,0,0.0251155822562452,0,0,0,-0.0190262419078917,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0403554033277864,0.014101582851958,0,0,0,0,0,0.0228522355616176,0,0,0,0,-0.104991749601754,0,0,0,0,0,0.488170386218961,0,0,0.222866201739689,0,0,0,0,0.07605199038304,0,0,0,0.0616649226259577,-0.116881868895501,0,0,0,0,0,0,-0.124788504487442,0,0,0,0,0.0616438190379917,0.186923748107566,0,0,0,0.0296375529662275
X601658.CH.Equity,0.234347320191798,0,0,0,0,0,0.161569735710415,0,0.0162055047673912,-0.0915974908465159,-2.16840434497101e-19,0,0,0,0,0,0.453245316303266,0,0,0,0,0,0,0.0712180789841456,0,0,0,0,0,0,0,0.0630208840579528,0,0,0,0,0.0190486951648241,0,0.128998830266006,0,0.222987926956545,-0.193707523064493,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.912448096738573,0,-0.14982065121018,0,0,0.0520544273993838,0,0,0,0,0,0,0,0,0,-0.0111933696419317,0.307464448975528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0955649694789279,0,0,0,0.0555073782307689,0.00274403827007721,0,0,0,0.0619704562309616,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.206410542509885,0,0,0,0,0,0.24087505435129,0,0.00919189010636526,0,0,0,0,0,0,0,0,0,0.17597991548397,0.0930499638786317,0,0,0,0,0,0.104832554701275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.107212933886266,0,0.257832891922629,0,0,0,0,0,0,0,0,0,0,0.333930032370508,0,0.0325207997123286,0,0,0,0,0,0.0690390956780178,0,0,0,0,0,0,0,0,0,0,0,0.0504484833519236,0,0,0,0,0.0605956839848208,0.0442785346056558,0,0,0,0,0.00698309496624732,0,0
X267.HK.EQUITY,0,0,0,-0.0834127335522728,0,0,0,0,0,0,1.05169558435779,0,0,0,0.00123586683571287,0,0,0,0,0,0,0,0,-0.113591252659902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140710240616109,-0.147190390651991,0,0,0,0,0,0.113621473275311
