,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X601818.CH.EQUITY,0.0348590393216362,0.0123591011009779,0,0,0,0,0,0,0,0,0,0.133054132521375,0.055646152511785,0.37914318968948,0,0,0,0.052950988683118,0,0,0,0,0.035997918485111,0,0.312257540644937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673832281460423,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0332916259327153,0,0,0,0,0,0,0.197885687571713,0,0,0,0,0,0.0806813418016702,0,0,0,0,0,0.0225378704779667,0,0,0.00396324766327568,0,0,0,0,0,0,0,0,0.0826766620695557,0.292962963430999,0,0,0,0,0,0,0,0,0,0,0,0,0.0967520586450096,0
X000001.CH.EQUITY,0.196272935967769,0,0,0.0398293424198834,0,0,0,0,0.0782046239366574,0,0,0,0,0,0.0420197997971965,0.0749608461227997,0,0,0.128279866480477,0,0,0,0.0397639181455044,0,0,0.0535597542362239,0,0,0.0035475525854725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0.2443162325393,0,0,0,0,0,0,0,0,0,0.113049286551322,0.26463187313316,0,0,0,0,0,0,0,0,0.00368618366158706,0,0,0,0,0,0,0,0,0,0,0,0.163533851102031,0,0,0,0,0,0,0.132432884877876,0,0,0,0.0178897992487456,0,0,0
X601169.CH.EQUITY,0,0.0585923302002066,0.229038459888468,0.0780000313363312,0,0,0,0,0,0.0943811695218403,0,0,0.023902808467134,0,0,0,0,0,0,0,0.0956020662510935,0,0,0,0,0,0,0,0,0,0,0,0,0.250390614898581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203063178799035
X2388.HK.EQUITY,0,0.332994770993862,0,0,0.186220919413414,0.136874384721945,0,0,0,0.176421889753612,0,0,0.0760887610481715,0,0,0,0,0,0,0,0,0,0.0292610100879747,0,0,0,0,0,0,0,0.100094321606889,0,0,0,0,0,-0.137497986204114,-0.00463531696669187,0,0,0,0,0,0,0,0,-0.233384645789774,0,0,0
X600919.CH.EQUITY,0,0,0,0,0,0.303792609945065,0,0,0,0,0,-0.00185181026012784,0,0,0,0,0,0,0.165607946185602,0,0,0,-0.0221367251293827,0,0,0,0,0.277153356899313,0,0.0316801262140049,-0.0532361039562813,-0.022897072918815,0,0,-2.16840434497101e-19,0,0,0.0345916399561816,0,0.242345941584128,0.0502942470485937,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0.0987002279165596,0,0,0,0,0,0,0,0,0,0.0566512786017441,0.0243074301625591,0,0,0,0,0.0918964368040922,0,0,0,0,0,0,0,0.0945984462711202,0.43738390219962,0,0.00453763519832983,0,-0.0201193209204689,0,0,0,0,0,0,0,-0.0385673312406899,0,-0.174590788015882,0,0,0.128981841487426,0,0,0,0,0,0,0.129114854148338
X1299.HK.EQUITY,0,0,0,0,0,0,0,-6.93889390390723e-18,1.38777878078145e-17,0,0,0,0,-0.00725903571884469,0,0.036981957468005,0.0592113482684891,0,0,0.243501910780561,0,0,0,0.0424986195074886,0,0,0.0458573324583447,0,0,0,0,0,0,0,0,0.170374557634312,0,0,0,0,0,0.0286764454469332,0,0,0,0.25606819601883,0,0,0.168563436501947,0
X002142.CH.EQUITY,0,0,0,0,0,0.208759158338302,0,0,0.240011509535512,0,0,-0.046475449903081,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.0875701078005707,0,0.107355848872922,0,0,0,0,0,0,0,0,0,0,0,-0.0981585143427254,0,0,0.168352451595142,-0.0460321625605146,0,0,0,0,0,0,0,0,0
