,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0.279471054472221,0,0.257485043645828,0,0,0,0,0.0595764652725267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890853499876326,0,0,0,0,0,0,0,0,0,0.00288438730697631,0,0,0,0.0836001442251892,0,0.083324012673809,0,0,0
X601318.CH.EQUITY,0.118976962527232,0,0,0,0,0,0,0,0.182634392035483,0,0,0,0,0,0,0,0.165495754892695,0,0,0,0,0,0,0,0.0752187512438862,0,0,0,0,0,-0.0516990059304147,0.153122575675322,0,0,0.148600440771385,0,-8.67361737988404e-19,0,0,0,0.0457796114638469,0,0,0.027781981204331,0,0,0.0551800958899158,0,0.135259187629652,0
X601939.CH.EQUITY,0.219537115167538,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.018939514610707,0.265527200697431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423684167981693,0,0.199800566864443,0,0,0,0,0,0,0,0,0.182112787845997,0,0,0,0.0410451944235886,0,0,0,0
X601288.CH.EQUITY,0.287433429920664,0,0.0917910805065971,0,0,0.274388351844348,0,0,0,0,0,0,0,0,0.0533878453232569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175820307896279,0,0,0,0,0,0,0.113314930822309,0
X5.HK.EQUITY,0.124041257293653,0,0,0,0,0,0,-0.121939578972282,0,0,0,0,0,0,0,0,0,0,0.413709984096539,0,0.173583629825907,0,0,0,0,-0.0158562690940899,0,0,0,0,0.476307053857372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.155275054321413,0,0
X601988.CH.EQUITY,0.445099824304573,0,3.46944695195361e-18,0,0,0,0,0,0.0138015197727956,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.0701475369404573,0,0,0,0.0258367400903664,0,0,0,0,0,0,0,0,0,0.16084148536786,0,0.0235038784930686,0,0,0,0,0,0,0,0,0,0,0,0,0.241655753777396,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.242473746538765,-0.0762510122520944,0,0.0660537265844976,0,0,0.0515476765323564,0,0,0.453851114840328,0,0,0,0,0,0,0,0,0,0,0.0370003165086481,0,0,0.0317795798006359,0,0,0.0812248282465123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207747189633747
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0735857011412888,0,0,0,0.41377671965118,0,0,0,0.115532759494525,0,0.0512237165822423,0,0,0,0,0,0,-0.0336943648498864,0.397767991416073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.219689198620069,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0249905647623287,0,0,0,0,0,0,0,-0.0797757086661397,0,0.0187149868605301,0,0.199302821172708,0,0,0,0,0,0.254502554187618,0,0,0,0,0,0.0567265696134867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821029848715807,0
X601658.CH.Equity,0,0,0,0,0,0,-0.105420238818756,0,0,0,0.275255791904967,-0.265810986941685,0,0.208239380938902,-0.258631501536357,0,0,0,0,0,0,0,0.527307915606985,0,0,0,0,0,0,0,0.0585570798020862,0,0,0,0,0,0,0,-0.0672820799362136,0,-1.07979837129216,0,0,0,1.34479130656786,-0.183105684210027,0,0,0,0
