,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X600999.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0409735293134066,0,0,0,0,0,0,0,0,0,0,0,0,0.542295803000978,0.675732497575999,0,-0.112199405651627,0,0.00655779939371152,0,0,-0.199954026563292,0,0.244774113147943,0,0,0,0,-0.0116758400002361,0,-0.0574355199370074,-0.311982850794804,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.185295178893734,0,0,0,0,0,0,0,0.0934507717412558,0,0,0,0,0.203740076190918,0,0,0,0,0,0,0,0,0.0880836063654965,0.0495349307855067,0,0,0,0,0,0,0.208961790990673,0,0,0,0,0,0,0,0,0,0.0314794677704591,0,0,0
X601939.CH.EQUITY,0,0,0,0.815027529177351,0.0210153462302492,0.0101501932413986,0.0158503156145473,0,0,0,0,0,0,0,0,0,0,0,0.0588977028605348,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0.0351008016597016,0.0395871392137533,0,0,0,0,0,0,0,0,0,0,0.059042574280802,0,0,0,0,0.0269934948705285,0
X601288.CH.EQUITY,0,0,0.857176042610549,0,0,-0.0970630070233607,0,0,0,0,0,0,0,0.0167976939968855,0,0.0309714552328555,0.0701330814630389,0.14720397372117,0,0,0,0,0,0,0,0,0.0198077951276214,-0.0495241579726553,0,0,0,0,0,0,0,0,0,0,0,-0.169014345147237,0,0,0,0,0,0,0,0,0,-0.00504024369050278
X601988.CH.EQUITY,0,-0.0394938143614923,0,0,0,-0.0870423600481811,0,0,0,0,0,-0.053829579299808,0.88604246972412,0,0,-0.0317981603038214,0,-0.211120950518648,0,-0.0907195471406292,0,0,0,0.336821106588703,0,0,0,0,0,0,0,0,-0.0445293629602682,0,0,0,0,0,0,0,-0.0949671647188554,0,0.0687397668061658,-0.0688789694758316,0,0,0.283239171170966,0,0,-3.46944695195361e-18
X601628.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,-0.0518119161097581,0.797818320085362,0,0,0,0,0,0,0,0,0,0.117058875540206,0,0,0,0,0,0,0,0,-0.0658655099263168,0,0,0,0,0.0307691552401336,0.227900784635073,0,0,0,-0.083174460125811,0,-0.00803611476374715,0.206507804093728,-0.128164129993243,0.0246073724205668,0,0,0.0952776963465496,0
X600036.CH.EQUITY,0,0,0.39122351155159,0,0,0,0,0,0.0135432814884162,0,0,0,0,0,0,0.132520940443345,0,0,0,0,0,0,0,0,0,0,0.182578517293602,0,0.00571542810383731,0,0,0,0.181146570027074,0,0,0,0,0,0,0,0,0,0,0,0.0258094964386806,0.0115392397364654,0,0,0,0.0100414291251485
X1299.HK.EQUITY,0,0.160714227057158,0,0,0,0.0858223155438902,0,0,0,0.248712937507035,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156729187981243,0,0,0.307572029619969,0,0.167122035011659,0.0200313247485023,0.132272494414329,0,0,0,0.0313458540891255,0,0,0,0,0,0,0.190407778195677,0,0,-0.138968467507234,0,0,0,0.130444090220526,0.0702452407752496
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.409364327948504,0,0,0,0.361749512362601,0,0,0,0,0,0.0852421441569176,0,0.309442381558914,0,0.278205868480048,0.0685774135018865,0,0.113485496753567,0,0,0,0,0,0,0,0,-0.149073799870367,0,0,0,0.0625050930819151,-0.199476758735211,0.0618900796644433,-0.0278233011213855,0,0,0,0.00115453873920784
X388.HK.EQUITY,0,0,0,0,0,0.216995425812857,0,0,0,0,0,0,0,0,0,0,0,0,-0.212708028271463,0,0,0,0,0,0,0.0662570400701111,0,0.348280374587141,0,0.118294673982776,0.0237137099435643,0,0,0,0,0,0,0,0,0,0,0,0,0.164382151106596,0,0.0418764438303598,0,0,0.0604888500333763,-0.255041222866225
