,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601066.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity
X601398.CH.EQUITY,0,0.452353119149514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0190057457968071,0,0,0,0,0,0,0,0,0,0.395793288277377,0,0,0.154585750976917,0,0,0,0.0867313405846658,-0.149301651817415,0,0,0,0,0,0,0,0,0,0,-0.105619065805818,0.0898627975933464,0,-1.38777878078145e-17,0
X601939.CH.EQUITY,0.17891994605267,0,0,0.299629241901179,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.2340733460126,-0.0657290921450465,0,0,0,0,0,-0.0259567591824139,0.129525614526344,0,0,0,0.295682173980593,0,0,-0.0826950140817469,0,-0.142964046826434,0,0,0,0,0,0,0,-0.00112115567908767,0,0,0,-0.0465611662426024,-0.0384483179621872,0.0284968510347238,0,0,0,0.106614415032288,0
X601318.CH.EQUITY,0.0160048537769101,0,0,0,0.232707529010337,0,0,0,0,0,0,0,0.110460575396667,0,0,0,0,0,4.33680868994202e-19,0.0864214433461399,0,0,0,0,0.112137434315241,0,0,0,0,0,0,0,0,0,0,0.163787401758874,0,0,0,0.0953302674372722,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.236449883944393,0.0472672626357195,0,0.403136348596947,0,0,0,0,0,0.158398050627078,0,0.0975583062642216,0,0,-0.0196119298383382,0.0829750367310371,0,0,0,0,0.0144623034523349,0,0,0,0,0,0,0,0.0522748286887551,0,0,-0.0456094549041083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0381610492132358,-0.072331480133606
X601988.CH.EQUITY,0,0.216930633188107,0,0.33688657574833,0,0,0,0,0,0.247027121852921,0,0,0,0,0,0.31926505060775,0,0,0.067490737530508,0.0480734304166289,0.0485345228040912,0,0,0,0,0,0,0.0458222429547763,0,0,0,0,0,0,0,0,0,0,-0.564150165249898,0,0,0,0.0492494096877167,0,0,0,0,0,0,0.169369927444533
X600036.CH.EQUITY,0,0.15786701131596,0.0170597805506958,0,0,0,0,0.0278577169827354,0,0,0,0,0.0638415057992187,0,0,0,0,0,0.0990336919947812,0,0,0,0,0,0.235915413562607,0,0,0,0,0,0,0,0,0.377404702931768,0,0,0,0,0,0,0.0676576261441112,0,0,0,0,0,0,0.0792909808366692,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0208198604985034,0,0.120935025192079,0,0,0.0765977513879229,0,6.93889390390723e-18,0.293967218406804,0,0,0,0,0,0,0.0257859478273496,0,0,0,0,0,0,0.0325718832675948,0,0,0,0,0,6.93889390390723e-18,0,0,0.340556457120709,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0830435667738017,0,0,0,0,0,-0.0938495429053668,0,0,0,0,0.0436970628158174,0,0,0,0,0,0.397241158850045,0,0.207691331141007,0,0,0,0,0,0.0026289958626716,0,0,0,0,0,0,0,0,0,0.0461420883894101,0,0,0,0,0,0,0,0.284512633163932,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132833805445335,0,-0.135325213316055,0,-0.0101557159685864,0,0,0,-0.395458528134153,0.807364362198001,0,0,0.574298230576194,0,0,0.195024037713288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109315882056081,0,0,0,0
X601658.CH.Equity,0,0.0263285266009429,0,0.0388859610097749,0.0963640148342899,0,0,0,0,0,0,-0.0345936189686913,0,0.0548641304902319,0,0,0,0,0.140854880967372,0.233544476825325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333189071168548,0,0.134111239346667,-0.159238531793012,0,0,-0.134202029892906,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.272650530168457,0.211544328294704,0,0,0,0,0,0,-0.0392990313233316,0,0,0.0562342470889374,-1.38777878078145e-17,0.0187361563402298,0.119654832128745,0,0,0,0,0,0.0328140557972367,0.0567590792092396,0,0,-0.0354148451963957,0,0,0,0,0.125701078393036,0.0968271607262284,0.0502680216155317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
