,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.481464091091595,0.0956924823501838,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0588252412024675,0,0.0875088849235874,0,0,-0.148557296643133,0,0,0,0,0,0,0.00374526036634471,0,0,0.0284395249535921,0,0,0,0,0,0.045564676732303,0,0,0,0,0,0,0,0,0,0,0,0.0797821537228894,0.185237987922098,0.0390689093014087
X601318.CH.EQUITY,0,0,0,0,0.189439757016692,-0.0102292285815777,0,0,0.150251043407983,0,0,0,0,0,0.0739057920813983,0,0.132886364974778,0.194248745608736,0,0,0,0,0,0,0,0,0,0,0,-0.0981996773048327,0.10343474305903,0,0,0,0.0575256902220516,0,0.141121019961412,0,0,0,0,0,0,0,0,0,0,0,0.0782041483833332,0
X601939.CH.EQUITY,0.258097324955855,0,0,0,0,0,0,0,0,0,0,0.162585644383255,0,0.365629760275137,0,0,0,0,0.079347739572072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211942638648544,0.0619513016397924,0,0,0,0.0161708093948339,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.339450274118218,0,0.0229041547006415,0,0.495863748422526,0,0,0,0,0,0,0.00431748557002279,0,0,0.0322852888408492,0,-8.67361737988404e-19,-0.0236551280311863,0,0,0,0,0,0.00963115044275039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.10431205931003,0
X601988.CH.EQUITY,0.0902394726894205,0.0577500806598697,0,0,0,0,0,0,0,0,0.239399336646033,0,0,0,0,0,0.119745454711752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102404900437655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875692862305171,0,0,0,0.240168589592926
X5.HK.EQUITY,0,0,0,0,-0.0698163833285043,0,0,0,0,0.0410192452089351,0,0,0.433869562931657,0,0.134998690044661,0,-0.126706130381432,0,0,0.654821429843348,0.253161313039331,0,0,0.821374290131994,0,-0.611443560315713,0,0,0,0,0,0,0.204240580004093,0,0,0,0,0,0,0,0,0,0.0724124363753164,0,0,0,0,0,0,0
X600036.CH.EQUITY,-1.73472347597681e-18,0,0,0.0607497906706624,0,0,0,0.0919270341683852,0,0,0,0,0,0,0,0,0.13540555070172,0,0.123025005704983,0,0,0,0,0,0,0,0.0550390185571249,0,0,0,0.190629603971295,0,0.229450124882709,0,0,0,0.0414195517331561,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120806414479622,0.0260982776986178,0,0,0,0.089426532424681,0,0.0835262689633998,0,-2.77555756156289e-17,0,0,0,0,0.0710114129978172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308886866940257,0
X601628.CH.EQUITY,1.73472347597681e-18,0,0.109797381378638,4.33680868994202e-19,0.368026891052276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273251397412696,0,0.140067207465306,0,0,0,0,0,0,0,0.149440257967587,0,0,0,0,0,0.0334046871942111,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.239451281518601,0,0,0,0,0,0.184484201288167,0,-0.0247081132758665,0,0,0,0,0,0,0,0.127170139084545,0,0,0,0,0,0,0.139187562194634,0,0,-0.086783574000758,0,0,0,0,0,-0.102811801453767,0,0.790410208929209,0,0,0,0,0,0.298494291411124,0,-0.258393709412136,0
X601328.CH.EQUITY,0,0.00261166044744928,0.0389943898615348,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.351728779077679,0.052086588238603,0,0,0,0,0,0,0,0.253942109214501,0.0121844551615205,0.114421593871654,0,0,0.0476942791015837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273374377719316,0,0,0.107608778023957,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.154109116189831,0,0,0.248625047099914,0,0,0,0,0,0,0.174101653737406,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297187863874651,0,0,0,0.0325812642963136,0,0,0,0.117354527791183,0,0,0,0,0,0,0,0,0,0,0
