,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X601916.CH.Equity,X2891.TT.EQUITY
X601398.CH.EQUITY,0,0,0.0138989250899798,0.0837045316706219,0,0,0,0,0,0,0.27710071777839,0.123281826032172,0,0,0,-0.167398766184799,0,0,0,0.0843635111119948,0,0,0,0,0,0,0,0.0487193914439812,0,0,0,0.0367256062693863,0,0.0545347729705777,0,0,0,0,0,0,0,0.257393694745589,0,0,0,0.042563343375995,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0279237301526408,-1.38777878078145e-17,0,0.244946144401253,0,0,0.275509583066559,0,0,0,0.0752866637784762,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.115238812290099,0,0,0,0,-0.251835466882998,0.107855040900875,0,0,0.179111431259873,0,0,0,0,0,0.088974736885086
X601939.CH.EQUITY,0.468770743202774,0,0,0,0,0.189653381774412,0,0,0,0,0,0,0,0.049336819218921,0,0,0,0,0.0090794408068732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372475491022636,0,-0.125522356786731,0,0.0512416201466434,0,0,-0.0393960867934921,0,0,0
X601288.CH.EQUITY,0.579255880017419,0.058468289591325,0.063134913987315,0,0.0711612376481007,0.0813141426858037,0,0,0,0,0,0,0.0371274560977684,-0.0217218746713001,3.46944695195361e-18,0,0,0,0,-0.0168576167251383,0,0,0,0,0,0.0501392933798402,0,0,0,0,0,0,0.0817730135462827,0,0,0,0,0.135302799576267,0.175988449104532,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0397229381648853,0.199686848134747,0.0808641618155771,0,0,0,-0.160040164444533,0,0,0,0.228833768293373,0,0,0,0,0,0.594557797194435,0,-0.0270035457007829,-0.149912170126395,0,0,0.118387518558065,0,-0.118917289866814,0,0,0,0,0,0,0,0,0,0.0440314732227445,0,0,0,0,0,0,0,0.0986066301105412,0,0.157980353954184,0,0,-0.0672366836645885
X601988.CH.EQUITY,0.0974463677304778,0,0.131734055414427,0.162536322039332,0,0,0,0,0.146510538607501,0.10293366513434,0.165058742395117,0,-0.347418606700619,0,0,0,0,0,0,0,0,0,0.179162885768724,0,0,0.0855586879906594,0,0,0,0,0,0,0,0.000699566315053684,0.0149109513754361,0,0,0,0,0,0,0,0,0,0.0192832819030427,0,0,0,0
X600036.CH.EQUITY,0,0.35977079165202,0,0,0,0,0,0,0,0,0,0.183991379948337,0,0.16157560758931,0,0.050785618648973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933593015712583,0,0,0.0138902648802175,0,0,0,0.0934151491327253,0,0,0,0,0,0.0389517992326894,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0682088655488006,0,0,0,0,0,0,0,0,0,0.223363464992591,0.296971355460442,0,0.215878936177338,0,0,0,0,0,0.0417374268844071,0,0,0.0358152583866661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.396131981429651,0.265749681915329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477514497396131,0,0,0,0,0,0,0,0,0,-0.24685006324156,0.0563862776824343,0,0,0,0,0,0,0,0.0101213597634252,0,0,0,0,0.223852044973887,0,0,-0.112912322188184
X601166.CH.EQUITY,0.232958592038375,0,0,0,0,0.106727387901133,0.432564877292668,0,0,0,0,0,0,0.0113573402370732,0,0.391120962937568,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0483800662526288,-0.131881569648949,0.0363465752655399,0,0,0,0,0.0375239647828767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0596557929496579,0,0,0.094836670518732,0.00673710524431084,0,0,0,0.0225802487888521,0,0.236774498067828,0,0,0,0,0,0,0.228791259775617,-0.118578053316929,0,0.0651571197721926,0.119747605993652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239540453108744,-0.0332088227797641,0,0.185362980440613,0,0.0846709518932924,0,0,0,0
