,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2883.TT.EQUITY,X601838.CH.EQUITY,X601688.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY,X601997.CH.EQUITY,X000166.CH.EQUITY,X2887.TT.EQUITY,X600048.CH.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.267237807731121,0,0.103253277501929,0,0.136871574012402,0.161897757141634,0,0,0,0,0,0,0.00214808781091802,0,0.288113193799534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609667295616486,0,0.0117544276719721,0,0,0,0,0,0,0,0.00672558180715108,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.296575904452233,0,0,0.0358949152306266,0.0756044499605425,0,0,0,0,0,0.192612877593928,0.224821137292914,0,0,0,0,0.0269591795759571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.259670021252607,0,0,0.204860651770877,0,0,0,0,0,0,0,0.163671424752478,0,0,0,0,0,0,0,0,0,0,0.107804746233952,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324048182476359,0,0,0,0,0.0125041641363958,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.388646960619389,0,0,0.160406778947101,0,-0.114941089639949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135000872486086,0.304439595773088,0,0,0,0,0,0,0.028188421503064,0,0,0.0415675430360503,0.0122589666709599,0,0,0,0,0.0423215723538821,0,0,0.173065726592391,0,-0.304879843734289,0
X601658.CH.Equity,0,0.0618563440882232,0,0,0,0,0,0.0482334974635617,0,0,0.0582760273494808,0,0.210639825869703,0,0,0,0,0,0,0,0,0,0,-0.0843000809565811,-0.0323050535727464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0478357795929091,0,0,0,0,-0.0484210799672206,-0.0623414630140077
X601328.CH.EQUITY,0.347690799348606,0,0,0.125736335666413,0,0,0,0,0,0.0734015631408972,0,0,0.122166828852654,0,0.174863864119585,0,0.0535392387252726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0392609586313049,0,0,0,0,0,0,0,0,0.118388550790298
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672733681950395,0,0.65235776837656,0,-0.0226098823419015,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.112267295066154,0,0,0,0,0,0,0,0,0.00461745681921796,0,-0.0897279302276824,0.0656694803207639,-0.016024465629116
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.191741285372849,0,0,0,0.313887665374964,0.198601956042157,0,0,0,0,0.0393303245119853,0,0.109762374818317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220304372511794,0,0,0,0,0.00916339172200266,-0.122509957619044,0,0.0606182346115449,0
X601166.CH.EQUITY,0.230130517408874,0,0,0,0,0.116526787870967,0,0,0,0,0,0,0,0.00753918575684058,0.196591494629653,0,0,0.0729219955649841,0,0,0,0,0,0.26370073900331,0,0,0,0,-0.0279683806194429,0,0.0215152560393157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,-0.346756092544983,0,0,0.494327719672979,0,0,0,0,0,0,0,0.0445963135437427,0,0,0,0,0,0,0,0,0,0,-0.140291207550003,0.162283961025474,0,0,0,0,0,0,0,0,0,-0.0499954336420922,0,0,0,0,0,0,0,0.303779424622064,-0.0970584769906265,0,0.252463773427407,0.174623926898843
