,X601398.CH.EQUITY,X601288.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X267.HK.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601998.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X600030.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X601577.CH.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X2801.TT.EQUITY
X601398.CH.EQUITY,0,0.0275167804490513,0.759147024244522,0,0.0780397948191665,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.198452675902665,0,0,0,0,-0.249976598430308,0,-0.187196337478756,0,0.00498494781998114,0,0.113629494593773,0,0,0,0,-0.0819237700166088,0,0.0192750056810585,0.0262533187644211,0,-0.0837024915607493,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0351179350931214,0,0.141680225754412,0.272883416719121,-0.0907669070726853,0,0,0,0,0,0,0,0,0,0,0,0.159493274155271,0,0,0,0,0,-0.293390156294144,0,0,0,-0.169880697020952,0,0,0,0,0,0,0,0,0,0,0.156027127455921,0,0,0,0,0,0,0,0,0,0,-0.0150098964528679,0
X601939.CH.EQUITY,0.307904387678308,0.283430604722898,0,0,0,0.0612840201532971,0,0,-1.73472347597681e-18,0,0,0,0,0.0134889666018338,0,0,0,0,0,0,0.0695789389132168,0,-0.0219572471863736,0,0,0,0,0,0,0,0,0,0,0.280589943969841,0,0,0.0192883843621271,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.0354181705311172
X601988.CH.EQUITY,0.2333401347646,0.0735049673617451,0,0,0,0.128085013228238,0.0396630576299615,0,0,0,0,0.202531194020155,0.0994886946115211,0,0,0,0,0,0,0,0,0,-0.225269794818365,0,0,0,0,0.0564866423578057,0.072877322227958,0,0.0507875719215359,0,0,0,0,0.0576436398089489,0.052921365641673,0,0,0,0,-0.0152950974283897,0.0446425122875824,0,0,0,0,0.0346783981231516,0,0
X5.HK.EQUITY,0,0,0,0,0,0.032496829675675,0,0,0.330102714025744,0,0,0,0,0,0.209376155778,-0.390762985506075,0,0,0,0,-0.117072881519849,0,0.0705103305232805,0,0.221861833616384,0,0,0,0,0.449767617930474,0.142594713862108,0,0,-0.0897896462388722,0,0,0,0,0,0,0,0,0,0,-0.135050558705532,0.261061540720457,0,0,0,0.0699165630074231
X601658.CH.Equity,0,-0.0579520530099569,0,0,0.0331799520445297,0,0,0,0,0.8491711513047,0,0,0,-0.0368754643978859,0,0.0199834759933563,0,0,0,0,0,0,-0.2247344689394,0.0780819156241541,0,0,0,0,0,0,0,0.110828081124697,0,-0.107403605061803,0,0,0,0.226557290166882,0,0.0322960918736176,0,0,0,0,0,0,0,0,0.063954322822589,0
X601328.CH.EQUITY,0.111381112593886,0.0645637090655759,0.192996757512377,0.292396993053411,0,0,0,0,0.203971142827998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157291780174716,0,0.130406535148187,0,0,0,0,0.0754831302957986,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.303338377939172,0,0.123193989790423,0,0.0278457162146443,0,0.091675501621084,0.180909542579654,-1.73472347597681e-18,0,0,0,0.0377089705916254,0.252166165208783,0.0833721109310833,0,0,0.137754564513348,0,0.0705766996595555,0,0,0,0,0,0.00252086748348492,0,-0.0197117470740577,0,0,0,0,0,0,0,-0.141062182113235,0,0,-1.73472347597681e-18,0,0
X267.HK.EQUITY,0.23193749918596,0,0,0.0932444488379892,0.497040301833816,0,0.0549055535173315,0,0,0,0,0,0,0,0.208876827776648,0,0,0,0,0,0,0.0687934627999817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,-0.0155290279343019,0,0.252811373612167,0,0,0.187153925907689,0,0,-0.144495251833236,0,0,0,0,0.456639281592696,0,0,0.0434090828979129,0,0,0,0.0830735414161719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101509564450859,0,0,0,0,0,-0.0256470471140215,0
