,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.484858812562971,0.0899669465542988,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0816368985972412,0.0668220149126017,0,0,0,0,-0.14377005827725,0,0,0,0,0,0,0,0,0.0247315199696382,0,0,0,0,0,0,0.0485335390833208,0,0,0,0,0,0,0,0,0,0,0.10038042477816,0.182402311987344,0.039219058388677
X601318.CH.EQUITY,0,0,0.210127001976684,0.109194357665425,0,0,0,0,0,0,0,0,0,0,0.296311256463703,0.071049540363336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140467600597051,0,0,0,0,0,0,0,0.099704515110152,0,0,0,0,0,0,0,0.0238476133628049,0
X601939.CH.EQUITY,0.331718732373979,0,0,0,0,0,0,0,0,0,0,0,0,0.456191162730672,0,0,0,0,0.148648715013733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104726094943591,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.347932355738959,0,0.0171093464778435,0,0.506047349304648,0,0,0,0,0,0.0105422248969469,0,0,0,0,0.04882144605402,0,-0.0318622423954264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000425368322443062,0,0,0,0,0,0,0,0.0857517250430592,0
X601988.CH.EQUITY,0,0,0,0.109224772187807,0,0,0,0,0,0,0,0.499982400765177,0,0,0,0,0,0,0,0,0,0,0.0208477344432052,0,0.00743542413181345,0,0,0,0,0,0,0,0,0,0.104774584847711,0,0,0,0,0,0.112217992415752,0,0,6.93889390390723e-18,0,0.0312532287164742,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.332062235739483,-1.38777878078145e-17,0,0.241536389366886,0,0,0,0,0.71866314213379,0,0,0,0.697720478615838,0,-0.658408082334338,0,0,0,0,0.085701229169231,0,0.0115740990005208,0,0,0,0,8.67361737988404e-19,0,0,0,0.0826095042848821,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0937124102848482,0.0304329697784772,0,0,0,0,0,0,0,0,0.156468297772797,0,0,0,0.0502167250764452,0,0,0,0.0729461760051275,0,0,0,0,0,0,0,0,0,0,0,0.107841038500517,0,0,0.239498652039825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213287280949164,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121506709916867,0.0260963082432462,0,0,0,0.0888843931996369,0.0843164508301967,0,0,-1.38777878078145e-17,0,0,0,0.0707905571719146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313052561828879,0
X601628.CH.EQUITY,0,0,0.299877696222683,0.135002049994302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600230426078039,0.0499786673748045,-0.00745144300547333,0,0,0,0,0,0,0,0,0.202499722017591,0,0,0,0,0.00756363987023749,-4.33680868994202e-19,0,0,0,0,0,0,0.10458206506002,0,-1.38777878078145e-17,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.265903061820921,0,0,-0.0725805227794583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.140596081281325,-1.38777878078145e-17,0.395221538624102,-0.360704621657326,-0.0738857835268562,0,0,0,0.841284322696842,0,-0.0553322935103023,0
