,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X000001.CH.EQUITY,X601628.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2880.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X2801.TT.EQUITY
X601398.CH.EQUITY,0,0.0625793339394556,0.419252390582458,0.269371632639817,0,0,0,0,0,0,0,0,0.0674274054621084,0,0,0,0,0,0,-0.0881009247627575,0,0,0,0.221988342303056,0,0.0713075535954182,0,0,0,0,0,0,0,0,-0.157943485483112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256150155366172,0
X601939.CH.EQUITY,0.0614546199617882,0,0,0.0949099547798599,0,0.118430951081562,0.0324122579762097,0,0,0.000135779309881253,0,0,0,0.221984551492463,0.259248950512891,0,0,0,0.0376045884685755,0,0,0,0,0,0,0,0,0,0,-0.0584307461138881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.357707240959467,0.20750765399457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738253198880491,0,0,0.0513829819904195,0,0,0,0.140345548923858,0,0,0,0,0,0.0895430515580303,0,0,0,0,0,0,0,0,0.00761205304825885,0,0,0,0,0,0,0,0,0.0703520332413443
X601988.CH.EQUITY,0,0,0.463822132051166,0,0.106997564789234,0.212316916556313,0.0768427339035791,0,0,0.0795718131638,0,0,0,0,0,0,0,0,0,0,0.0405878284911348,0,0,0,-0.0133682861968538,0,0,0.192270184159697,0.0785142140502742,0,0,0,0,-0.0930094554191975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.52068787807246,0,0,0,0,0,0,0,0,0.0269715306754815,0,0,0,0,0,0,0,0,0,0.648865160283003,0,0,0,-0.0539769441795989,0.312544054023391,0,0,0,0,0,0,0.0641383126096438,0,0,0.0112734742121083,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.0989735151442686,0,0,0,0.0732606402819187,0.278259563012045,0,0,0,0,0.0309330935730073,0.0553801949722007,0,0,0,0,0,0,0,0,0.196745517907017,0,0,0,0,0,0,-0.0295473673273639,0,0,0,0,0.0202641014332065,0,0,0,0,0.112637469576099,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.177874578543061,0,0.129506297757028,0,0,0,0,0,0,0,0,0.0904614354953096,0.00814187666558896,0.124618202792356,0,0,0,0.379759187702788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.00908699879874345,0,0,-0.0297614984883474,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0932284468743485,0,0,0,0,0,0,0,0.086879261216094,0.118033454602907,0.0227380095295449,0.137367426543209,0.0935077128546706,0,0,0,0.00937145142407818,0,0,0.0655169265250205,0,0.0954310107585144,0,0,0,0,0,0.144303032574845,0,0,0.0189627506138104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.444566989737318,0,0,0,0,0,0,0,0.296605326891261,0,0,0,0,0,0,0.142657565573008,0,-0.0760975922672655,0,0,0,0,0,0,0,0.122471252989929,0,0,0,0.0247687491019866,0,0,0,0,0,0,0.197369787014522,0,3.46944695195361e-18,0,0,0,0,0,0.0972340526594688,0,0,0,0
X601166.CH.EQUITY,0,0.00310590157490671,0,0.0880108080340283,0,0,0.0147941804671906,0,0,0,0.281445791243005,-6.93889390390723e-18,0,0,0.157424203667308,0.0183874367978384,0,0,0,0,0,0,0,0,0,0,0,0.267555696327774,0,-0.111545382223804,0,0,0,0,0,0,0,-0.166807799212612,0,0,0.134676826175343,0,0,0,0,0,0,0,0.109018796246773,-0.184899154608592
