,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X601916.CH.Equity,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X600837.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X601997.CH.EQUITY,X000166.CH.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X002958.CH.EQUITY,X001979.CH.EQUITY,X2007.HK.EQUITY
X601398.CH.EQUITY,0,0.347946694245735,0,0,0.0801109600094889,0,0,0,0,0,0,0,0.0407002189223637,0,0.0887685429045965,0,0,0.147721009292521,0,0,0,0,0,0,0,0,0,0,0,0.0555530173246911,0,0,0,0,-1.73472347597681e-18,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0803082675340095,0,0,0,0,0,0.132210014394187
X601939.CH.EQUITY,0.100679126864324,0,0.133228543449609,0.0540913403208499,0,0,0,0,0,0.284278142872758,0,0,0.127498512440241,0,0,0,0,0,0,0.0428229201190374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138039227126958,0
X601288.CH.EQUITY,0,0.0820483512218373,0,0.181741952913277,0,0,0,0.0806000324012118,0,0,0.0121351522563756,0,0,0.328508280778604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000406821722041836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771746095662315,0,0,0.0247432126063456,0,0,0,0
X601988.CH.EQUITY,0.114663031268452,0.26767163842141,0.271710555671081,0,0,0,0,0,0,0,0,0,0.0252228425065929,1.38777878078145e-17,0,0.0489988820833635,0,0.115520642896783,0,0,0,0,0,0.0537549381470872,0,0,0,0,0,0.0284438160796611,0,0.114132028094856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0.234076420494372,0,-0.00885296600962914,0,0,0,0,0,0,0,0.242257016573971,0,0,0,0,0,-0.433292134799193,0,0,0.0864964535507016,0,0,0.301054525444578,0,-0.179345317563528,0,0,0.300677807256614,0,0,0,0,0,0,0.193944663791461,0,0,0,0.178321163850652,0,0,0.139670189295012,0,0.0261662285205165,0,0,0,0,0,0.0247506850110379
X601658.CH.Equity,0,0.0217145193354744,0.390484605902227,0,0,0,0,0,0,0.105574742685227,0,0,0,0,0,0,0.0666386406645398,0.0539397257203653,0,0.301249875672274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055254957345717,0,-0.0642619491432797,0,0,0,0
X601328.CH.EQUITY,0.117342109527083,0.108154430462592,0,0,0,0,0,0,0.00556971456245601,0,0,0.0238324636336647,0,0.0144434205094572,0,0,0,0.127430671766844,0,0,6.93889390390723e-18,0.225362568537344,0,0,0,0,0.108177749612319,0,0,0,0,6.93889390390723e-18,0,0,0.0486573526721763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.0242752047916822,0,0,0,0,0,0,0,0.0255616798809268,0,0,0,0,0,0,0.0216974506493696,0.119405477161745,0,0,0.246158621412483,0,0.030352791590266,0,0,0,0.0503304661411505,0,0,0,0,0,0,0,0,0,0,0,0.0200162864251567,0.142110912513809,0,0,0,0,0.0767201281737763,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.152711673515486,0,0,0,0,0,0.246131429247645,0,0,0,0,0.200769748929068,0,0,0,0,0,0.0394961315995997,0,0.0513466277894213,0,0,0,0,0,-0.116839835668016,0,0,0,0,0,0.11254423378546,0,0,0,0,0,0.274175289968028,0,0,0,0,0,0,0.258760774801206
X601166.CH.EQUITY,0,0.264185980966927,0,0,0,0,0,0,0,0,0,0,0,0,0.011906870663061,0,0,0,0.0759172833313871,0.107507836595868,0,0,0,0,0,0,0.0769314733924427,0,0,0,0,0,0,0,0,0,0,0,0,0.0976180236010943,0,0,0,0.00821065592891491,0,0,0.0413608345910151,0,0.0405625414607485,0
