,X601398.CH.EQUITY,X601288.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X267.HK.EQUITY,X601166.CH.EQUITY,X601998.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X600030.CH.EQUITY,X601838.CH.EQUITY,X601577.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601997.CH.EQUITY,X600048.CH.EQUITY,X601881.CH.EQUITY,X000166.CH.EQUITY,X000002.CH.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X002958.CH.EQUITY,X688.HK.EQUITY
X601398.CH.EQUITY,0,0.0333805792256084,0,0,0,0.246650238193807,0.721063481326929,0,0,0,0,0,0.100176873520455,0,0,0,0,0,0,0.0719861594326995,0,0,0,0,-0.0125046300371361,0,-0.104171066133087,0,0,0.144050531877434,0,0,-0.0479871570560701,0,0,0,0,0,0,-0.155857765797437,0,0,0,0,0.0225025672399191,-0.0301557929929312,0,0.000158125122154936,0,0
X601288.CH.EQUITY,0,0,0,0.662813421109298,-0.0406327672722755,0,0,0.0543845771914383,0,0,0,0,0,0,0,0,0,0,0.130049967206423,0,0,0,0,0,-0.0735004772350169,0,0,0.00645869769284509,0,0,0,0,0,0,0,0,0,0,0,0,0.19414370417636,-0.00903694142264843,0,0,0,0,0,0.0359069047471456,-0.0583406642464616,0
X601939.CH.EQUITY,0.0843355612810622,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,-0.0016069733830316,0,0,0,0,0,0,0,0.876105882339596,0,0,0,0,0,0,0.0532651128293686,0,0,0.00869267702691739,0,0,0,0,0,0,0,0.0442549106972866,0.069100180588771,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0232950895394379,0,0,0,0.0212975269683832,0,0,0.095940350190454,0,0,0.010263272566432,-0.0495815868080622,0,0,0,0,0,0.84189575538033,0,0,0,0,0,0,0,0,0,0,0,-0.0269115314407105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062544646842094,0,0,-0.00444731301700897
X5.HK.EQUITY,0,0,0,0,0,0.0609839906992466,0,0,0,0.524932497772748,0,0,0,5.42101086242752e-20,0,-0.215468292651716,0,0,0,0,0,-0.0941191813499861,0.00461193880095872,0,0,0,0,0.563467542599319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17425121921779,0,0,0,-0.00652227590634059,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0.30446581092671,0,0.419514783671513,0.00210301343625657,0,0,0,0,0,0,0.332151460923477,0,0,0,-0.00919579171351104,0,-0.185572676063155,0.199447021238795,0,0,0,0,0,0,0,0,0,0.105893159637629,0.0625882104547153,0,0,0,0,-0.146997474397156,-0.208759723069023,0,-0.0740252501503708,0,0,0,0,0,0,0.085491282329011
X601328.CH.EQUITY,0.957196238830543,-0.0408048483060472,0,0,-0.0766167535802551,0.0844026757519276,0,0,-0.0453463785159978,0,0,0,0,-0.0386736537718467,0,0,0,0,-0.0888739638927267,0,0,0,0,-0.0645053040901789,0,0,0,0,0,0,0,0,0,-0.0545528787027326,0,0,0,0,0,0,0,0,0,0,0,0.0277382841084613,0.0219435026212673,0,0,0
X601318.CH.EQUITY,0,0.0282453736534024,0,-6.93889390390723e-18,0,0.0537034935650475,0,0,0.00504504879237345,0,0,0,0,0,0,0.132520200197403,0.425612598129045,0.076792640055804,0,0,0,0,0.192691762733427,0,0.0236525333824126,0,0,0.075566191294598,0,0,0,0.0417428485519552,0,0,0,0,0,0,0,0,0,0,0.0443141894665322,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.141181649083531,0,0.323235156216699,0,0,0,0.167365877795252,0,0,0,-0.0642066501920555,0,0,0.342991975188545,0,0,0,0,0,-0.0224220126084813,0.1574839256902,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13519001870215,0,0,0,0,0,0,0,0,0,-0.0489709232428331,-0.105675483519993,-0.0249493679114971
X267.HK.EQUITY,0,0,0,0,0.549675670239046,0,0.0100171129040301,0,0,0,0,0,0,0.316502993225553,0.172771281592195,0,0.0144479508639311,0,0,-0.16777410950859,0,0,0,0,0,0,0,0,0,-0.177897301592236,0,0,0,0,0,0,0,0,0,0,0.139993828285636,0,-0.151229479387513,0,0,0.124290205710852,0,0.11728233001806,0,0
X601166.CH.EQUITY,0,0.0229353667120545,0,0,0,0,0,0,0,0,0,-0.0663518998214828,0,0.319637604507791,0,0,0.660815927867327,0,0,0,0.182605803104201,0,0,0.054487933299664,0,0,0,0,0.0883320168096174,0,-0.190216973746091,0,0.168247496564506,0,0.0542458083384031,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.204143905095852,0
