,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0.0367327421190062,0,0,0.0789127431339919,0,0.274596368887102,0,6.93889390390723e-18,0,0,0,0.13680676497624,0,0,0,0.126883941245875,0,0,-0.00920193492943846,0,0,0,0,0,0,0,0.030370599627932,0.2571941286575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421831984236108,0,0
X601939.CH.EQUITY,0.00630674688048956,0,0,0.184056004115234,0,0,0,0,0,0,0,0.37292929199814,0,0.252152933717625,0,0,0,0,0,0,0.0693032906872014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661317202348897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.188557772722466,0,0,0,0,0,0,0,0.201454810722364,0,6.93889390390723e-18,0,0,0,0,0.29818048997078,0,0,0,0.123781339384667,0,0,0,0,0.0233062637493955,0,0,0,0,-0.0362000530463454,0,0,0,0,0,0.0923722660436164,0,0,0,0,0,0,0.0270387045570191,0,0,0,0,0,0,0.10380489538127
X601288.CH.EQUITY,0.345358236326998,0.0242181113918478,0,0,0.492576310205942,0,0,0,0,0,0,0,0,0,0.0319070546574749,0.00785504633651481,0,-0.0303232785219862,0,0,0,0,0.0141442306752303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100718415517175,0
X601988.CH.EQUITY,0,0,0.189848175124465,0,0,0,0,0,0,0,0.130958523064761,0,0,0,0,0.025634831328681,0,0.0903363593011342,0,0,0,0,0,0,0.0399044061244686,0,0,0,6.93889390390723e-18,0,0,0.152812781329761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212455408702127,0,0,0,0.124701132354503
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.14724873902653,0,0,0,0,0,0,0,0.0938065933541427,0.389415184851152,0,0,0,-0.502988417822433,0,0.176412244509535,0,0,0,0,0.0892175850839536,0,0,0,0,0,0.240507402054687,0,0,0.204902582949322,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.060787478973243,0,0,0,0.0924002136329321,0,0,0,0,0,0,0,0.135498838506136,0,0,0.123238459504314,0,0,0,0,0,0,0,0,0.0542621940528318,0,0,0.190750947961103,0,0.230587666419876,0,0,0.0415644601389825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.00855390260912959,0,0,0,0,-6.93889390390723e-18,0,0,0,0.131458215313289,0,0,0,0,0.106604884632125,0,0.167853067145337,0,0,0,0,0,0,0.168754710410012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358995120450566,0
X601628.CH.EQUITY,0.26197464606182,0,0,0,0,0,0,0.0724019493647222,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0512090471426791,0,0,0,0,0.116939450001723,0,0,0,0,0.25981149224105,0,0,0.0626647916513796,0.109841756728949,0,0,-0.142466253420088,0,0,0,0,0,0,0,0,0,0,0.124474019066556
X601658.CH.Equity,0,0,0,0,0,0,-0.115674167814964,0,0,0,0,0,0.18644839754678,0,-0.105853614572128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770412244945956,0,0,-0.22538463626687,0,0,0,0,0,0,0.693019188089349,0,0,0,0,0,0,0.4682988750527,0,-0.161688046550661,0
