,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.548109061797081,0,0.0185077890496485,0,0.0615728355408855,0,0,0,0,0,0.101065531172319,0,0,0,0,0,0.0928629116258715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294141441728423,0,0,0.115396329582659,0,0,0,0,-0.052946219847884,0.00138972767500714
X601318.CH.EQUITY,0,0,0,0.186239291280183,0,0,0,0,0.0711918005259205,0,0,0,0,0,0,0,0,0,0.199072847209781,0,0,0,0,0,0,0.029419533948458,0,0,0.0967353074565527,0,0,0,0,0.058982550938111,0,0,0,0,0,0.180483937472769,0,3.46944695195361e-18,0,0,0.0224151367989503,0,0.0899223955360887,0,0
X601939.CH.EQUITY,0.147708031490406,0,0,0.412616949755444,0,0.156034503908927,0,0,0,0,0.105003621854252,0,0,0,0,0.0205759032869616,0,0,0,0,0,0,0,0,0,0,0,0,0.0127650271789901,0,-0.0384008006350695,0,0,0.0628935364764738,0,0,0,6.93889390390723e-18,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0.0166416113695091
X601288.CH.EQUITY,0.257506794317684,0,0,0,-0.0240263933733583,0.0404014147876395,0,0,0,0.13798432753584,0,0,0,0,0,0,0,0,0.0489591505815958,0,0,0,0,0,0.0451546940514196,0.185136062808857,0,0,0,0.0795974980897817,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0.14581169074807,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.339034928284376,0,0,0,0,0,0,-0.372974196075743,0.303050839256123,0.119761135691099,0.201389026151262,0,0,-0.0573206836145748,0,0,0,0,0,0,0,0,0.210498350101289,0,0,0.0897401887770352,0.165555770678783,0,0,0,0,0,0,0,0.0833952490224047,0,-0.523863686473755,-0.0545242126759142,0,0,-6.93889390390723e-18,0
X601988.CH.EQUITY,0.310575055792822,0,0,0,0,0,0,0,0.179393505309275,0,0,0,0,0.0990632262213924,0,0,0,0,0.0309620977343543,0,0,0,0.33311234599693,5.55111512312578e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212629569429705,0,0,0,0,0,0.0433374595474786,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0243256710161308,0,0,-0.0227939100328099,0,0,0,0,0,0,0.0747282997968758,0,0,0,0,0,-0.00758481030669003,0.704097077323442,0,0,0.0280620723736544,0.0942716118396483,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0661892099796239,0,0.0512698430610898,0,0,0,0
X1299.HK.EQUITY,0,0.186495214693905,0,0,0,0,0,0,0,0,0,0,0.0598155780308142,0,0,0.0307298298096921,0.198034556154426,0,0,0.0709983777115165,0,0,0,0,0,0,0.119437756249314,0,0,0,0.0814200418079106,0,0,0,0.0625318131067138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.176587804298757,0,0,0.0117265032847614,0,0,0,0,0,0,0,0,0,0,0,0.022928576098326,-0.0488545896270468,0,0,0,0,0,0,0,0.114677806815859,0,0,0,0,0,0,0,0,0,0,0.380659211031003,0,0.234627198644645,0,0,0,0.0677170862105267,0,0.0105723451013681,0,0,0,0
X601328.CH.EQUITY,0,0,0.144710207915718,0,0,0,0.12642282263002,0,0,0,0,0,0,0.24404346033731,0,0,0,0,0,0,0,0.229245214613924,0,0,0,0,0,0,0.0486666433000511,0,0,0,0,0,0,0,0.00855694385943663,0,0.0246203679680872,0.202229309646875,0,0,0,0,0,0,0,0,0.0143770115585705
X601166.CH.EQUITY,0.12360876548188,0,0.200239710412888,0,0,0,0.131689551021609,0,0,0.00283552082415907,0,0,0,0.102403235715265,0,0,0,0,0.129512543838394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107537711674864,0,0,0,0,0,0,0,0.0881014068302474,0,0,0,0,0,0,0
