,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY
X601398.CH.EQUITY,0,0.473197625353846,0.11732230186936,0.122244472291364,0,0,0,0,0,-0.0912800399441919,0,0,0,-0.0308277327668521,0,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.0357530715847343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952342859464858,0.12163414056172
X601939.CH.EQUITY,0.211217859123773,0,0,0.273650555886599,0,0,0,0,-0.0324310185997854,0,0.0109647034203302,0,0,0.263334959027239,-0.158108991116793,0,0,0,0,0,0,0,0.223687732519642,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294227926813886,0,0,0,0,0,0,0,0,-0.0554051546367734,0,0,0,0.167737752673667,0
X601318.CH.EQUITY,0,0,0,-8.67361737988404e-19,0.289110181247179,0.0484112315083218,0,0,0,0,0,0.0412515632722478,0,0,0,0,0,0,0,0,0,0.17520713407149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964311897802177,0,0,0.0731367870784822,0,0.153922647322588,0,0,0,0,0
X601288.CH.EQUITY,0.360882276771062,0,0,0,0.332872504021503,0,0,0,0,0,0.0231294875538549,0,0,0,0,0,0,0,8.67361737988404e-19,0.0744519945521253,0.0308127389982346,0,0,0,0,0,0,0,0,0,0,0,0.0439407041402998,0,0.0879850844898176,0,0,0,0,0.0418714315975864,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.500808997504112,0,0,0,0,0,0.236310799568323,0,0,0,0,0,0.225089846572923,0.066438442514818,0,0,0,0.0441304632754345,0,0,0,0,0,0.0870801871180088,0,0,0,0,0,0,0,0,-0.583414799013478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,-0.0438305740906129,0,0,0,0,0,0,0.230723033357745,-0.0232685332957025,0,0,0,0.115583924775591,0,0,0.0508364266495203,0,0.15200902178553,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0.263193081953272,0,0,0,-0.00696340739756865,0,0,0,0,0.113055579493044,0,0.103454073957027,0.0891897744405494,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0349800211620424,0,0,0,0,0,0,0,0,0.157355193262244,0,0,0.0502697826250574,0.502673391077904,0,0,0,0,0,0.135508331369393,0,0,0,0,0,0,0.0884247359813636,-0.0257281779329686,0,0,0,0,0,0,0,0,0,0,0.0777328866535347,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,-0.0319674375662908,0,0,0,0,0,0,0,0,0,-0.139855916778729,0,-0.121962217022816,0,0,0,0,0,0,0.389221804190096,-0.15274801566278,0,0,0.734656967374733,0,0,0,0,0,0,0,0,0,0.367315900152775,0,0,0,0,0,0,-0.242174954353401,0,0,-8.67361737988404e-19,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0307992226596855,0,0,0,0,0,0,-0.172473002288166,0,0,0,0,0,0,0,0,0.24827320825471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32625980160672,0,0,0,0,0,0,0.219016208438274,0.11148988844699,0
X601658.CH.Equity,0,0,0,0.164003190497134,0.158014998172424,0,0,0,0,0,0,0,0,0.108815988424153,0,0,0,0,0,0,0,-0.0785887453001463,0,0,0,0,0.0334926246942576,0,0.10109212524707,0,0,0,0,0,0,0,0,0.272070533799726,0,0,0,0,0,0,0,0,0,0,0.425783320143177,0
