,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0.0962430121877574,0,0.354701744361051,0,0,0.113117144064454,0,0.265618604159902,0,0,0.0680618502513485,3.46944695195361e-18,0,0,0,0,0,0,0.0760651411169568,0,-0.0304897991025071,0,0,0,0,0,0,0,0,0,0,0,0.0830329396345227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.370176290374494,0,0,0,0,0,0.000622848429434478,0,0,0,0,0,0.482951445527464,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375211502694469,0,0,0,0,0,0,0,0,0.0724794495389789,0,0,0.0372850486675883,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.0815668888428841,0,0,-6.93889390390723e-18,0,0,0.0594277158204118,0,0,0,0,0.288403177085939,0,0,0,0,0,0,0,0,0,0,0,0,0.0493126539859546,0.0122198348401177,0,0,0,0,0,0,0,0,0.0593706445364071,0,0,0.0625023814641815,0,0.177108456733514,0,0,0,0,0.128993044069229,0,0,0,0,0
X601288.CH.EQUITY,0.429780484831325,0,0,0,0.341557234896973,0,0,0,0,0,0.104785076581873,0,0,0,0,0.00972540841279681,0,0,0,0.0538181220668033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126277890393065,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.271397088847756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133553715652681,0.137362046452979,0,0,0,0,0,0,0,0,0,0.000190659041378495,0.066202611828941,0,0.0157447275106531,0,0.0458035568181257,0,0,0,0,0,0,0,0,0.16588939703379,0,0,0.148235190371777,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.100851253118558,0,0,0,0.0458322608997748,0,0,0,0,0,0,0,0.486352264104487,0,0,0,0.480129301826228,0,-0.395620378326172,0,0,0,0,0,0,0,0,0,0,0.0339362459091454,0,0,0.32571671712546,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.208397039913313,0,0.0368004595797186,0,0.286316955773232,0,0,0,0,0,0,0,0,0,0,0.0206113959253051,0,0,0,0.137779721433186,0,0,0,0,0,0,0.153712088388747,0,0,0,0,0,0,0.0131243681104555,0,0,0,0,0,0,0,0,0.273127326102528
X1299.HK.EQUITY,0,0,0,0,0,0,0.0512048012999414,0,0,0,0,0,0,0,0,0.0815536680673729,0.0609290935069921,0,0,0,0,0.21171268609517,0.0807145029208201,0,0.154343089335912,0,0,0.0022411966571345,0,0,0.0879059803662968,0,0,0,0.105500919887189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257762238711625
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0712716040273315,0.104056369285761,0,0,0,0,0,0,0,0.285966271631001,0,0,0,0,0,0,0,0,0,0.0408900254115029,0,0,0,0,0,0,0,0,0.202376171939454,0,0,0,0,0,0,0.055832253922941,0,0,0
X601658.CH.Equity,0,0,0,0,0.508924856863279,0,0,0,0,0,0,0,0,0,0,-0.193061780038256,-0.260288787674505,0,0,0,0,0,0.0663802377360043,0,0,0,0,0,0,0,0.620629617598857,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0995518134369408,-0.248442367257063,0,0,-2.77555756156289e-17,0,0.339801316774446,0,0,0
