,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0.208291199124812,0,0.106642498891766,0,0,0,0,0.273076073486195,0.0495268982956868,-1.38777878078145e-17,0,0,0,0,0,0,0,0.130762603021827,0,0,0,-0.044065062278515,0,0,0,0,0,0,0,0.100099351518523,0,0,0,0,0.0545499395271388,0,0,0,0,0,0,0,0,0,0.0118887365023333,0.0551297847908353,0,0,0
X601939.CH.EQUITY,0.45798142417769,0,0,0.0182129266555746,0,0,-0.031895416683688,0,0,0,0.192653535972878,0,0.226675536337575,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0.00853157657458509,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.165270686188061,0,0,0,0,0,0,0,0,0.0301701660311417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149665667669601,0,0,0.0800571502424141,0,0.175627321289924,0.201158564190339,0,0,0
X601288.CH.EQUITY,0.425880005215591,0.0834238657661145,0.066124462796387,0,0.162745760104787,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0312065536484356,0,0,0,0,0,0,0,0,0,0,0.0889596679808359,0,0.0522494564973507,0,0,0,0,0,0,0,0.0599346590114668,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.577370012585913,0,0,0,0,0,0.199991701388468,-2.16840434497101e-19,0,0,0,0,0,0.249210637366063,0,0,0,0.0129191295611224,0,0,0,0,0,0.00546769779969793,0,0,0.0541694216416315,0,0,0,0,0,-0.132140263778125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0216993677953971,0,0,0,-3.46944695195361e-18,0,0,0,0,0.415391894520797,0,0,0,0,0,0,0,0,0,0,0.0541550690223901,0,0.125594371987503,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.0850113854765909,0,0,0,0,0.0600137199957876,-2.16840434497101e-19,0,0,0,0,0,0,0.26955778237069
X1299.HK.EQUITY,0,0,0,0,0,0.113976591537679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535599161755642,0,0.200965659677921,0,0,0.054102007507558,0,0,0.194240528056752,0,0,0,0,0,0,0,0,0.00136382061301464,0,0,0,0.190278737461611,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,-0.00683935865823563,0.328557060723909,0,0,0,-0.239412206273193,0,0,0,0.92906597199452,-0.793295205268203,0,0,-0.0089526029341164,0.625476668812629,0,0,0,0,0,0,0,0,0,0,0,0.296868223680039,0,0,0,0,0,0,-0.23634676486355,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.203205948631768,0,0,0,0,0,0,0.176055990063816,0.104093471620084,-6.93889390390723e-18,0,0,0,0,0.207364422411901,0,0,0,0,0,0,0,0,0,0.0563536612023553,0,0,0,0.0911894180552409,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,-0.06227050295282,0.619833208878394,0,0,0,0,0.033245606815721,0,0,0,0,0,-0.45162812104861,0,0,0,0,0,0,0,0.147970225400567,0,0.0902589818833421,0,0,-0.0059880699728607,0.853167092333939,0,0,0,0,0,0,0,0.0701068196776862,0,0,-0.14138782704862,0,0,0,0,0,0,0,0,0,-0.0923692837636587
