,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity
X601398.CH.EQUITY,0,0,0.0232039492409113,0.456912695525691,0,0,0,0,0,0,-0.0128869298794575,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125506274389625,0,0,0,0,0,0,0,-0.00403066168029041,0,0,0,0,0.0121400492558621,0.252265539432269,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.223511745617765,0.000574271410583222,0
X601318.CH.EQUITY,0,0,0,0,0.0856719834284649,0,0,0.0996053461586318,0.0887109429110809,0,0.0339295057561416,0,0,0.150247535090898,0,0,0,0.00840421403879231,0.0444085426227912,0,0.393444926319266,0,0,-0.0890102824871791,0,0.00193369839148896,0.168908093052887,0,0,0,0,0,0,0,0,0,0.0547931122878125,0,0,0,0,0,0,0.109900209877552,0,0,0,0,0.08298742596844,0
X601939.CH.EQUITY,0,0,0,0.200365531268408,-0.0611931400035916,0,0,0,0,-0.0382777277477915,0.0391803037454331,0,0,0,0,0,0,0,0,0.0273607261811259,0,-0.168818062071852,0.858391743046914,0.0320983012179416,0.0803698102767732,0,0.0889120439830902,-0.131734023027002,0,0,0,0,0,0,-0.137195755037221,0,0,0,0,0,0,0,-0.0959335963464621,0,-0.0912030566211263,0,0,0,0,0
X601288.CH.EQUITY,0.307995123915523,0,0,0,0,0,0.292526986052895,0,0,0,0.0333638950388379,0,0,0,0,0.178712816706508,0,0,0,0,0,0.0292869346110379,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00356910900707424,0,0,0,0,0,0,0,0.173551672137363,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.179862236482344,0,0,0,0.0690714830522545,0.0917987266950107,0,0,0,0,0,0,0.206847379287266,0,0,0,0,0,0,0,0,0,0.0284834995818039,0,0,0,0,0.318999837349987,0,0,0.0890202750916849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0712893499320108,0,0,0,0,0,0,0,0,0.00986728382791098,0,0,0,0,0,0,0,0.158713079456233,0,0,0,0.150230422734464,0,0,0,0,0,-0.0318001428738797,-0.096466030983858,0,0,0,0.180288545169735,0,0.0385570984705886,0,0,0.565477815683468,0,-0.0757523046818385,0,0,0.0983354321714095,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0400891091053178,0.172864507526641,0,0.22157156754988,0.335324996673389,0,0,0,0,0,0,0,0,0,0,0.139882858154545,0,0,0,0.105581933267052,0,0,0,-0.0210222589836056,0,0,0.111908667531762,0,0,0,0,0,-0.0458080804142164,0,0,0,0.0720514569460442,0,0,0,0,-0.110974920402459,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,-0.0452192730388998,0,0,-0.0022881578070033,0,0,0.128669001571254,0,0,0,-0.183861224867245,0,0,0,0,0,0,0,0,0,0,0,0.226987615766462,0,0.0279797264928968,0,0,0,0,0,0,0,0,0,0,0,0.140058367798376,0.114851217638909,0.057371936071833,0,0.0671321182153846,0,0.0247529490337781,0.180627360985624,0,0.136627171008716,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229130276902674,0,0.147571679139206,0,0,0,0,0.190386399179669,0,0.151980514112377,0,0,0,0.0699766585144073,-0.0560416173965123,0.453457751693848,0,0.0967780327818231,0,0,0,0,0,0,0,0,0,-0.113361621998357,0,0.203248589745195,0,0,0,0,0.118086272826025,0,0.276468114395344,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.0861009018085933,0,0,0,0,0,0.0250354608416941,0,0,-0.0566036917167804,0,0,-0.14448552304396,0,0.418558965622675,0,0.317980422437721,0,0,0,0.23679575802068,0,0,0,0.158728870024671,0.26926901819773,0,0,0,0.100824419745061,0.0128710234887064,0,0,0,0,0,0,-0.453607300948099,0,0,0,0.0732465256197509,0
