,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0.295420218562762,0.0273547939124268,6.93889390390723e-18,0,0,0.447059568254724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105015909683157,0.0519726848997602,0,0,0,0,0,0,0,0,0,0,0.079638566521282,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.0964235113564552,0.0687755692706009,0,0,0.169114060344357,0,0.162430412736916,0,0,0,0.0899580552294839,0,0.108961222807006,0,0,-3.46944695195361e-18,0,0,0.261603355079669,0,0,-0.0106235520025699,0,0,0,0,0.123312736565526,0,0.113035437218166,0,0.0195251550628063,0,0,0,0,0,0,0,0,0.0315077601153046,-0.148096463201215,0,0,0,0,0.0621639419825463,0,0
X601939.CH.EQUITY,0.5081354832782,0.170927611723294,0,0,0,0.01693605386438,0,0,0,0,0,0.0230834349969533,0,0,0,0,0.0837555863837513,0,0,0,0,-0.135132897754824,0,0,0,0,0,0,0.202647656060564,0,0,0,0.155379788689249,0,0,0,0,0,0,0,-0.121207840019286,0,0,0,0,0,0,0,0,0.148969817782781
X600036.CH.EQUITY,0,0,0,0,0,0,0.160336355713702,0.0541629865941209,0,0,-0.0710414169955666,-0.145514860165656,0.177842573363675,0,0,0.0757120245931109,0,0,0,0.0486889490003932,0,0,0,0,0,0.0713269919624705,0.199479539854377,0,-8.67361737988404e-19,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.112329588628952,0.133597161832567,0,0,0,0,0,0,0,0,0,0.406074901164974
X601288.CH.EQUITY,0,0,0,0,0,0.00459895935184285,0,0.556814827917997,0,0,-0.084407954586288,0.0456174902960196,0,0,0,0,0,0,0,0,0,0.0747378531558194,0.0792517795071428,0,0,0.0892202050847127,0,0,0.10982679807932,0,0,0,0.053672280014655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591429506188104,0,0
X601628.CH.EQUITY,0.0855389313939228,0,0,0,0,0,0,0,0,0,0,0,-0.0935300566893665,0,0,-0.241025745957984,0,0,0,1.73472347597681e-18,-0.0372175688120765,0.205773674438649,0,0.0552261236583041,0,0,-0.0918055642834192,0,0,8.67361737988404e-19,0,0,0,0.583733992410163,0.05848598793334,-0.0222652847456157,0,0,0,0,0,0,-0.0336600758104027,0,-0.0281749537798363,0.168079443099285,0,1.73472347597681e-18,0,0
X1299.HK.EQUITY,0,0,-0.209140631299863,0,0,0,0,0,0,0,0.107438491098814,0,0,0,0,0,0,0,0,0.0200358720346197,0,0,0.112321126513984,0,0,0,0,0,0,0,0,0,0.17439507692895,0,0,0,0,0,0,0.0965213350020037,0.16404159937813,0.0677028247614809,0.298370210280888,0,0,0,0.297633531095653,0,0,0
X601988.CH.EQUITY,0.138376799407392,0,0.0943889517350752,0,0.372666363560257,0,0,0,0,0,0,0,0.218421550372209,0,0,0,0.111005147454559,0,-8.67361737988404e-19,0,0,0,0.0172066934943538,0,0,0,0,0,0,0,0.120443760831069,0,0,0,0,0,0.0109026271584645,0,0,0,0,0,0.00593176497656073,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.124985853228785,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,-0.0882234974911146,0,0,0,0,0,0,0.238753051760725,0,0.185875692023003,0,0.140671253326068,0,0,0,0,0,-8.67361737988404e-19,0,0.0546842026785035,0,0,0,0,0,-0.0670520065418366,0.196611798099875,0.0532367025650076,0,0.270680010616381,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.0516033709606659,0,0,0,0,0,0,0,0.0624869016949893,0.305181727576451,0,0,0.120267534011097,0,0,0,0,0,0,-0.00603656632151803,0,4.33680868994202e-19,0,0.116386412629942,0,0.304168700701475,0.106195616052936,0,0,0,0.0782763332724772,0,0,0.0148900341707896,0,0,0,0.0320749578391368,0,0,0,0,-1.73472347597681e-18,-0.0229160549582588,0,-0.0819758505966947,0
X388.HK.EQUITY,0,0,0,-0.310785680018384,0,-0.0122832565899295,0.27813153842141,0,0,0,0,0,0.0274237524520086,0,0,0,0,0,0,-0.0857753397600839,0,0.410606974314744,0,0,1.73472347597681e-18,0,0,0.0319433610081917,0,0,0,0,-0.181728764267648,0,0,0,0,0,0.117182848633693,0,0.124607519902523,0,0,0,0,0,0.0845876157799779,0,0,0
X601658.CH.Equity,0,0,0,-1.73472347597681e-18,0.183579613460785,0,-0.0686710301261841,0.239296660893898,0,0.275317714283958,0,0,0.0839938486094331,0,0,0.0319469837076816,0.479580475548875,0,0,0,0,0.317204125597026,0,0,0,0,0,0,0,0,0,-0.319704073599225,-0.0184740320575988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.352067348121653
X000001.CH.EQUITY,0,0.143202912979538,0,0.0838038315662572,0,0,0,0.226786658765662,0,0.408083609101945,0.0556353292116282,0,0,0,0,-0.0198780028580807,0,0,0,0,0,0,0.128385972694457,0,0,0,0.378352726091636,0,0,0,0,-0.0237888811071832,-0.309477542174106,0,0,0,0,-0.119073844923757,0,0,0,0,0,0,-0.0320399380886871,0,0,-0.00856289217798984,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0.0145035870749648,0,0,0,0.0552032201874018,-0.0135936865211682,0,0,0,0,0,0,0.23874526695162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111756223396048,0.128416669080911,0.262485888046602,0.00688173513959603,0.0436619691443012,0,0,0,0,0,0.299055700538458,0,0.0672748995704827,0.0518549049198238,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.151459093232418,0,-0.0832309180312312,0,0.356133654763362,0,0,0,0,0.114715803401009,0,0,0.218884999821461,0,0,0,0.00698014358961443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387594294945216,0,0,0,0.0285609444133787,0,0,0.112335168906666,0
X000002.CH.EQUITY,0,-0.0742156606409656,0,0.0522101336293443,0,0,0,0,0,0,-0.0551187421691526,0.141942600003118,0,0,0,0,0,0,0,0,0,0,0.0416181641523851,-0.133376918682042,0,0.345077435882307,0,0.425779956539048,0,0,0.0319671108181393,0,0,0.00885258954905658,0,0,0,0,0,0,0,0,0,0.0719100068096385,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.141790526806785,0,0,0,0,0,0.294878188940168,0,0,0,0,0,0.127907852596284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149591053008922,0,0,0.0199447393234964,0,0,0,0,0,0,0,0,0
