,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.0573082261562859,0,0.153205320770938,0,0.0160379532198886,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0205819115648384,0.188052523727272,0,0,0,0,0,0.0768988557228668,0,0,0,0.0134111672405391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767823310454734,0.0377745996583864,0,0.0285659250765023,0,0,0.0669864503859616,0
X601318.CH.EQUITY,0,0,0,0.0849847774870106,0,0,0,0,0.132921589622084,0,0,0,0.0739568409951449,0,0,0.0914595662268402,0,0.0630021940358592,0,0.2288672602274,0,0.154513365272807,0,0,0,0,0,0,0,0,0,0.162372653039472,0,0,0,0,0,0.0436551998193844,0,0,0,0,0,0,0,0,0,0,0,0.0817021731971694
X601939.CH.EQUITY,0,6.93889390390723e-18,0,0,0.122886898927094,0,0,0,0,0,0.0937466678856634,0,0,0,0,0,0,0,0,0,0.00266042210848238,-5.42101086242752e-20,0,0.567996561992918,0,0.165267820518261,0,0.125909755647566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00594871343520327,0,0,0,0,0
X600036.CH.EQUITY,0.0588432740454704,0.0219590999353237,0,0,0,0,0.252296198156217,0.0302596278127913,0,0,0,-0.0160618716642575,0.225022864026139,0,0.12764835892178,0,0,0,0,0,0,0,0.279873088012281,0.147397143846532,0,0,0,0,8.67361737988404e-19,0.0341343866572779,0,0,0,0,0,0,0,0.0195575217923945,0,0.0818657373458489,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.14434257016635,0,0.0695730036214715,0,0,0.00275275275566145,0,0.350321461940918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.153414088031424,0,0,0,0,0,0,-0.0337490011029516,0,0,0,0,0,0,0.000791313951328363,0,0,0,0,0.175712200128428,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136784584404118,0,0,0,0,0,0,0.203039777900053,-0.141405574934561,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.00268915288880437,0.619957212718013,0,0,0,0,0,0,0,0.124494094813645,0,0,-0.0780582042178745,0,0.00629095681217992,0,0
X1299.HK.EQUITY,0,0,-0.0733383220017855,0.0176105420164684,0,0,0,0,0,0,-3.46944695195361e-18,0.120601716789072,0,0,0,0,0,0,0,0,0.179652864642046,0,0,0,0,0,0.170186222676315,0,0,0,0,0,0,0,0,0,0,0.0689510929460722,0,0.168006371780979,0.0103501091554258,0,0.0405292387327119,0,0.112590303480524,0.0542637348697354,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.108149331247925,0.741517588620544,0,0,0,0,0,0,0,0.0333875439624507,0,0,0,0.0069035341029467,0,0,0,0.0853956402220484,0,0.219406571543841,0,0,0,0,-0.0383669067007298,0,0,-0.139779466534619,0.129104320751153,0.0440510669213072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.00955451932010598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130389000147611,0,0,0,0,0.0847223341382403,0,0.179556312127001,0.0154831571149253,0,0,0,0,0,0,0,0,0,0,0,0.337357049511733,0,0,0,0,0,0.149633865931486,0,0,0,0
X601166.CH.EQUITY,0,0,0.0836022861037803,0.0410308521335612,0,0.0375804955410265,0,0,0,0,0.0373182243033822,0,0.123606835348031,0,0.0446514961474919,0,0,0,0,0,0,0,0.157405828120645,0,0,0,0,0,0.391818076822318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
