,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY
X601398.CH.EQUITY,0,0.500698077939029,0.15235912971962,0,0,0.0512026005566912,0,0,0,-0.0669805441148769,0.0662311686285271,0,0,-0.0424287741695189,0,0,0,0,0.0180788703777717,0,0,0,0,0,0,0,0,0,0,0,0.0188187562627858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324378165524613,0.0896056246162559
X601939.CH.EQUITY,0.423906475089811,0,0,0.204975441365857,0,0,0,0,0,0.0172154978331776,0.10392126311906,0,0,0.0268750663019178,-0.122817285293751,0,0,0,0,0,0,0,0,0,-0.0325052214176451,0.194648109433407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732952397187823,0
X601318.CH.EQUITY,0,0,0,0,0.198156499375944,0.0621907706688688,0,0,0,0,0,0,0,0,0.128575101110016,0,0,0,0.298399979833065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128483813635319,0,0,0,0.137835043980967,0,0,0.0024695014786768,0,0,0,0
X601288.CH.EQUITY,0.297060798767642,0.0954049982852744,0,0,0.176920817686108,0,0,0,0,0,0.00183176467637966,0,0,0.190645073030928,0,0,0,0,0,0,0,0.0462163457291487,0,0,0,0,0,0,0,0,0,0,0,0.123624305736129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0209548061091742,0.440541582755024,0,0,0,0,0,0.232730010402256,0,0,0,0,0.0514495714390552,0.25395294170623,0,0.0565796531773094,0,0,0,0,0,0,0,0,0.0188619788270997,0,0,0,0,0,0,0,0,0,-0.568545640095779,0,0,0,0,0,0,0,0,0.0962529425060922,0,0,0,0
X600036.CH.EQUITY,0,0.070157025894769,0,0,0,0,0,0,0,0,0,0,0.183939693420756,0,0,0,0,0,0.283819115438405,0,0,0.00827350014790731,0,0,0,0,0,0,0,0,0,0.283105416359994,0,0,0,0,0,0.00528058926390968,0,0,0.066435385702826,0.0509107820455012,0,0.020924973368732,0,0,0,0.09472848457043,0,0
X1299.HK.EQUITY,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0886131500631273,0,0,0.182195509932174,0,0,0.292118501785189,0,0,0,0,0,0,0.136809405439325,0,0,0,0,0.0906373082281115,0,0,0,0,0,0,0,0,0,0.150536458713782,0,0.0365261062105145,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255933440845894,0,0,-0.222294616554644,0,0,0,0,0.269289882469945,-0.150280726947219,0,0.226036449711313,0,0.799355476071714,0,0,0.0930466751433813,0,0,0,0,0,0,0,-0.0295136175365718,0,0,0,0,0,-0.158507003413962,0,0,0.271652909233044,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0952948309693887,0,0,0,0,0,-0.160990493052536,0,0,0,0,0,0,0.300796044530681,0,0,0,0,0,0,0.0302533294847215,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.220918933645635,0,0,0,0,0,0,0.196431132298501,0,0
X601658.CH.Equity,0,0,0,0.155747043283242,0.171204958855386,0,0,0,0,0,0,0,0,0.152459322122764,0,0,0,0,-0.0861563378648249,0,0.0635947538193751,0,0,0,0,0,0.0038208842797221,0,0.0841612435644572,0,0,0,0,0,0,0,0.0135317489361069,0.258257198062094,0,0,0,0,-0.0196028435601881,0,0,0,0,0,0.392784406683402,0
X601328.CH.EQUITY,0.224339396625929,0,0,0.355043591820878,0,0,0,0,0,0,0,0.0314991139968001,0,0,0,0.13903739542871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801892617408389,0.0231286833408026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102954871288086,0.0632057998547782
X388.HK.EQUITY,0,0,0.42000412364133,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.0893080789991289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413410741803954,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0021705106182284,0,0
