,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2883.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X601688.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.0419617108250723,0,0,0,-0.0737991286390111,0,0,0,0,0,0,0,0,0,0,0,-0.0431672430555847,0,1.05725704570447,0,0,-0.182989044537128,0,0,0,0,0,0,0.000425574775140939,0,0,-0.00844653361120985,0,0,0.0101575975329364,0,0,0,0,0.0272745688088054,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.194559478661453,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0160392261093016,0.511936953582041,0,0.0371472587879845,0,0,0,0,0,0,0,0,-0.124397256355948,0,0,0,0,0,0,0,0,-0.261736816437739,0,0,0,0,0,-0.16283477558602,0,0.0763464419874657,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.292677286279059,0,0,0,0.190896305757987,0,-0.0355518050852458,0,0,0.107973510334899,0,0,0.132083855344196,0,0,0,0,0,0,0,0,0,-0.0829432852180395,0,0,0,0,0,0,0.192380247201831,0,0,0,0.108799378201231,0,0,0,0,0.0559075435249675,0,0,0,0.0690892454421895,0,0,0,0,-0.0507425681396398,0
X601988.CH.EQUITY,0,0,0.185781216485468,0,0.0828054205429242,0.0728186765111903,0.0547314308251884,0,0.0464662170688359,0,0,0,0,0.35643115017493,0,0,0,0,0,0,0,0,0,0.100244808622984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443300112664236,0,0,0,0,0,0,0,0,0.0267122217291802,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.00916098997489334,0,0.0500574021628976,0,0,0,0,0,0,0,0,0,0,0.140030392310086,0,0,0,0,0,0,0,0,0,0.210823537495306,0,0,0,0,0,0,0,0,0,0,0.2739562031638,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,-0.0123678102212025,0,0,0.102878585411303,0,0.408925406082458,0.18267923619894,0,0,0,0,0,0.0199449808891613,0,8.67361737988404e-19,0,-0.223419566114171,0,0,0.0398302850924947,0,0,0,0.103557575614351,0,0,0,0,0,0,0,0,0,0,0,-0.0555634956527976,-0.0306515487444399,0,0,0,0,0,0,0,0,1.73472347597681e-18
X601328.CH.EQUITY,0.0249566772780546,0,0,0,-0.0184403949594854,0,0,0,0,0.158793454800487,0,0,0,0.21507800086279,0,0,0,0,0,0,-0.00733349339530877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942001980885761,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.181392856901276,0,0,0,0,0,-0.0785414185815049,0,0,0,0,0.233925217277191,0.0939389427069818,0,0,0,0,0,0,0,0,0,0.196519444361084,0,0,0,0.0470754641432233,0,-6.93889390390723e-18,0,0,0.262668801598635,0,0,0,0,0,0.112914178430261,0,0,0,-0.0922657008067739,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.0144115406792154,0,0,0,0,0,0,0,0,0.144518427244518,0.501693525170254,0,0,0.0994200435786391,0,0,0,0.0701216654942197,0,0.0298179272558865,0,0,0,0,0,0,0,0,0,0.123374156914517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.0927726777163744,0,0,0,0.127438887884283,0,0,0.0695253714474893,0,-3.46944695195361e-18,0,0,0.0221723670487057,0.018177457830672,0.0374586424588045,0,0,0,0,0,0.0137563186428562,0,0,0,0.00881125843351023,0,0,0,0,0,0.130723139355693,0,0,0,0,0,0,0,0.0524743163473786,0,0,0,0.377086293775505,0.04626672149425,0,0
