,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.00572035557575184,0.170695405644489,0,0,0,0,0,0,0,0,0,-0.269691158504808,0,0,0,0,0,0,0,-0.0622225392010665,0,0,0,-0.288950253027896,0,0,0,0,0.770008462621314,-0.122697883663607,0,0.351248051029481,0,-0.0823693373953777,-0.0117974723512165,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.152457639607503,0,-3.46944695195361e-18,0.0289108460395307,0,0,0,0,0,0.027385538679924,0,0,-0.0264036962483877,0,0,0,0,0.0226071137158759,0.143402572150849,0,0,0,0,0.0843570904696958,0,0,0,0,0,0,0,0.476732498486365,0.0386410026818321,0,-0.0606601855389508,0.0299184342986126,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.409543469447396,0,0,0,0.00782294728255657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114152762548295,0,0,0,0,0,0.151120468850847,0,0.072483634049633,0,0,-0.160492835390152,-0.106886930635868,0,0,0,0.461190808973428,0,0,0,0,0.0871178545655829,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.066094079757089,0,-0.181685210674764,0,0,0.407000728574662,0,0.431587013396312,0,0,0,0.127342801060227,0,0,0,0,0,0,0,0,0,-0.0490142056324147,0.000329314643830351,0,0,0,0,0,-0.492527869084118,0,0,0,0,0,0,0,0,0.0765588427950234,0,0,0,0,0.0213817661024118,0
X5.HK.EQUITY,-0.167452086903095,-0.0150896948234758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247926263146469,0,0,0.113798712212612,0,0.228031495370417,0,0.462014874692091,0,0,0,0,0,0,-0.205567746898873,0,0,0,0,0,0,-0.0145287445420524,0,0,0,-0.126873863443513,0.180784373738836,0,0,0,-0.131102418033708,0,-0.0501140856051614,0
X601988.CH.EQUITY,0.173652267007998,0,0.0330949409526034,0.623872204039481,0,0,0,0,0,0,0.103970139547869,0,0,0,0.113994922593488,0,0,0,0,0,0,0.020687198880637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17932573754364,0,0,0,0,0,0,0.0794114442865503,0,0,0
X600036.CH.EQUITY,0,0.413503149899049,-0.0631507665654142,0,0,0,0,0,-0.124449966723076,0.545578418814134,0,0,0,0,0,0,0,0.00387674254526578,0.109681601127852,0,0,0,0,0,0,0.110648762793537,0,0.044826578515076,0,0.339768052194122,0,0,0,0,-0.333817442161483,0,0,0,0,0,0,0.114114451937989,0,0,0,0,-1.38777878078145e-17,0,0
X1299.HK.EQUITY,0,0,0.00647575735888468,0,0.0889290653614093,0,0,0,0,0,0,-0.0399291357591804,0,0.0539261830972092,0,0,0.149233996236301,0,0,0,0,0,0,0.0439918716071326,0,0.204500740027347,0,0,0,0,0.125117547984487,0.16226192019562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0583794577519418,0,0.0539385162052216,0,0,0,0,0,0,0,0,0,0.32884849001531,0,0,0,0,-0.0237766962419153,0,0,0,0,0.118545928642939,0,0,0,0,0,-0.0584465129791457,0,0,0,0,0,0,0.0447878170091341,0.214994929085417,0.0118092303154184,0,0,0,0,0,0,0,0,0,0.13851466778417
X601328.CH.EQUITY,0,0.136655943291937,0.327673404373745,0.0354235945903818,0,0,0.344421005310628,0,0,0,0,0,0,0,0,0,0,0.284856996636604,0,0,0,0.00494370591008289,0,0.0235182805133162,0,0,0,0,0,0,0,0,-0.131056328763098,0,0,0,0,0,0,0,0,0,0,0,0.0377452252191908,0,0,0,0
